split_role,rig_id,view_index,depth_offset,detector_offset,coefficient
train_oracle,dco-rig-000,6,-1,-2,3.964841043173205e-05
train_oracle,dco-rig-000,6,-1,-1,0.0014892587648061679
train_oracle,dco-rig-000,6,-1,0,0.02340288265068161
train_oracle,dco-rig-000,6,-1,1,1.8150836961688124e-05
train_oracle,dco-rig-000,6,-1,2,-0.00036838482831212725
train_oracle,dco-rig-000,6,0,-2,0.0010596303002158075
train_oracle,dco-rig-000,6,0,-1,-0.013713429331148072
train_oracle,dco-rig-000,6,0,0,1.0479075536844393
train_oracle,dco-rig-000,6,0,1,0.008186786849861946
train_oracle,dco-rig-000,6,0,2,0.005825153882146378
train_oracle,dco-rig-000,6,1,-2,9.640141231243745e-05
train_oracle,dco-rig-000,6,1,-1,-0.001082690103818193
train_oracle,dco-rig-000,6,1,0,-0.02332626102434497
train_oracle,dco-rig-000,6,1,1,0.00043090682110356985
train_oracle,dco-rig-000,6,1,2,0.00037568651276627965
train_oracle,dco-rig-000,6,2,-2,-6.1045770217527e-05
train_oracle,dco-rig-000,6,2,-1,0.00011424069123532216
train_oracle,dco-rig-000,6,2,0,0.000524117464043464
train_oracle,dco-rig-000,6,2,1,4.246707976680685e-05
train_oracle,dco-rig-000,6,2,2,-6.588222188730979e-05
train_oracle,dco-rig-001,0,-2,-2,5.2518872404216916e-05
train_oracle,dco-rig-001,0,-2,-1,-9.415227921407324e-06
train_oracle,dco-rig-001,0,-2,0,0.0003629996951265594
train_oracle,dco-rig-001,0,-2,1,-0.00011075935953606936
train_oracle,dco-rig-001,0,-2,2,2.134549455046931e-05
train_oracle,dco-rig-001,0,-1,-2,0.0001981989562934867
train_oracle,dco-rig-001,0,-1,-1,0.0003993843156199491
train_oracle,dco-rig-001,0,-1,0,0.022896304965357116
train_oracle,dco-rig-001,0,-1,1,0.00028756408991022626
train_oracle,dco-rig-001,0,-1,2,2.6876291712270494e-05
train_oracle,dco-rig-001,0,0,-2,-0.010016503738094092
train_oracle,dco-rig-001,0,0,-1,0.0014650898774445185
train_oracle,dco-rig-001,0,0,0,1.0020809470266152
train_oracle,dco-rig-001,0,0,1,0.02595414852347117
train_oracle,dco-rig-001,0,0,2,-0.00810402590930065
train_oracle,dco-rig-001,0,1,-2,0.0007099715585444833
train_oracle,dco-rig-001,0,1,-1,-0.0020944887897179744
train_oracle,dco-rig-001,0,1,0,-0.01760175708764632
train_oracle,dco-rig-001,0,1,1,-0.00018173288242079584
train_oracle,dco-rig-001,0,1,2,0.0014209261959474047
train_oracle,dco-rig-001,0,2,-2,-8.152064308242572e-05
