rig_id,method,relative_renderer_residual_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine,worst_probe_gradient_cosine
dco-rig-037,nearest_calibrated_geometry,0.49746602464603,0.0728473770154679,0.018908528863060565,0.99933177784208,0.9990985124112159
dco-rig-038,nearest_calibrated_geometry,0.49677500500268906,0.08037009937732159,0.02891250683778472,0.9994936080378005,0.9991607613919826
dco-rig-039,nearest_calibrated_geometry,0.6066107292756795,0.09852394032093334,0.032876915741701,0.9989783459514546,0.9986521974950061
dco-rig-040,nearest_calibrated_geometry,0.6060528283288341,0.09527584661576083,0.018589288417748193,0.9991877018404196,0.9990163245878163
dco-rig-041,nearest_calibrated_geometry,0.6215899394151928,0.104056982894181,0.04318232868972637,0.9988022045849091,0.9979882980586798
dco-rig-030,full_matrix_geometry_ridge,0.5349874878350969,0.08191610940481571,0.018119358780784856,0.9992556075833343,0.999009762439098
dco-rig-031,full_matrix_geometry_ridge,0.5193944933722872,0.07747116155782298,0.017958593429942757,0.9994263907249995,0.9989543450370317
dco-rig-032,full_matrix_geometry_ridge,0.4725506927561616,0.07123129902697833,0.012978428836059354,0.9994789188004973,0.9990268202835411
dco-rig-033,full_matrix_geometry_ridge,0.4470811439114259,0.07097137855818438,0.017678123111704303,0.9992603371048051,0.9990248422190514
dco-rig-034,full_matrix_geometry_ridge,0.5371156566423152,0.08339169538886297,0.03197023097330467,0.9989120467545975,0.9987123235322652
dco-rig-035,full_matrix_geometry_ridge,0.5616120662612788,0.08214548564514154,0.020427795470271473,0.9994148656080911,0.9991195314759159
dco-rig-036,full_matrix_geometry_ridge,0.41694923195205086,0.06931829359422566,0.0175319386224999,0.9995542630724555,0.9992468968751376
dco-rig-037,full_matrix_geometry_ridge,0.4180830505344324,0.06122278124969387,0.020186689918037584,0.9997025840297025,0.9994774030340424
dco-rig-038,full_matrix_geometry_ridge,0.3703319755220331,0.0599136779740851,0.01708051443386703,0.9995930905758575,0.9995080648375089
dco-rig-039,full_matrix_geometry_ridge,0.4822188513548322,0.07832057535355781,0.0188214085531898,0.9996407353007157,0.9994866203346364
dco-rig-040,full_matrix_geometry_ridge,0.5393519699819115,0.08478999381226085,0.024234831116902483,0.9994114478123632,0.9992264293136061
dco-rig-041,full_matrix_geometry_ridge,0.4141713100217207,0.06933416097876012,0.027461510169407698,0.9996090950844329,0.999408318224755
dco-rig-030,cal_hosvd_ridge,0.8414033184030466,0.12883382854950817,0.047959799229140974,0.9984280523761745,0.9977768008287078
dco-rig-031,cal_hosvd_ridge,0.8310535328472015,0.12395719116771117,0.054688179202399004,0.9986616736353517,0.9981854114473485
dco-rig-032,cal_hosvd_ridge,0.8375785909245915,0.12625483780537067,0.047701570472757554,0.9986649757821778,0.9977930487542465
dco-rig-033,cal_hosvd_ridge,0.7950030732153476,0.12620184240036886,0.060764911300590835,0.998405299067235,0.9980379536795057
dco-rig-034,cal_hosvd_ridge,0.8269897889621843,0.12839707745991147,0.04230703149369667,0.9981173227741016,0.997399554030348
dco-rig-035,cal_hosvd_ridge,0.8590065916149757,0.12564458258587644,0.04330573074299485,0.9989182754446561,0.9985854176808117
dco-rig-036,cal_hosvd_ridge,0.7727790400532119,0.12847541205695925,0.05771647479010568,0.9988021764369663,0.9984897386832163
dco-rig-037,cal_hosvd_ridge,0.7981796282777188,0.1168829416010592,0.043667599665507,0.9989380617468027,0.9985559086126153
dco-rig-038,cal_hosvd_ridge,0.7673204757207163,0.1241399471931842,0.05659400996601251,0.9985849255340502,0.9984027677342283
dco-rig-039,cal_hosvd_ridge,0.8100258529001465,0.13156202971358624,0.05522550312223576,0.9988015315008398,0.9981928877469839
dco-rig-040,cal_hosvd_ridge,0.8191838644878703,0.12878157245510743,0.04980061665387765,0.9988593789440744,0.9985429226761576
dco-rig-041,cal_hosvd_ridge,0.7543316290516404,0.12627854545814374,0.061140960307970386,0.9987471388435188,0.998236823194723
dco-rig-030,oracle_shared_subspace,0.8186264907496669,0.1253462907128775,0.04868534555681758,0.9987788777477908,0.9982363583516358
dco-rig-031,oracle_shared_subspace,0.8115883729547984,0.12105383241821373,0.05552596034179638,0.9988575427072904,0.9987301668063047
dco-rig-032,oracle_shared_subspace,0.8218052619927259,0.12387719932759499,0.048123591253538336,0.9988407770446762,0.9982463230961776
dco-rig-033,oracle_shared_subspace,0.7824093002300533,0.12420265848893057,0.06119175098446593,0.9987321572461946,0.9984787412721644
dco-rig-034,oracle_shared_subspace,0.811493125771816,0.12599109096457536,0.04005555086630567,0.9987373327075996,0.998320857407649
dco-rig-035,oracle_shared_subspace,0.8316284685221385,0.12164005819507162,0.04261150881027727,0.9990527089765967,0.9988799231505735
dco-rig-036,oracle_shared_subspace,0.7622227687991188,0.1267204197126259,0.057147831999911566,0.9988752380429157,0.9985252174977166
dco-rig-037,oracle_shared_subspace,0.7881652527809908,0.11541646760838062,0.0440345055767993,0.9990659120393511,0.9987423867636619
dco-rig-038,oracle_shared_subspace,0.7569145501794944,0.12245643803624408,0.056628109847053146,0.9987547760952739,0.9984273046610106
dco-rig-039,oracle_shared_subspace,0.7955173745640849,0.12920560509934229,0.053486345393043616,0.9988888199150817,0.9984313703563354
dco-rig-040,oracle_shared_subspace,0.7998659468247283,0.1257446573972492,0.0504912475370428,0.9990905858628474,0.9988960091739901
dco-rig-041,oracle_shared_subspace,0.744781317594252,0.12467977988466851,0.05903461707145953,0.998916683056671,0.9983883028189448
