adjoint_calls_per_case,bootstrap_mean_field_gain_95_interval_percent,case_count,evaluator_adjoint_calls_per_case,evaluator_forward_calls_per_case,field_harm_over_one_percent_rate,forward_calls_per_case,heldout_b_valid_case_count,maximum_measurement_direction_orthogonality_defect,maximum_residual_increase,mean_a_clean_residual_ratio,mean_a_measured_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_clean_residual_ratio,mean_wall_seconds_per_case,median_field_gain_percent,method,p10_field_gain_percent,split,worst_field_gain_percent
[24],"[-0.005246087250879996, -0.0010853267637970943]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9998526514045111,0.9998210970426445,-0.00312190449697269,0.02710476525745824,-0.04379428444610356,0.9996578827190565,0.09161411989286232,-0.0024379978704098582,random_angular_seed_2026072001,-0.009774390873612418,test_iid,-0.013372599503738312
[24],"[-0.01619606941407137, -0.008300499032448219]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0001164724581961,1.0001148406161953,-0.012207388209139873,-0.09158365492894611,-0.043981668947545426,1.0001374880619234,0.09170483338918227,-0.013834344908772837,random_angular_seed_2026072002,-0.025617933873244597,test_iid,-0.029628436012782308
[24],"[-0.014498447741591263, -0.010754811784037876]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,1.0003269591172845,1.0003041724574728,-0.012615147655323773,-0.05189197334955884,-0.052815701888639155,1.0001139594946693,0.0920857777139948,-0.01213186521260659,random_angular_seed_2026072003,-0.01920038246371999,test_iid,-0.023259553416574402
[24],"[0.5778924901596065, 0.7976196461526116]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9928979095845397,0.9923828217407215,0.6986880518068522,0.10070558743221962,0.6389220032216812,0.9966482673180272,0.09265922908768214,0.7033666774766327,train_fitted_fixed,0.4890248224945134,test_iid,-0.31475049520026804
[24],"[1.0631236638506958, 1.1954150621549955]",24,[1],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9912990039442233,0.9906035074412616,1.1287578308226278,0.328614051535725,1.120007827936739,0.9887604991948434,0.09991105559553641,1.1251963818363533,truth_angular_oracle,0.9115207321589572,test_iid,0.8547294782349599
[24],"[0.0, 0.0]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.096221722298651,0.0,anchored_delta_zero,0.0,test_joint_ood,-0.0
[24],"[39.869440426456485, 44.88687127206595]",24,[0],[1],0.0,[24],24,,,2.2519832513651354,3.0285547184410753,42.44018387109245,25.459919375840162,37.987056007007375,0.49226443828769956,0.03094100166345015,43.233025208341616,inverse_sobolev5_24,35.50127271483363,test_joint_ood,30.04092011431123
[24],"[0.806206861536803, 0.9518688902110859]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9975461183995039,0.996252231529839,0.882045240342029,0.07363048402507628,0.7030578613290056,0.9959290609193081,0.10097451397935704,0.9265190796359297,linear_observable,0.6361875983545212,test_joint_ood,0.40463976290321396
[24],"[-2.4309603617501627e-06, 8.122110274995811e-07]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9999999988054844,0.9999999799230604,-5.432892906144794e-07,0.0,-7.696660706589454e-07,0.9999999893069692,0.09590973940794356,0.0,one_point_zero_five_g,0.0,test_joint_ood,-1.30209486229826e-05
[24],"[-0.004539713884031447, -0.001615023377527561]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0000052654114369,0.9997790365759002,-0.00304833378734291,-0.13008399735506052,-0.036709707392477836,0.9999659959481829,0.09838229358138051,-0.0018975671946412267,random_angular_seed_2026072001,-0.007730345487044464,test_joint_ood,-0.011274559019952555
[24],"[-0.013769150932772048, -0.008610790455203536]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9999511923501231,0.9999773713007268,-0.011117838253939047,-0.11055605100054726,-0.03458966864367515,1.0000708444728297,0.09962043908793324,-0.008858148937469595,random_angular_seed_2026072002,-0.018967111527719602,test_joint_ood,-0.026204078728087176
[24],"[-0.012838310020397512, -0.009254680063342482]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,1.0001068135112392,0.9998280513507813,-0.010893523011869674,0.007246791108294368,-0.042369383635567116,1.000142667284615,0.09697246172678813,-0.00982795720529656,random_angular_seed_2026072003,-0.015615966927563832,test_joint_ood,-0.02654481693610431
[24],"[0.46091740245267077, 0.7228563027496009]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9979481937335158,0.996867308594889,0.6007458010220744,-0.06050892633151437,0.46679837581066774,0.9974213705213533,0.0982381892487562,0.7454831597490532,train_fitted_fixed,0.09213939094792278,test_joint_ood,-0.17899364632795928
[24],"[1.0050841980174532, 1.1360741380955526]",24,[1],[1],0.0,[24],24,4.76837158203125e-07,0.0,0.9973577843579807,0.9958165860505378,1.0709363641088063,0.19968379129162597,1.0315556648306343,0.9894690475576118,0.09909771532208349,1.0672068223503952,truth_angular_oracle,0.8480434150102071,test_joint_ood,0.7184227760671194
[24],"[0.0, 0.0]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.09532439576772352,0.0,anchored_delta_zero,0.0,test_noise_ood,-0.0
[24],"[49.970299343836494, 55.53129931322909]",24,[0],[1],0.0,[24],24,,,0.9875697681424347,1.7809433360496236,52.77647458858189,71.7521215748913,53.86559176481612,0.3749858573786542,0.03113312513839143,52.97873460878959,inverse_sobolev5_24,42.96586339455459,test_noise_ood,34.94576862753761
[24],"[1.0461681689215119, 1.1580935231418037]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9975251364779433,0.9962515768835626,1.1051531091933824,0.25551990986752465,0.9721085617501304,0.9950734446069891,0.10094538529907975,1.1283421947663392,linear_observable,0.9437938594192166,test_noise_ood,0.7260850219166064
[24],"[0.0, 0.0]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,1.000000009584202,0.9999999948465605,0.0,0.0,1.4282536927783033e-06,1.0000000149264794,0.09725340277266999,0.0,one_point_zero_five_g,0.0,test_noise_ood,-0.0
[24],"[-0.006347543459143132, -0.0017078251666193772]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,0.9998695113457555,0.9998516337457527,-0.004056572279755453,-0.12005254917997227,-0.04405663071225447,1.0000459419198886,0.09573153464589268,-0.0049856362996404755,random_angular_seed_2026072001,-0.010246090619356597,test_noise_ood,-0.01576961888882057
[24],"[-0.014019015119948264, -0.00489074858854608]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,1.000049710615911,1.000121073136837,-0.009485337884131454,-0.027831784903393653,-0.04236619428176704,1.0002270133134117,0.09797525521328983,-0.009272618603428357,random_angular_seed_2026072002,-0.02221671434188166,test_noise_ood,-0.02771091230024643
[24],"[-0.01440068791610928, -0.010528151433548176]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0000900467227267,1.0000385183688554,-0.0124622613772626,0.14485974414077454,-0.05248230825000929,0.9999513723475818,0.09598500333959237,-0.01228478186137765,random_angular_seed_2026072003,-0.01981255590330358,test_noise_ood,-0.021431688056157732
[24],"[0.3856599095871516, 0.6508535912917349]",24,[0],[1],0.0,[24],24,4.172325134277344e-07,0.0,0.9981676277373029,0.9973663559468865,0.5213463491324762,0.010093026360966768,0.4207425324336394,0.9979531967560537,0.09581026391727694,0.5406800218699468,train_fitted_fixed,0.09995109757677206,test_noise_ood,-0.29613853389136
[24],"[1.1517451457030283, 1.2727464491027207]",24,[1],[1],0.0,[24],24,4.76837158203125e-07,0.0,0.9972401632869562,0.995865958527555,1.2139724849879687,0.33092067052651036,1.1576481671849228,0.9880983783422694,0.10274931403303829,1.217764589028297,truth_angular_oracle,1.0309752523438385,test_noise_ood,0.8251752224006967
