method,split,seed_count,alpha_mean,alpha_mean_seed_std,alpha_mean_seed_ci95_t,rel_l2_mean,rel_l2_mean_seed_std,rel_l2_mean_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_mean_seed_std,gradient_rel_l2_mean_seed_ci95_t,support_reprojection_rel_l2_mean,support_reprojection_rel_l2_mean_seed_std,support_reprojection_rel_l2_mean_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean_seed_std,heldout_reprojection_rel_l2_mean_seed_ci95_t,selected_query_noisy_residual_mean,selected_query_noisy_residual_mean_seed_std,selected_query_noisy_residual_mean_seed_ci95_t,all_query_noisy_residual_mean,all_query_noisy_residual_mean_seed_std,all_query_noisy_residual_mean_seed_ci95_t,support_correction_leakage_mean,support_correction_leakage_mean_seed_std,support_correction_leakage_mean_seed_ci95_t,field_improvement_vs_base_pct_mean,field_improvement_vs_base_pct_mean_seed_std,field_improvement_vs_base_pct_mean_seed_ci95_t,field_better_than_base_fraction,field_better_than_base_fraction_seed_std,field_better_than_base_fraction_seed_ci95_t
query_binary_one,test_iid,3,0.5666666666666667,0.16072751268321592,0.39926927557220615,0.2474442698711127,0.0029806164131636107,0.007404261636201728,0.4034598396862941,0.005970628875742996,0.014831864353098653,0.23073698305074877,0.0010029629179383738,0.0024914980079378656,0.2865561303273571,0.007528071573683513,0.01870076649294287,0.2760032151848542,0.008268422459653027,0.020539900048707507,0.28884448177382976,0.007490122339045443,0.018606495368046375,5.172049990605046e-10,2.9463232886400843e-11,7.319072792319087e-11,0.8327398044581291,0.11418254978007444,0.2836451779324923,0.4666666666666666,0.11547005383792512,0.28684351531663077
query_binary_one,test_view_ood,3,0.5625,0.0,0.0,0.3333881341928591,0.007389794930985572,0.018357268270162687,0.5320086818476678,0.008403106873980203,0.02087447468152265,0.2596060037886394,0.010834688694256927,0.026914858780478574,0.4090905878221524,0.008159390088761601,0.020269048624374567,0.3823589665186264,0.016331778580354155,0.04057038707141402,0.4104041417882769,0.008138639150455623,0.020217500435974485,8.505957294678487e-10,7.09381743438594e-11,1.7622019409030089e-10,0.6894964661007962,0.43427079424084286,1.0787884570854458,0.3333333333333333,0.09547032697824666,0.23716143959979746
query_binary_one,test_noise_ood,3,0.4583333333333333,0.036084391824351615,0.08963859853644714,0.275313393538839,0.007329885772503928,0.01820844567029921,0.4547415391726289,0.004415960934452754,0.010969855090890315,0.2549138541298654,0.0055176003505894335,0.013706479109266055,0.3211851368492844,0.015056980793314618,0.037403613813773245,0.32168651779161217,0.0194399229901928,0.04829144581346018,0.33548350415495953,0.014095305758345153,0.03501468059295678,4.2888163960368095e-10,3.825538449038096e-11,9.503164329006403e-11,1.0212187950334934,0.49030729683900776,1.2179908464241427,0.3958333333333333,0.036084391824351615,0.08963859853644714
query_binary_one,test_joint_ood,3,0.375,0.125,0.3105172139687913,0.3569326794308165,0.009535597881985991,0.023687738302727974,0.5399054978653482,0.007143504660409363,0.017745449320987133,0.25420877464530967,0.010279907500463611,0.025536705895206728,0.4168181161991608,0.008999040370082619,0.02235485555288588,0.41086223833025093,0.01998107563920648,0.04963574351668865,0.42860001912872336,0.008669258302965258,0.021535631483300666,5.682355540478739e-10,1.6659147036218093e-10,4.138361539826311e-10,0.5083757820078426,0.24533679741025585,0.6094503905268673,0.22916666666666666,0.09547032697824666,0.23716143959979746
query_binary_one,test_family_ood,3,0.7166666666666667,0.028867513459481315,0.07171087882915776,0.6902979336144311,0.0019716727529740475,0.004897906640893425,0.8896543019911193,0.0013920303065727093,0.0034579949804566406,0.5666119604691057,0.0016930334123391867,0.00420572814684512,0.6923450398539931,0.015197375945870437,0.037752374706784095,0.684974504526476,0.013603585952938778,0.03379318088073227,0.6928086950930089,0.015169100657974003,0.037682134997809966,5.283185688871084e-10,7.127106942617611e-11,1.7704715131834003e-10,0.3698617856795697,0.10577767950523749,0.26276632272040046,0.7166666666666667,0.028867513459481315,0.07171087882915776
query_line_search_one,test_iid,3,0.577421001498396,0.14734635385920858,0.3660286343105688,0.24737963893084136,0.00306209451266441,0.00760666445585341,0.40323089251604644,0.005829903083875819,0.014482282106505468,0.23073698305013993,0.0010029629172268223,0.002491498006170274,0.28647665482888485,0.007544424556333472,0.01874138955384323,0.2758271704293142,0.008495731681910128,0.02110456745994501,0.288765910759005,0.007506843274599609,0.018648032474632228,5.192300581398766e-10,2.2840003828155116e-11,5.6737714846042025e-11,0.865094348363578,0.13880311609020346,0.34480605518813345,0.5499999999999999,0.08660254037844384,0.21513263648747302
query_line_search_one,test_view_ood,3,0.5721392393999701,0.018862247739064048,0.04685642093698641,0.33313505335394183,0.007289707812578421,0.01810863808486706,0.531718705898829,0.008292030967654462,0.02059854683375203,0.25960600378660875,0.010834688689850063,0.026914858769531317,0.40878340581323935,0.00822171124550097,0.020423862960070732,0.3820189108397279,0.016396523907262005,0.040731223379645416,0.41009630449820406,0.008196844311219255,0.020362090070845912,8.672017045343595e-10,5.680596573181833e-11,1.4111384172680685e-10,0.8128937833627216,0.3799030443474864,0.943731479272349,0.3541666666666667,0.1301041249666333,0.3231965632838914
query_line_search_one,test_noise_ood,3,0.4844082842938153,0.0355559911747583,0.08832597855587902,0.27517341092749553,0.007435391312207079,0.018470535960274377,0.45459898525935155,0.004591829949198501,0.011406737942748598,0.25491385412905476,0.005517600351963923,0.013706479112680475,0.321019618310417,0.01519140729830488,0.03773754776427835,0.32147625756185905,0.019417629212836268,0.04823606500039145,0.335310336550627,0.014208018270188302,0.035294673994212454,4.4941162812783744e-10,5.938772960322968e-11,1.4752729872261432e-10,1.0784592908488217,0.5020730578485004,1.247218617055265,0.5208333333333334,0.03608439182435161,0.08963859853644712
query_line_search_one,test_joint_ood,3,0.4172218340218679,0.09703963655863443,0.2410598207098498,0.35657222417696827,0.009493352861023293,0.02358279585302085,0.5400429824228373,0.007060684208048732,0.017539711911973867,0.2542087746497527,0.010279907500669478,0.02553670589571813,0.41668630773653,0.008821160344896467,0.02191297707415386,0.410368813188148,0.020003313944586324,0.04969098652972814,0.4285223198649093,0.00844896576146248,0.02098839447333629,6.371489212703687e-10,1.20760724319257e-10,2.9998626937975154e-10,0.6683000507766721,0.24151320604092805,0.599952063011997,0.3958333333333333,0.07216878364870323,0.17927719707289427
query_line_search_one,test_family_ood,3,0.7115156658345825,0.03330926302857356,0.08274479643989059,0.69030705122551,0.0020701923312091836,0.005142642840533063,0.889658750339581,0.001468479988560052,0.0036479065185327183,0.5666119604690256,0.0016930334117888437,0.004205728145477992,0.692392865991331,0.0155080539220039,0.0385241415835075,0.6849240155392975,0.013604140126821922,0.033794557524974254,0.6928551535913899,0.015477037386043849,0.03844709223684128,5.233476037366649e-10,7.797497533012938e-11,1.9370057679037605e-10,0.3687363532078994,0.10249529388903787,0.2546124248266921,0.75,0.050000000000000044,0.12420688558751661
query_line_search_all,test_iid,3,0.5292485921799734,0.033264442634153506,0.0826334564078562,0.24736589272421283,0.0030084258948444645,0.007473344218389366,0.4027312771192399,0.006251298091698511,0.015529085336981146,0.23073698305133358,0.0010029629145041862,0.002491497999406871,0.2855748729028491,0.006940461090667266,0.017241061132262384,0.2766625877139982,0.008637602177765172,0.021456993308883242,0.2878665948657611,0.00690932557970294,0.017163716235301284,4.758118938930438e-10,5.462602215312136e-11,1.3569856167347773e-10,0.816853183094004,0.14309482309496752,0.3554672464064509,0.5166666666666667,0.057735026918962595,0.14342175765831544
query_line_search_all,test_view_ood,3,0.4443365741616582,0.07458215853352138,0.18527235263686215,0.3316268254610826,0.007529374434391537,0.018704002978360827,0.52962352981383,0.008714001203528682,0.021646779009923366,0.25960600378772175,0.010834688681660909,0.02691485874918833,0.4064919651460401,0.008307825526584605,0.020637782693230862,0.3874693416984349,0.015005886981877995,0.03727668974994647,0.4078360497708758,0.008275763293199904,0.020558135690156982,6.906734600228564e-10,6.467564010799324e-11,1.6066319662385822e-10,1.448268388275997,0.1531460257228693,0.3804358179028658,0.5625,0.16535945694153692,0.41077566298302676
query_line_search_all,test_noise_ood,3,0.46436954473561975,0.085448489315183,0.21226581471994121,0.27491308539922316,0.007425271405076932,0.018445396717332967,0.4536370206038214,0.005614387118153541,0.013946910768570468,0.2549138541300818,0.005517600353483099,0.013706479116454317,0.32010342896888705,0.016003960131330482,0.039756040899586814,0.3232689347597742,0.018188525055693138,0.0451828010119631,0.3345213397476517,0.014893035523882745,0.03699635118731446,4.2464658364545164e-10,4.765863271145971e-11,1.1839060680899496e-10,1.1664034347950627,0.48569035779365727,1.2065217340287349,0.625,0.16535945694153692,0.41077566298302676
query_line_search_all,test_joint_ood,3,0.4386960015779673,0.07983204068056259,0.198313782860572,0.35543105928599483,0.009740985781133409,0.024197950128537246,0.5392803248948049,0.00631458226083944,0.015686291928100914,0.25420877464813113,0.010279907492804313,0.02553670587617998,0.4134791560128573,0.010383601234641245,0.025794295410749606,0.41768396389519596,0.01678699208226677,0.041701200098413084,0.42536869800454075,0.010007017932884076,0.024858810629239166,6.403902607723159e-10,5.7203819617191496e-11,1.4210216556722872e-10,1.0507726832992865,0.2414602294979013,0.599820461983626,0.5833333333333334,0.03608439182435161,0.08963859853644712
query_line_search_all,test_family_ood,3,0.9436143739276094,0.0434838767173475,0.10801993800666508,0.6897363858243578,0.002043665013509633,0.005076745330244027,0.8890891562135502,0.0013425859176532974,0.0033351683093074793,0.5666119604682108,0.001693033411673728,0.004205728145192029,0.690138972342068,0.014762077046428967,0.03667103229479812,0.6886702347481668,0.01516890148893733,0.037681640234494954,0.6906140263659513,0.014741226963521724,0.03661923781755512,7.428993281675854e-10,4.050250971095432e-11,1.0061381179351559e-10,0.45514227806387675,0.0929537297172776,0.23090986543853662,0.9500000000000001,0.04999999999999999,0.12420688558751648
field_oracle_line_search,test_iid,3,0.5757403634686425,0.07710937666522685,0.19155031050365093,0.24660939691424877,0.0028725706965760573,0.007135861197033498,0.4024438382742698,0.006590002321519515,0.016370473287408854,0.23073698304898463,0.0010029629183313622,0.0024914980089141034,0.2877669501400764,0.006129104014899866,0.015225538422653112,0.2792257739520703,0.008726263382024983,0.021677239949954234,0.2900499281274157,0.006114361362554568,0.015188915643990936,5.041398428790005e-10,2.892622417762721e-11,7.185672433818793e-11,1.289882333185168,0.0895105136507568,0.22235644255798767,0.7833333333333332,0.07637626158259735,0.189729151679838
field_oracle_line_search,test_view_ood,3,0.412804239586467,0.08599181504698575,0.21361551066007678,0.3314488409221166,0.007457774541846229,0.018526138985131755,0.5292804439044959,0.008661465228943266,0.021516272414232172,0.2596060037921948,0.010834688686049008,0.02691485876008897,0.4067817753256178,0.00841404654289196,0.02090165032562041,0.3879648199561713,0.014717969526456143,0.03656146314106185,0.4081275183252653,0.008376972607326005,0.02080955356415802,6.449926310697332e-10,6.745834639499874e-11,1.675758222521333e-10,1.5118370840600353,0.13739063004886118,0.34129724534551414,0.6458333333333334,0.14433756729740646,0.35855439414578855
field_oracle_line_search,test_noise_ood,3,0.7256199829229844,0.16571356492591813,0.41165531598106003,0.27376196673861614,0.007213092459163121,0.017918314996149036,0.4550737695693412,0.005337648024640926,0.013259452750060179,0.2549138541310584,0.005517600352266289,0.013706479113431595,0.3223741868665149,0.01543850555241413,0.038351373855818806,0.3278440871515875,0.01967633622892448,0.04887872885535058,0.33652464013729894,0.01445155656366779,0.035899656653300166,6.296595398364649e-10,1.440532861534502e-10,3.578482006353473e-10,1.7693680628491275,1.0181065650312549,2.52911691277473,0.9375,0.0625,0.15525860698439564
field_oracle_line_search,test_joint_ood,3,0.4440613443046179,0.05348219861535017,0.13285714648771263,0.3550172886843672,0.009856049807415305,0.024483785015489937,0.5388755398072035,0.006879969633867847,0.01709079202318823,0.2542087746540793,0.01027990749839705,0.02553670589007311,0.4142344646205114,0.010390164806212656,0.025810600226413922,0.41613693840575366,0.01904634379668557,0.04731374089630858,0.4261592553703997,0.009966183760304647,0.02475737292120649,6.507261500500931e-10,3.597808576670493e-11,8.93745196496595e-11,1.197892142901827,0.20337882532241588,0.5052210097548963,0.7291666666666666,0.03608439182435161,0.08963859853644712
field_oracle_line_search,test_family_ood,3,0.9239484660390134,0.02684808761091945,0.06669434692266184,0.6897127726257208,0.002019643675913128,0.0050170730196338635,0.8891021438586688,0.0013582324649999303,0.003374036487629937,0.5666119604693903,0.001693033410385701,0.004205728141992392,0.6902042328130454,0.014826941254743105,0.03683216392081411,0.6881355507812779,0.014220258600506023,0.035325080660358985,0.6906784324445961,0.014805340469673836,0.03677850459602012,7.216367501540079e-10,7.194301029472779e-11,1.7871634496997555e-10,0.45828212566408794,0.09293945194240519,0.2308743974795362,0.9666666666666667,0.05773502691896256,0.14342175765831539
