base_seed,ridge_alpha,estimated_profile_selected_subset,teacher_profile_oracle_subset,estimated_raw_selected_subset,teacher_raw_selected_subset,azimuth_spread_subset,estimated_profile_vs_teacher_profile_spearman,estimated_raw_vs_teacher_profile_spearman,teacher_raw_vs_teacher_profile_spearman,estimated_profile_oracle_d_efficiency,estimated_raw_oracle_d_efficiency,teacher_raw_oracle_d_efficiency,azimuth_spread_oracle_d_efficiency,estimated_regularized_trace_retention,teacher_regularized_trace_retention,maximum_dual_svd_relative_difference,minimum_regularized_eigenvalue_relative_to_raw,minimum_raw_minus_profile_eigenvalue_relative_to_raw
401,1e-06,0;3;5,0;3;5,1;2;5,1;2;5,0;2;4,0.9879699248120299,-0.2902255639097744,-0.42105263157894735,1.0,0.19528662554586718,0.19528662554586718,0.07049220204892354,3.615752980332332e-05,4.9527321198751626e-05,1.1958910395352971e-13,1.4821787170743813e-07,0.01393326461588681
401,0.0001,0;3;5,0;3;5,1;2;5,1;2;5,0;2;4,0.9879699248120299,-0.2902255639097744,-0.42105263157894735,1.0,0.20144500899760193,0.20144500899760193,0.07294508062275079,0.003467541977634598,0.004707054863822051,9.401296465072389e-14,1.4250046248844585e-05,0.013859520502246066
401,0.002,0;3;5,0;3;5,1;2;5,1;2;5,0;2;4,0.9729323308270676,-0.21052631578947367,-0.3233082706766917,1.0,0.27081490874908554,0.27081490874908554,0.10293043548866568,0.04583584972615537,0.0581601008431734,2.2461502986612498e-14,0.0002054413709135804,0.013023529696893599
401,0.01,0;3;5,1;4;5,1;2;5,1;2;5,0;2;4,0.9789473684210527,-0.15789473684210525,-0.21052631578947367,0.9343380277263086,0.35693439941030475,0.35693439941030475,0.15081589577884436,0.12324180161302786,0.14640334367781602,6.579054926982005e-15,0.000716308586837688,0.011697757908466878
401,1.0,1;4;5,1;4;5,1;2;5,1;2;5,0;2;4,0.6676691729323309,0.35187969924812035,0.5142857142857143,1.0,0.7303486277689138,0.7303486277689138,0.5679532173313426,0.5334997107229152,0.5396476572929773,7.224095652509009e-16,0.007326615554238234,0.0025451102816042956
503,1e-06,0;1;4,1;2;4,1;2;5,1;2;4,1;3;5,0.9819548872180449,-0.14436090225563908,0.08120300751879699,0.9401603558284979,0.13444587070831598,1.0,0.07686383776236977,5.139761399905474e-05,5.9862651663512456e-05,1.870267853277358e-13,9.260197227647078e-08,0.005821510368330642
503,0.0001,0;1;4,1;2;4,1;2;5,1;2;4,1;3;5,0.9819548872180449,-0.14436090225563908,0.08120300751879699,0.9391726305571186,0.13641258119898148,1.0,0.07801053865045023,0.004821709792512175,0.005596271287575606,9.875857414158135e-14,9.058661238673681e-06,0.005794478825319387
503,0.002,0;1;4,1;2;4,1;2;5,1;2;4,1;3;5,0.9819548872180449,-0.13834586466165413,0.09924812030075188,0.9224971260493701,0.1653874004562302,1.0,0.09508062131485222,0.055913125071248244,0.06309997293501327,5.467757472857097e-14,0.000140587734244467,0.005517372433544663
503,0.01,0;1;4,1;2;4,1;2;5,1;2;4,1;3;5,0.9804511278195487,-0.13984962406015036,0.12481203007518797,0.8826686183472843,0.22911076845210546,1.0,0.13421258039261416,0.1365290473597319,0.14805661409329032,1.9519717809987013e-14,0.0004751222610954527,0.005101228620301655
503,1.0,1;4;5,1;2;4,1;2;5,1;2;4,1;3;5,0.8225563909774435,0.49323308270676686,0.9082706766917292,0.9848374704204979,0.684537698072257,1.0,0.5395583517250246,0.5322706730768094,0.5226952805896056,1.1151625752841149e-15,0.0027590127662925766,0.0021559457538296626
607,1e-06,0;3;5,0;3;5,1;2;5,1;2;4,1;3;5,0.9458646616541352,-0.4285714285714286,-0.38195488721804516,1.0,0.14302294263514936,0.7999830889584381,0.08542814436868496,3.767084712332548e-05,4.345537595205364e-05,1.1150840746343602e-13,1.0161961534435704e-07,0.004385942493404132
607,0.0001,0;3;5,0;3;5,1;2;5,1;2;4,1;3;5,0.9458646616541352,-0.4285714285714286,-0.38195488721804516,1.0,0.1479432197160551,0.8221627051420751,0.08831587054947572,0.0035869333354190754,0.004118961078287083,5.89016110814842e-14,9.907568994497147e-06,0.004319838174671425
607,0.002,0;3;5,1;2;4,1;2;5,1;2;4,1;3;5,0.9112781954887217,-0.2781954887218045,-0.18045112781954886,0.9450955971486167,0.19912270251893258,1.0,0.1178696019213851,0.045828205716516225,0.050543907033164095,2.3779259045450813e-14,0.0001550926326567593,0.0037892075290270025
607,0.01,1;2;4,1;2;4,1;2;5,1;2;4,1;3;5,0.9503759398496241,-0.25864661654135335,-0.13834586466165413,1.0,0.2499449430442415,1.0,0.14651608820420822,0.12169157409149496,0.12832566096259665,1.1936560518018609e-14,0.0005666880675486937,0.0031575779039892055
607,1.0,1;2;4,1;2;4,1;2;5,1;2;4,1;3;5,0.8616541353383457,0.4631578947368421,0.7157894736842104,1.0,0.693200903215549,1.0,0.5243896115355218,0.566077419094877,0.5309841468634967,1.2310459008261605e-15,0.003461291493795906,0.0008587204620927972
