base_seed,family,source,frame_index,mode,selected_step,relative_change,cancellation_ratio
307,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_v,0.025,0.004406248838302437,22088917821.710613
307,smooth_plume,voxelized_teacher_same_forward_family,0,yaw,0.003125,0.003911614247038747,1150771104.2467701
307,smooth_plume,voxelized_teacher_same_forward_family,0,pitch,0.025,0.0026205591436002044,6355337188.746409
307,smooth_plume,voxelized_teacher_same_forward_family,0,roll,0.0125,0.002621642834053867,7164679435.497021
307,smooth_plume,voxelized_teacher_same_forward_family,0,shift_u,0.05,0.004538095259475753,102829734561.98286
307,smooth_plume,voxelized_teacher_same_forward_family,0,shift_v,0.05,0.004982022181220107,86922455413.65103
307,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,yaw,0.003125,0.0013806345371255818,3571901989.239897
307,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,pitch,0.05,0.002730522468446116,25149215799.078606
307,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,roll,0.00625,7.754538026895526e-05,5562210517.647737
307,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_u,0.0125,0.0003649033097314418,21391234215.848793
307,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_v,0.05,0.003075168309438094,50724861633.506386
307,shock_expansion_pair,voxelized_teacher_same_forward_family,2,yaw,0.003125,0.0009733917499571803,3788532788.75287
307,shock_expansion_pair,voxelized_teacher_same_forward_family,2,pitch,0.05,0.003774379815130635,18950640770.420258
307,shock_expansion_pair,voxelized_teacher_same_forward_family,2,roll,0.00625,0.00012835229266340518,5488474586.835751
307,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_u,0.0125,0.0006577880405422654,21924146781.823135
307,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_v,0.05,0.0036797041794864455,49349434613.37874
401,smooth_plume,estimated_field_from_all_camera_pilot,0,yaw,0.00625,0.0035300501588684473,5167339696.397146
401,smooth_plume,estimated_field_from_all_camera_pilot,0,pitch,0.00625,0.003712357446278083,3183220090.551423
401,smooth_plume,estimated_field_from_all_camera_pilot,0,roll,0.025,0.003742491755467867,14776379455.989227
401,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_u,0.025,0.0031228357360631553,55551225588.53066
401,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_v,0.025,0.0027347001762831782,39342180868.65133
401,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,yaw,0.00625,0.0016677093317547886,10110687266.000805
401,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,pitch,0.0015625,0.0027184421741897323,1144439519.239755
401,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,roll,0.05,0.004138887167279701,75418220552.47057
401,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_u,0.05,0.004413500278431247,94601626659.59546
401,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_v,0.003125,0.0018559605306319512,2477595569.4724946
401,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,yaw,0.00625,0.0027144831989548207,10907602951.546646
401,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,pitch,0.00078125,2.368122518402691e-10,431042221.1031959
401,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,roll,0.05,0.004898713951257514,58361634410.58255
401,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_u,0.0125,4.603195456648573e-05,21815216095.04435
401,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_v,0.0125,0.0029678905166593697,12297811658.719715
401,smooth_plume,voxelized_teacher_same_forward_family,0,yaw,0.025,0.002132205734532481,11790716048.387148
401,smooth_plume,voxelized_teacher_same_forward_family,0,pitch,0.025,0.004144169044887137,6506140584.122748
401,smooth_plume,voxelized_teacher_same_forward_family,0,roll,0.025,0.002948887969389637,9357103165.361164
401,smooth_plume,voxelized_teacher_same_forward_family,0,shift_u,0.05,0.00046812461034604014,100889940471.91171
401,smooth_plume,voxelized_teacher_same_forward_family,0,shift_v,0.05,0.0036710801163890245,72280351274.66167
401,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,yaw,0.05,0.00401301477379898,67980672807.10013
401,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,pitch,0.05,0.0029979321798800653,28366098893.222736
401,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,roll,0.025,0.001683296025896903,31010787960.110012
401,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_u,0.05,0.0018142166518137612,86889279018.7266
401,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_v,0.05,0.0034066146574247636,48136175244.947464
401,shock_expansion_pair,voxelized_teacher_same_forward_family,2,yaw,0.05,0.002097778444001296,55020104934.09531
401,shock_expansion_pair,voxelized_teacher_same_forward_family,2,pitch,0.025,0.0023700169839796946,9200174100.696032
401,shock_expansion_pair,voxelized_teacher_same_forward_family,2,roll,0.05,0.003938034682002925,45339126101.08058
401,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_u,0.05,0.0007744598228042492,83000143513.5146
401,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_v,0.05,0.0037795762171423984,48225296741.86342
503,smooth_plume,estimated_field_from_all_camera_pilot,0,yaw,0.003125,0.0012274395033133282,2464953786.7699037
503,smooth_plume,estimated_field_from_all_camera_pilot,0,pitch,0.0125,0.002622091984873356,7367977198.476827
503,smooth_plume,estimated_field_from_all_camera_pilot,0,roll,0.0125,0.0019565558539819416,7794454242.581609
503,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_u,0.05,0.0033074490506997873,107443683257.17006
503,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_v,0.025,0.0022187368867042406,39559994553.529724
503,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,yaw,0.0125,0.0024276722895942553,23686132204.83876
503,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,pitch,0.0125,0.0011407279955465673,10038435653.900238
503,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,roll,0.025,0.002726889894449714,31118985655.66495
503,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_u,0.025,0.0014871722755979483,45241439016.88699
503,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_v,0.05,0.004594526721566665,47399999406.78479
