base_seed,ridge_alpha,camera_subset,estimated_raw_logdet,estimated_regularized_profile_logdet,estimated_raw_rank,estimated_regularized_profile_rank,teacher_raw_logdet,teacher_regularized_profile_logdet,teacher_data_only_relative_rank,teacher_raw_rank,teacher_regularized_profile_rank,field_operator_rank,field_operator_row_count,dual_svd_relative_difference
211,1e-06,1;2;5,32.720539246984856,-31.94665860561833,5,5,28.268400364960982,-36.74171660325455,0,5,5,150,150,8.334131428185601e-15
211,1e-06,1;3;4,32.47619092300305,-22.798251805074592,5,5,28.042062668577728,-26.461515012586275,0,5,5,150,150,4.614675238568836e-14
211,1e-06,1;3;5,32.230558016475506,-34.91120367366904,5,5,27.48706859878917,-39.62734031755966,0,5,5,150,150,5.290867183362809e-15
211,1e-06,1;4;5,33.56353877162336,-22.218484555124913,5,5,28.92212313368467,-26.00988605219276,0,5,5,150,150,1.0366365381626177e-13
211,1e-06,2;3;4,31.857519486230366,-32.99705566919523,5,5,27.75138982722353,-37.182923537667754,0,5,5,150,150,5.251378369594009e-15
211,1e-06,2;3;5,31.565534698500375,-32.15141406127239,5,5,26.927332179268678,-36.90418394013717,0,5,5,150,150,3.2841250489332377e-15
211,1e-06,2;4;5,32.96540928083881,-32.14566133630301,5,5,28.59013418212922,-36.71248826350285,0,5,5,150,150,4.909537369137239e-15
211,1e-06,3;4;5,32.55531069343887,-33.24076129001431,5,5,27.70651325682418,-37.53306615414368,0,5,5,150,150,3.0747479135939143e-15
211,0.0001,0;1;2,31.479468494920262,-10.399643149589025,5,5,27.372360836968816,-15.42226160697006,0,5,5,150,150,1.9510787856976816e-15
211,0.0001,0;1;3,30.595789614245444,4.9575003199500705,5,5,26.260104877445663,-0.04490852418534441,0,5,5,150,150,1.2581344245154143e-13
211,0.0001,0;1;4,32.25014545064161,0.10095799762039936,5,5,27.863278573339684,-3.537190995875508,0,5,5,150,150,4.843612792780157e-14
211,0.0001,0;1;5,32.09705335661703,-10.577646322853358,5,5,27.249128505793554,-15.564693126152484,0,5,5,150,150,3.0866201376621957e-15
211,0.0001,0;2;3,30.059295853574152,4.596033867049931,5,5,25.79671896979363,-0.45036826801438967,0,5,5,150,150,1.9808108763477717e-13
211,0.0001,0;2;4,31.714258500411965,-12.247115515853006,5,5,27.666399174588083,-17.76406345179117,0,5,5,150,150,2.774098322558455e-15
211,0.0001,0;2;5,31.491074914847722,-9.587263355988071,5,5,26.79802034770178,-14.657323404889487,0,5,5,150,150,6.266737135219029e-15
211,0.0001,0;3;4,31.049069210714592,4.9936636681183835,5,5,26.15965389865578,0.04212964644873174,0,5,5,150,150,2.0261385737405236e-13
