case_id,case_index,family,active_views,relative_noise,method,edge_tilt_ratio,warm_h1_iterations,correction_iterations,field_relative_l2,gradient_relative_l2,front_top10_f1,weighted_residual_relative_l2,heldout_clean_relative_l2,saved_residual_consistency_relative_l2,forward_calls,adjoint_calls,evaluator_forward_calls,edge_direction_uses,edge_direction_rejections,edge_backtracks,maximum_data_residual_increase,maximum_adjoint_identity_relative_defect,solve_wall_seconds,maximum_resident_set_bytes
dev-5v-thin,1,thin_front,5,0.05,h16_c4_edge_200,2.0,16,4,0.8993037939071655,1.17091965675354,0.37931033968925476,0.06679265946149826,0.5740169882774353,3.039021748918458e-06,20,20,1,4,0,0,0.0,8.088316860721534e-08,0.15853070805314928,374407168
dev-5v-thin,1,thin_front,5,0.05,h16_c4_edge_400,4.0,16,4,0.8991841673851013,1.1676076650619507,0.37870001792907715,0.0688152015209198,0.5743521451950073,2.8580113848875044e-06,20,20,1,4,0,0,0.0,1.597767180783194e-07,0.15777529194019735,374407168
dev-6v-annular,2,annular_kernel,6,0.03,h1_20,,20,0,0.9441840052604675,0.9836351871490479,0.3646628260612488,0.04840269312262535,0.7812919020652771,3.589517746149795e-06,20,20,1,0,0,0,0.0,0.0,0.12805275002028793,374505472
dev-6v-annular,2,annular_kernel,6,0.03,h19_c1_edge_000,0.0,19,1,0.9460940361022949,0.9854705929756165,0.365273118019104,0.048301175236701965,0.7830430865287781,3.58441343450977e-06,20,20,1,0,0,0,0.0,0.0,0.13250629091635346,374538240
dev-6v-annular,2,annular_kernel,6,0.03,h19_c1_edge_100,1.0,19,1,0.9459601640701294,0.9850504994392395,0.365273118019104,0.04908191040158272,0.7828300595283508,3.5538323572836816e-06,20,20,1,1,0,0,0.0,0.0,0.13444416702259332,374554624
dev-6v-annular,2,annular_kernel,6,0.03,h19_c1_edge_200,2.0,19,1,0.9459189176559448,0.9848887324333191,0.3658834397792816,0.04958502575755119,0.7827941179275513,3.616320327637368e-06,20,20,1,1,0,0,0.0,0.0,0.13262420904356986,374554624
dev-6v-annular,2,annular_kernel,6,0.03,h19_c1_edge_400,4.0,19,1,0.9459248185157776,0.984840989112854,0.3658834397792816,0.050086792558431625,0.7828646302223206,3.5300690797157586e-06,20,20,1,1,0,0,0.0,0.0,0.131284375092946,374554624
dev-6v-annular,2,annular_kernel,6,0.03,h18_c2_edge_000,0.0,18,2,0.9479891657829285,0.9871331453323364,0.3643576502799988,0.049941640347242355,0.7848496437072754,3.3980129501287593e-06,20,20,1,0,0,0,0.0,1.0425748797615597e-07,0.13568825006950647,374587392
dev-6v-annular,2,annular_kernel,6,0.03,h18_c2_edge_100,1.0,18,2,0.9477096796035767,0.986452579498291,0.3643576502799988,0.05093436315655708,0.7842474579811096,3.2474308682139963e-06,20,20,1,2,0,0,0.0,1.1903222940645719e-07,0.14235466602258384,374587392
dev-6v-annular,2,annular_kernel,6,0.03,h18_c2_edge_200,2.0,18,2,0.9474718570709229,0.985988438129425,0.3655782639980316,0.051346950232982635,0.7836814522743225,3.3235910450457595e-06,20,20,1,2,0,0,0.0,1.0425753060872012e-07,0.14058595802634954,374603776
dev-6v-annular,2,annular_kernel,6,0.03,h18_c2_edge_400,4.0,18,2,0.9475294351577759,0.985873281955719,0.364967942237854,0.05232708156108856,0.7839232087135315,3.2443149393657222e-06,20,20,1,2,0,0,0.0,1.0586108345478351e-07,0.1398015000158921,374603776
dev-6v-annular,2,annular_kernel,6,0.03,h16_c4_edge_000,0.0,16,4,0.9512251615524292,0.9897658228874207,0.364967942237854,0.05451071634888649,0.7875993847846985,3.011909257111256e-06,20,20,1,0,0,0,0.0,1.1387167830889666e-07,0.14659987506456673,374620160
dev-6v-annular,2,annular_kernel,6,0.03,h16_c4_edge_100,1.0,16,4,0.9506735801696777,0.988519012928009,0.365273118019104,0.05617561936378479,0.7864803075790405,2.926450179074891e-06,20,20,1,4,0,0,0.0,9.538907619344172e-08,0.15381370799150318,374652928
dev-6v-annular,2,annular_kernel,6,0.03,h16_c4_edge_200,2.0,16,4,0.9499978423118591,0.9875821471214294,0.364967942237854,0.056608475744724274,0.7850380539894104,2.927715286205057e-06,20,20,1,4,0,0,0.0,1.602675894218919e-07,0.16031341697089374,374652928
dev-6v-annular,2,annular_kernel,6,0.03,h16_c4_edge_400,4.0,16,4,0.9500055909156799,0.9871513843536377,0.3658834397792816,0.058202553540468216,0.78509521484375,2.845143853846821e-06,20,20,1,4,0,0,0.0,1.5619498583419045e-07,0.15845579106826335,374652928
dev-7v-shock,3,oblique_shock,7,0.04,h1_20,,20,0,0.8482394814491272,1.1919032335281372,0.4012816548347473,0.06480976939201355,0.5851008296012878,3.530496542225592e-06,20,20,1,0,0,0,0.0,0.0,0.12393016694113612,374702080
dev-7v-shock,3,oblique_shock,7,0.04,h19_c1_edge_000,0.0,19,1,0.853725254535675,1.197847604751587,0.4000610411167145,0.0660497322678566,0.5920870900154114,3.409787041164236e-06,20,20,1,0,0,0,0.0,0.0,0.13158245792146772,374702080
dev-7v-shock,3,oblique_shock,7,0.04,h19_c1_edge_100,1.0,19,1,0.8531687259674072,1.1939125061035156,0.4000610411167145,0.06679145991802216,0.5917585492134094,3.411568513911334e-06,20,20,1,1,0,0,0.0,6.232310312270783e-08,0.13369070796761662,374702080
dev-7v-shock,3,oblique_shock,7,0.04,h19_c1_edge_200,2.0,19,1,0.8529319167137146,1.19204580783844,0.4003661870956421,0.06733547896146774,0.5916662812232971,3.4496715670684353e-06,20,20,1,1,0,0,0.0,1.246462346671251e-07,0.13419437501579523,374718464
dev-7v-shock,3,oblique_shock,7,0.04,h19_c1_edge_400,4.0,19,1,0.852863073348999,1.191114068031311,0.4009765088558197,0.0679611936211586,0.5917348861694336,3.492384621495148e-06,20,20,1,1,0,0,0.0,6.232306049014369e-08,0.13344633392989635,374718464
dev-7v-shock,3,oblique_shock,7,0.04,h18_c2_edge_000,0.0,18,2,0.8587865829467773,1.2022799253463745,0.4009765088558197,0.06893114000558853,0.5987685918807983,3.2446794193674577e-06,20,20,1,0,0,0,0.0,0.0,0.13840112497564405,374734848
dev-7v-shock,3,oblique_shock,7,0.04,h18_c2_edge_100,1.0,18,2,0.8576650619506836,1.195599913597107,0.4018919765949249,0.06994272768497467,0.5978374481201172,3.3186042855959386e-06,20,20,1,2,0,0,0.0,9.598290517942587e-08,0.14168662496376783,374734848
dev-7v-shock,3,oblique_shock,7,0.04,h18_c2_edge_200,2.0,18,2,0.8567641973495483,1.1909433603286743,0.40280744433403015,0.07048793882131577,0.5969870090484619,3.139173486488289e-06,20,20,1,2,0,0,0.0,1.3408785548563174e-07,0.1422030000248924,374751232
dev-7v-shock,3,oblique_shock,7,0.04,h18_c2_edge_400,4.0,18,2,0.8565757274627686,1.1882600784301758,0.404028058052063,0.07161562144756317,0.5970931649208069,3.1934607704897644e-06,20,20,1,2,0,0,0.0,0.0,0.1461911250371486,374751232
dev-7v-shock,3,oblique_shock,7,0.04,h16_c4_edge_000,0.0,16,4,0.8689389824867249,1.2088037729263306,0.39945071935653687,0.07768021523952484,0.6120424270629883,2.7468900043459143e-06,20,20,1,0,0,0,0.0,1.0107815029414269e-07,0.147137583931908,374751232
dev-7v-shock,3,oblique_shock,7,0.04,h16_c4_edge_100,1.0,16,4,0.8669265508651733,1.1971689462661743,0.40219712257385254,0.07928862422704697,0.6103007197380066,2.7422715902503114e-06,20,20,1,4,0,0,0.0,9.784675825130762e-08,0.15975733299273998,374751232
dev-7v-shock,3,oblique_shock,7,0.04,h16_c4_edge_200,2.0,16,4,0.8653544783592224,1.189933180809021,0.4037229120731354,0.08017940074205399,0.6085799932479858,2.6858638193516526e-06,20,20,1,4,0,0,0.0,7.676043622950601e-08,0.1575585410464555,374751232
