method,method_label,source_split,pair_index,source_index,sample_seed,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2,used_noisy_reprojection_rel_l2,used_clean_reprojection_rel_l2,correction_vs_feasible_relative_l2,outside_support_relative_l2,negative_voxel_fraction
feasible_fno,FNO + hard support,val_tune,74,183,30360844,g_111001110,validation,1,0.05,0.3933665184281865,0.6360920818898838,0.2232079593431421,0.21835388504939637,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,75,183,30360844,g_111010110,validation,1,0.05,0.27424774824061954,0.3733071721512744,0.2090551375222109,0.20374477707898755,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,76,190,30360851,g_011010111,validation,1,0.02,0.48975674040198686,0.48812133075669795,0.21901563344104807,0.2185792514418684,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,77,190,30360851,g_101011110,validation,1,0.02,0.273098579725599,0.31147557184594493,0.10858927686403072,0.10743423349278923,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,78,190,30360851,g_111001110,validation,1,0.02,0.4040459186357186,0.4591944822520574,0.1794904134344699,0.17868390007246895,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,79,190,30360851,g_111010110,validation,1,0.02,0.4945195221247206,0.5168381908620315,0.21653710456785918,0.21604347454488462,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,80,175,30360836,g_011010111,validation,0,0.05,0.2428351427961244,0.25635861004310206,0.2399250272677209,0.23989528062799464,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,81,175,30360836,g_101011110,validation,0,0.05,0.18156682092751292,0.2135256074109664,0.17702635371712822,0.17840048209904397,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,82,175,30360836,g_111001110,validation,0,0.05,0.20913296990501853,0.25772443981028625,0.20032214882839997,0.19977178791350783,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,83,175,30360836,g_111010110,validation,0,0.05,0.21182833354434594,0.23119258991397745,0.2074485878899143,0.2073201915677069,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,84,177,30360838,g_011010111,validation,0,0.05,0.21694470591397624,0.2141924181206392,0.22483048840422165,0.22207236038364034,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,85,177,30360838,g_101011110,validation,0,0.05,0.15888278537075723,0.17541419582152587,0.172195626442163,0.16824339202861463,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,86,177,30360838,g_111001110,validation,0,0.05,0.20733436716365372,0.3373185179891567,0.19675467551740894,0.19245162079493403,0.0,0.0,0.0
