method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
fno_pbb_fixed64,FNO + fixed PBB-64,test_joint_ood,32,4,0.4051369285662006,0.4058178767938902,0.441819234878779,0.48779676286092555,0.07549565182990522,0.07433874340924203,0.4751867940522003,0.0,0.0
fno_pbb_discrepancy,FNO + PBB + active discrepancy,test_joint_ood,32,4,0.40658597615885017,0.4058178767938902,0.441819234878779,0.49071919231359545,0.07570100039633115,0.0744375802761549,0.4720024548044539,0.0,0.0
fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,test_joint_ood,32,4,0.40654139811692747,0.4058178767938902,0.441819234878779,0.4906152721532281,0.07569510624730495,0.074433743037839,0.4720943373158747,0.0,0.0
fno_pbb_ncp,FNO + PBB + NCP whiteness,test_joint_ood,32,4,0.45400162952273837,0.451362732164159,0.5420321926757904,0.5675403565768413,0.10084665712182728,0.09727508604858724,0.37034408371210026,0.0,0.0
fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,test_joint_ood,32,4,0.40654139811692747,0.4058178767938902,0.441819234878779,0.4906152721532281,0.07569510624730495,0.074433743037839,0.4720943373158747,0.0,0.0
fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),test_joint_ood,32,4,0.4070059705200276,0.4058178767938902,0.441819234878779,0.4914631103341328,0.07575182571329252,0.0744655337312318,0.4711129697134717,0.0,0.0
fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),test_joint_ood,32,4,0.4051369285662006,0.4058178767938902,0.441819234878779,0.48779676286092555,0.07549565182990522,0.07433874340924203,0.4751867940522003,0.0,0.0
feasible_fno,FNO + hard support,test_noise_ood,32,4,0.2477908013924749,0.20830987350754904,0.36959209820278943,0.3455960092649074,0.18035928083764546,0.16662810019673105,0.0,0.0,0.0
fno_geometry,FNO + fixed Landweber,test_noise_ood,32,4,0.1846225385878341,0.15117041929348007,0.29492707981751415,0.23357804321306944,0.06873404896933685,0.07045960639677007,0.20328048157471887,0.0,0.0
fno_pbb_fixed64,FNO + fixed PBB-64,test_noise_ood,32,4,0.1981561935001137,0.18405076394052117,0.2904731218322438,0.2279454311327745,0.06663684589125138,0.07120051902305968,0.2392943583797382,0.0,0.0
fno_pbb_discrepancy,FNO + PBB + active discrepancy,test_noise_ood,32,4,0.1740364994549862,0.1479695471102243,0.2965165574724341,0.22718028011145547,0.07039962504129156,0.06894396726334594,0.19706725371131506,0.0,0.0
fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,test_noise_ood,32,4,0.17412066401856452,0.1479695471102243,0.2965165574724341,0.22711637282687724,0.0703965056949539,0.06894684879022736,0.19720245725013205,0.0,0.0
fno_pbb_ncp,FNO + PBB + NCP whiteness,test_noise_ood,32,4,0.1937127636615702,0.18301904978069344,0.293373048822565,0.24318558257292472,0.07065220711568364,0.07164700112376841,0.21171728222040956,0.0,0.0
fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,test_noise_ood,32,4,0.17424849697496572,0.1479695471102243,0.2965165574724341,0.2272251800840966,0.07037743252405051,0.06896570749246259,0.19730005899645472,0.0,0.0
fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),test_noise_ood,32,4,0.1743900786975387,0.14920642485181612,0.2895071290148112,0.22091998034223492,0.06954919207543211,0.06920087607701472,0.20467287361163272,0.0,0.0
fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),test_noise_ood,32,4,0.16734790840161318,0.12452264480431781,0.28363993583035346,0.21543979032989358,0.0705685019914841,0.06834793180248705,0.19906095260776804,0.0,0.0
feasible_fno,FNO + hard support,val_lock,16,4,0.254673670415674,0.2583526082976705,0.35149972335558416,0.3199039919539456,0.1851862158198534,0.18349800843848163,0.0,0.0,0.0
fno_geometry,FNO + fixed Landweber,val_lock,16,4,0.14378338642789795,0.08962904885900733,0.2504213021063034,0.18083723968679366,0.026232602203439606,0.028621529507453634,0.21392686410843503,0.0,0.0
fno_pbb_fixed64,FNO + fixed PBB-64,val_lock,16,4,0.13604524096504145,0.09858289304364806,0.22107069235157187,0.16282052610700842,0.02345529971321391,0.027016213427325256,0.23375071722831012,0.0,0.0
fno_pbb_discrepancy,FNO + PBB + active discrepancy,val_lock,16,4,0.13447870393212435,0.09022093748445599,0.22910061336703924,0.16867564060148016,0.025245718130673542,0.026960805860187766,0.2236562520318769,0.0,0.0
