active_interface_count,base_seed,camera_bias_rmse,case_id,clean_reprojection_relative_l2,evaluation_forward_calls,false_positive_count,family,field_mean_bias,field_nrmse_dynamic_range,field_relative_l2,field_rmse,gate_probability_max,gradient_closure_rms,h1_seminorm_relative_error,initialization_adjoint_calls,interface_detection_f1,jump_rms,measured_reprojection_relative_l2,method,missed_truth_count,optimization_forward_calls,optimization_vjp_or_adjoint_calls,split,surface_assd,surface_f1_at_1dx,surface_f1_at_2dx,surface_hd95,wall_seconds
,211,,0c33a4d301afe4c89d89,0.024500001976501044,1,1,smooth_no_interface,0.012548144104762628,0.058496222071321886,0.4714834821910292,0.03574788969209379,,,1.0474240243590445,0,0.0,,0.004120837032001903,cgls,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.013414916989859194
,211,,0c33a4d301afe4c89d89,0.10149871102486033,1,1,smooth_no_interface,0.01392781169434921,0.05301550382473506,0.4273085246927822,0.03239854328347359,,,0.8333880182735323,0,0.0,,0.10157657657720201,huber_pdhg,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.02021437499206513
0,211,,0c33a4d301afe4c89d89,0.10925758311911839,1,0,smooth_no_interface,0.020433548905881806,0.10421272765729017,0.8399615904182138,0.06368590929278854,0.19936091540862735,,1.8271398001230124,1,1.0,,0.10743755229098881,phase_only,0,24,24,development,0.0,1.0,1.0,0.0,0.04854408302344382
0,211,,0c33a4d301afe4c89d89,0.30931753717608124,3,0,smooth_no_interface,0.028451246257252157,0.10199656047542316,0.8220991339547834,0.06233157738636171,0.18896937806195124,0.0,1.4683272769449618,1,1.0,0.005496797821874144,0.3086279459959363,jacru_no_bias,0,24,24,development,0.0,1.0,1.0,0.0,0.07375758397392929
0,211,0.006524024398962311,0c33a4d301afe4c89d89,0.39396238061427635,3,0,smooth_no_interface,0.0276948984620184,0.09780431521648321,0.788309355352092,0.05976963550751583,0.18590301159849154,0.0,1.244245923130193,1,1.0,0.004345143836212907,0.3928176947150839,jacru_bias,0,24,24,development,0.0,1.0,1.0,0.0,0.07614337501581758
,211,,f3238d2aa273be06bdf1,0.016784528206050375,1,0,single_interface,-0.0011888329539997027,0.05635807000259098,0.48585247698103995,0.04371615071586649,,,0.9952357642993676,0,1.0,,0.0032681176417615906,cgls,0,24,24,development,0.22646882220846984,0.5176370481151049,0.6649350649350649,0.8331955809010618,0.012607041047886014
,211,,f3238d2aa273be06bdf1,0.13310412991800605,1,0,single_interface,-0.0010058138670766522,0.060399482337823246,0.5206927437517802,0.04685101659654433,,,0.9358994007461495,0,1.0,,0.13087948511184394,huber_pdhg,0,24,24,development,0.2118060585569028,0.539026786858632,0.6875376279349789,0.8131156281817418,0.02047345897881314
0,211,,f3238d2aa273be06bdf1,0.1128816354421058,1,0,single_interface,-0.004495724068557217,0.07770281877071841,0.6698616004136903,0.06027296776259762,0.19932955200980443,,1.4429176480424688,1,0.0,,0.11099211195829137,phase_only,1,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.04768083296949044
0,211,,f3238d2aa273be06bdf1,0.3366139669379007,3,0,single_interface,-0.002084957885648018,0.08642499010686025,0.7450538230735989,0.06703863160954726,0.1916063278058898,0.0,1.267308027528503,1,0.0,0.005823766122164493,0.33513016993913486,jacru_no_bias,1,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.0751171670272015
0,211,0.02545516171756355,f3238d2aa273be06bdf1,0.42617768927872135,3,0,single_interface,-0.001474358657928761,0.08627463244859264,0.7437576175665788,0.0669220013195141,0.18843998112895533,0.0,1.1006066431801855,1,0.0,0.004332890042419932,0.42148201999802287,jacru_bias,1,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.07668479101266712
