base_seed,scene,model,condition_class,expected_exact,nuisance_rank,nuisance_row_count,nuisance_column_count,profile_relative_rank,generalized_profile_rank,generalized_minimum_retention,generalized_median_retention,generalized_maximum_retention,profile_trace_retention,profile_max_eigenvalue_retention,profile_minimum_eigenvalue_relative_to_raw,profile_condition_number,projector_orthogonality_defect,nuisance_residual_orthogonality_defect,profile_symmetry_defect,clean_model_residual_relative_l2
709,reacting_birth,pilot_pca_rank_8_reacting,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.7853931193013461,0.9427742764824548,0.9980597770558648,0.9437704536626499,0.9017812031355125,0.0209442512762894,43.056263565573346,9.761815091727862e-16,4.131393537639602e-17,0.0,0.056830288682961416
709,pure_transport,pilot_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.7454909764448052,0.8896413303192072,0.9866314919908221,0.8758005355608818,0.8642062019973207,0.017472122209878493,49.46200533720572,1.1579794560760396e-15,4.584090635468277e-17,0.0,0.03487046849145421
709,pure_transport,teacher_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.730391704342003,0.8763406287508577,0.9973509785490486,0.8700764692716133,0.8728444343988422,0.017097720136423168,51.05034048015718,1.2218488107770806e-15,4.150468735152485e-17,0.0,0.0337650901529017
709,reacting_birth,pilot_pca_rank_16_reacting,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.7393386769981919,0.8752020442055984,0.9866019784980267,0.875819936455652,0.8318636912847354,0.019736641244767993,42.14818929767267,1.1579794560760396e-15,4.797024468368527e-17,0.0,0.04943878206574273
811,pure_transport,transport_exact,frozen_transport,True,512,1152,512,5,5,0.00013363784446508058,0.015376349010259192,0.03780956373662077,0.013631059333524745,0.018959367793955764,0.00011319645933970426,167.49081998279132,3.4797202336602637e-15,2.018092824184101e-16,0.0,2.9474556331123793e-15
811,pure_transport,transport_velocity_mismatch_10pct,frozen_transport,False,512,1152,512,5,5,0.00021042793606129373,0.021953830934915926,0.0544802370267084,0.019432500618727783,0.027394765515191388,0.00017340068364624556,157.98533742277164,3.5491284371463257e-15,2.5469728838823344e-16,0.0,0.0015490751632286574
811,pure_transport,transport_wrong_frame_order,frozen_transport,False,512,1152,512,5,5,0.0007422590127231016,0.0281483798480818,0.07987678840236309,0.021457222997717622,0.026997926122169245,0.00042908474055057116,62.91980014839824,3.4172414140665535e-15,2.150426696252498e-16,0.0,0.024431509971094025
811,reacting_birth,transport_only_reacting,frozen_transport,False,512,1152,512,5,5,0.00044175111945677774,0.016395791655260603,0.041992182794935363,0.014718664994884686,0.019968046828215808,0.00022285980402391686,89.59914021136301,3.4797202336602637e-15,2.0679266075385093e-16,0.0,0.009325919011540803
811,reacting_birth,transport_shared_birth,frozen_transport_plus_shared_free_source,True,704,1152,1024,5,5,1.062588675295987e-05,0.0012224848792454957,0.003717043329552521,0.0009948748278876146,0.0012730795754607586,1.0051228350990648e-05,126.65910384329136,3.749070820115569e-15,2.6353358981266975e-16,0.0,3.886902180853932e-15
811,pure_transport,pilot_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.9211577597024722,0.986699425691644,0.9998222590850859,0.966832245827258,0.9296447201794944,0.0801491766669881,11.598930380059626,7.931979148349498e-16,3.267842259133483e-17,0.0,0.3267127061590474
811,pure_transport,teacher_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.9238626886041073,0.9862024249736205,0.9998028938720258,0.9678959145569531,0.9328609834127276,0.08014529036775225,11.639623228417165,5.734007161350868e-16,2.955828960717465e-17,0.0,0.3228355449992293
811,reacting_birth,pilot_pca_rank_4_reacting,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.9076754496601911,0.9873565650737121,0.9996162701647477,0.9613340500401355,0.9164206962861365,0.07998719177636095,11.457093016196767,7.931979148349498e-16,3.700270456611441e-17,0.0,0.31568800492157245
811,pure_transport,pilot_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.8108418044683272,0.94246064941404,0.9983408144042557,0.899181305641459,0.8142623814944159,0.07743981945095818,10.514776342035246,1.0442550029058684e-15,5.3417308922554644e-17,0.0,0.1281564190554593
811,pure_transport,teacher_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.8112422603721395,0.942500768044045,0.9984069368129689,0.9003285651817109,0.8136520923795283,0.07749859081196207,10.498927578615264,1.0138778310001504e-15,5.161795871934945e-17,0.0,0.12812608482095122
811,reacting_birth,pilot_pca_rank_8_reacting,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.7976491053447287,0.9291142546195112,0.9984393096603902,0.8935167349878226,0.801333332828356,0.07631072008039147,10.500927418640147,1.0442550029058684e-15,5.59475105726986e-17,0.0,0.12551387191758342
811,pure_transport,pilot_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.6481854220031265,0.8817470443590931,0.9901149476637019,0.8426584065587102,0.7632472391926876,0.07040833237318538,10.840297070909836,1.2479442000685683e-15,6.531688448479785e-17,0.0,0.12049248959986493
811,pure_transport,teacher_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.6076092415369382,0.9207434795298451,0.9956753714785705,0.8026548097853718,0.6664870424613017,0.07284145835557068,9.149831119633685,1.3121613392232784e-15,6.295147701045788e-17,0.0,0.12033647578912111
811,reacting_birth,pilot_pca_rank_16_reacting,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.6380430201850561,0.8694792994769712,0.9897092905486857,0.8346849378894917,0.7483357022851813,0.06940603751358299,10.781997202170338,1.2479442000685683e-15,6.295447585146417e-17,0.0,0.11615728340669881
907,pure_transport,transport_exact,frozen_transport,True,512,1152,512,5,5,9.762465291966085e-05,0.004639700013114823,0.03601428559881942,0.009013859355767824,0.01647204428197367,8.113067001502068e-05,203.03103966630627,3.4691354532956023e-15,2.7430989247986377e-16,0.0,3.292119968918377e-15
907,pure_transport,transport_velocity_mismatch_10pct,frozen_transport,False,512,1152,512,5,5,0.00015139004928043043,0.006684366494119202,0.046635552149207934,0.011864703666994514,0.02132911378270406,0.00012049505605953613,177.012356192983,3.525732371158181e-15,2.779170513739738e-16,0.0,0.0010121915189923916
907,pure_transport,transport_wrong_frame_order,frozen_transport,False,512,1152,512,5,5,0.0004197238620773987,0.012206943452988842,0.04245088136641583,0.01130831558025698,0.01698255989284443,0.00013465557347652963,126.11850705017034,3.403785841340493e-15,2.916531543044387e-16,0.0,0.015445333890948055
907,reacting_birth,transport_only_reacting,frozen_transport,False,512,1152,512,5,5,0.0002819930536795435,0.00480295026238866,0.03855857941205919,0.009864741295361565,0.017879680204800266,0.00017894883365527538,99.91504185628524,3.4691354532956023e-15,2.30209175364184e-16,0.0,0.0072832423106287715
907,reacting_birth,transport_shared_birth,frozen_transport_plus_shared_free_source,True,704,1152,1024,5,5,1.584360437078347e-05,0.0005521285363046264,0.003068843657682495,0.0007763187268360042,0.0013374394188080752,1.2298426961486736e-05,108.74881990976141,3.725052967460008e-15,2.279281663637625e-16,0.0,3.660255613266127e-15
907,pure_transport,pilot_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.8635699536314857,0.943124718943884,0.9999753512840832,0.9535805804466642,0.9215900577767014,0.026386406219975733,34.926698622528406,6.758484960617622e-16,3.525920370972331e-17,0.0,0.07066844012668652
907,pure_transport,teacher_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.8541854063784762,0.9439867470962725,0.999974950728019,0.9536924242977367,0.9229225108823794,0.02617894237847915,35.25438489986837,6.716859629188978e-16,3.7460300251673503e-17,0.0,0.06927513066080614
907,reacting_birth,pilot_pca_rank_4_reacting,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.8903547349584446,0.9376739866908101,0.9999490445120718,0.9539074123587166,0.9227511005467193,0.02674820399164862,34.49768443648861,6.758484960617622e-16,3.7693123942949646e-17,0.0,0.07117411591421438
907,pure_transport,pilot_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.6470368886436014,0.8543467196035488,0.9990457643800961,0.8633465904072061,0.7980302125214358,0.024094892897450208,33.12030544887318,9.97847089608754e-16,4.823985756611751e-17,0.0,0.059515677206904545
907,pure_transport,teacher_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.6427576186341413,0.8514324940535939,0.9988931584078329,0.8607475772540194,0.7939321701443073,0.02410592399443693,32.935147822067634,9.824334437822576e-16,6.019271691120212e-17,0.0,0.059048455895787055
907,reacting_birth,pilot_pca_rank_8_reacting,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.6650599635554852,0.854298514239539,0.9989396214902396,0.8605279283500866,0.7885266327294336,0.024335267564738902,32.402628433475115,9.97847089608754e-16,4.831644704016736e-17,0.0,0.057061785991225626
907,pure_transport,pilot_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.5350368691772348,0.8027819460597687,0.9787403957203589,0.8184781682409624,0.7635888151210309,0.022620089752292398,33.757108105357815,1.1678079600224083e-15,7.08117473944303e-17,0.0,0.054179461210439796
907,pure_transport,teacher_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.4538219260676734,0.7791290328627926,0.9966323016670272,0.8036586204669023,0.7227621306738766,0.022658225606551737,31.89844355971486,1.2826446729073356e-15,6.517907703377289e-17,0.0,0.04893005595923082
907,reacting_birth,pilot_pca_rank_16_reacting,frozen_independent_fit_spatial_basis,False,96,1152,96,5,5,0.5433087526028938,0.806265450655992,0.9789756395562104,0.8163198234554898,0.757507982605458,0.023048499408120312,32.86582649882088,1.1678079600224083e-15,6.91023714113315e-17,0.0,0.0508726188231453
