noise_level,view_count,dynamics,best_rank,best_rel_l2_global,rank_1_regret_pct,rank_2_regret_pct,rank_3_regret_pct,rank_5_regret_pct,rank_8_regret_pct
0.14,7,transient,5,0.2954619943670725,21.285792605775,4.422468911680426,1.0953779388175775,0.0,1.3288808172135416
0.14,9,chirp,5,0.2782160033619875,25.6486949867173,4.924974686178465,0.7617485796774194,0.0,1.1498960197442294
0.14,9,fast,5,0.28131895394036754,25.54050448693356,5.255623879324743,1.1793580953724945,0.0,1.153333939766712
0.14,9,smooth,5,0.2812906796229135,25.490521073683162,5.205350560921215,1.0953562943454285,0.0,1.1466507964867767
0.14,9,transient,5,0.2818411547182032,25.23659835054455,5.633262914560229,1.632298398274184,0.0,1.0734887803698723
0.28,3,chirp,2,0.5114978734457999,2.328988630050326,0.0,1.122033974809178,3.5264229188766425,6.373842440796716
0.28,3,fast,2,0.5216325054869151,2.1963679910945233,0.0,0.9925180520283955,3.1172645308964584,5.808054733934667
0.28,3,smooth,2,0.5213889866595535,2.290440126863536,0.0,1.0183848036707392,3.2663419727492355,5.918015865584483
0.28,3,transient,2,0.5205295074004741,2.1070654877207313,0.0,0.9850707261371425,3.1785859658869033,5.84249973250073
0.28,5,chirp,3,0.36255317081336846,9.471990776903965,0.30556623325540594,0.0,2.945931867536078,7.3244849055230405
0.28,5,fast,3,0.37050566372246063,8.79202241664922,0.266063991585541,0.0,2.6222102665689535,6.7303016757156415
0.28,5,smooth,3,0.3697550170223857,8.873909703744074,0.2134303640264606,0.0,2.663395354730789,6.863956284516084
0.28,5,transient,3,0.37126324893632295,8.333469498459303,0.19057601146305847,0.0,2.387376471578072,6.515717802653691
0.28,7,chirp,3,0.30516928490239464,17.893979541681997,1.9271021140511035,0.0,2.4192002590398585,6.88812970051486
0.28,7,fast,3,0.3100676707469346,17.3730846930804,2.1136659315824,0.0,2.2230782560598086,6.621893725354824
0.28,7,smooth,3,0.3095880442911474,17.340222003836672,1.9304250212617782,0.0,2.323918706186746,6.620786853052772
0.28,7,transient,3,0.3118664554439783,16.535059813326452,1.8432763359350859,0.0,1.7668121393541778,6.0589155759480064
0.28,9,chirp,3,0.29126469894619933,21.57964424722085,2.954138830027841,0.0,1.7255718854687052,5.589726938046824
0.28,9,fast,3,0.2953878735189295,21.045086055718023,2.836189191618306,0.0,1.312982704117969,5.166398075672554
0.28,9,smooth,3,0.29527121235300435,21.096247720809505,2.9303776084050006,0.0,1.411973558880978,5.1238573929448314
0.28,9,transient,3,0.29724954003006343,20.273501151387485,2.8242638243778244,0.0,0.8746521175498201,4.5355055439843035
0.42,3,chirp,2,0.5285076865618634,1.240729386357792,0.0,2.4772372501638715,6.954339838671021,11.23051639726901
0.42,3,fast,2,0.5382426441069291,1.0844005207574838,0.0,2.1619092196400826,6.464511099434601,10.425970774499493
0.42,3,smooth,2,0.5375552734829944,1.257335276100139,0.0,2.32913730443914,6.548224493013909,10.630288726582231
0.42,3,transient,2,0.5368434463770888,1.0593687802944298,0.0,2.321153115771088,6.520590742241129,10.61503489896906
0.42,5,chirp,2,0.3812945992736585,7.048360731296194,0.0,1.3704127113899378,7.637372962183404,14.58326942058018
0.42,5,fast,2,0.38909432394975135,6.507083683664352,0.0,1.4203287235905853,7.037381207658309,13.919921076490708
0.42,5,smooth,2,0.38760596123799235,6.72452470554015,0.0,1.5870167084047107,7.142686466590882,14.171136188624914
0.42,5,transient,2,0.3889263640186029,6.26669222073825,0.0,1.6201018984284752,6.9364957025738265,13.863648439425448
0.42,7,chirp,2,0.32646951200060503,12.93999014383522,0.0,0.35850382549788207,6.405576599749587,13.692221988636078
0.42,7,fast,3,0.33159389262580685,12.43752699726441,0.19376305119292958,0.0,5.865425892944363,13.154196432575661
0.42,7,smooth,2,0.33039160422730385,12.53122737119584,0.0,0.2484717566644556,6.248544423513449,13.297963967744225
0.42,7,transient,2,0.3323150029377024,11.910177890622457,0.0,0.2961190616781213,5.77015655754708,12.82546557124141
0.42,9,chirp,3,0.3086334725081582,17.10006125393344,1.2460400920591732,0.0,5.148109690408618,11.748362694615084
0.42,9,fast,3,0.31263477682460855,16.63205527252953,1.0644353145145866,0.0,4.585495998654192,11.335919833655261
0.42,9,smooth,3,0.31258692753604644,16.72774582871439,1.2944301681245935,0.0,4.713708103661585,11.276235560794454
0.42,9,transient,3,0.31444951690549877,16.00891876317807,1.2135079858938442,0.0,4.237826559193211,10.690347096413022
