design_id,seed,method,rank,noise_level,view_count,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
d-fast_v-9_n-0.28_s-20260711,20260711,lowrank,2,0.28,9,fast,0.19467883394099772,0.006173082976602018,0.3043175343127796,0.09260916169020979,0.3039638675317727,0.9422123080214532,0.24491877904853568,0.6686783032593532,0.8577099913020244,0.7868040194647891,0.04993631059058557,0.1316853046240065,0.21681716607960003
d-fast_v-9_n-0.28_s-20260711,20260711,lowrank,3,0.28,9,fast,0.19467883394099772,0.005289124906994402,0.29667306929052867,0.08801491004226282,0.2966688804721249,0.9451623945091633,0.2785381600695492,0.606003973146065,0.7781998197427701,0.8957458305786791,0.05099255898822096,0.1327154959301461,0.21857842819300605
d-fast_v-9_n-0.28_s-20260711,20260711,lowrank,5,0.28,9,fast,0.19467883394099772,0.005235958960838616,0.29915511016993407,0.08949377994078539,0.29935351870910165,0.9442137802839554,0.3038799902603923,0.6473244319584529,0.8763128418626028,0.9769521330571732,0.05194407853298619,0.12627424739219556,0.22246183064026387
d-fast_v-9_n-0.28_s-20260711,20260711,lowrank,8,0.28,9,fast,0.19467883394099772,0.006511084036901593,0.31024427832614904,0.09625151223411303,0.3102411694252329,0.939866880881704,0.3250752089274175,0.7430777964880838,1.077731523301885,1.041180892580447,0.053292087164332314,0.1309622726874727,0.25241981711464884
d-fast_v-9_n-0.28_s-20260712,20260712,framewise,0,0.28,9,fast,0.20699883298948407,0.0,0.33187022341854877,0.11013784519187748,0.3321021913017236,0.9308708119238985,0.38787690231313876,0.9919774074917379,1.6173368381572915,1.227283457243367,0.05676102612802584,0.14072433929042927,0.28801603738556236
d-fast_v-9_n-0.28_s-20260712,20260712,lowrank,1,0.28,9,fast,0.20699883298948407,0.004721584031358361,0.35692869950843503,0.12739809653278272,0.3553667633196611,0.9195663244194613,0.17405186708651102,0.8007950130173946,0.903293728144924,0.6286177448764418,0.049204882149909354,0.12480445693778176,0.33513980030190826
d-fast_v-9_n-0.28_s-20260712,20260712,lowrank,2,0.28,9,fast,0.20699883298948407,0.0046646250411868095,0.3031552725085344,0.09190311924972376,0.30271247199415297,0.9426662763192784,0.24364572990006236,0.6689264303659652,0.8583893519454615,0.7872893771622843,0.04993824472805624,0.1314041431898369,0.21929993336515405
d-fast_v-9_n-0.28_s-20260712,20260712,lowrank,3,0.28,9,fast,0.20699883298948407,0.03935904102399945,0.2943154922384017,0.08662160897153269,0.29438521414127666,0.9460552507896982,0.27640292695017205,0.5953176957541063,0.7641553556811173,0.8906669761792613,0.0508223988856236,0.13222964610116011,0.21616785374170058
d-fast_v-9_n-0.28_s-20260712,20260712,lowrank,5,0.28,9,fast,0.20699883298948407,0.004987832973711193,0.2985193009231785,0.08911377302366322,0.2985835821447438,0.9444576249135481,0.3095061128648088,0.6754403371252227,0.9816822765316303,0.9968885799636024,0.05196250352959956,0.1262747406624199,0.22782036335515515
d-fast_v-9_n-0.28_s-20260712,20260712,lowrank,8,0.28,9,fast,0.20699883298948407,0.002702208934351802,0.30927871708999444,0.0956533248448328,0.3093791428487342,0.9402524745829897,0.33972537600716024,0.7981899275130392,1.2331735094582907,1.0864679167268236,0.053635768195092214,0.13150093506978724,0.253675141623929
