axis,condition,condition_value,seed,method,rank,view_count,frame_count,noise_level,bias,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
frame_count,frames_18,18,20260713,framewise,3,5,18,0.14,none,smooth,0.11642837501130998,0.0,0.3691560675431132,0.13627620220389555,0.3697764804377532,0.9136907349251115,0.24914437822696975,1.3116585502360147,3.3827016314167757,1.4841679942422694,0.07002091159188709,0.15630997709194377,0.2969690445412775
frame_count,frames_18,18,20260713,lowrank,3,5,18,0.14,none,smooth,0.11642837501130998,0.004478040966205299,0.3542078469957473,0.12546319887336274,0.35416198961408735,0.9208345759190495,0.15365475516964297,0.717974459589922,0.9117478480423559,0.9252589971500583,0.06790752454453573,0.15800970278654247,0.26779215744958157
frame_count,frames_18,18,20260714,framewise,3,5,18,0.14,none,smooth,0.10241545899771154,0.0,0.37066998650378635,0.13739623889471714,0.37141867404219464,0.9129475637758961,0.25223056219393014,1.3322086156538588,3.478702728979028,1.5009161702298666,0.068385195944988,0.1576893775646725,0.30135739624941904
frame_count,frames_18,18,20260714,lowrank,3,5,18,0.14,none,smooth,0.10241545899771154,0.01616525009740144,0.35544502310622855,0.12634116445098734,0.3554976674578177,0.9202565978713103,0.154038597623203,0.7181577992758518,0.8900484239959736,0.9266338659277116,0.06635583267248787,0.15841499100721554,0.27039018698831335
frame_count,frames_18,18,20260715,framewise,3,5,18,0.14,none,smooth,0.12184300005901605,0.0,0.36932332726095324,0.13639972005910117,0.3700175606033805,0.9136088075298866,0.24569486484221278,1.2929300068368925,3.331817664616323,1.462572552307106,0.06724838970881064,0.15819940254830647,0.2934999927566993
frame_count,frames_18,18,20260715,lowrank,3,5,18,0.14,none,smooth,0.12184300005901605,0.0026250829687342048,0.35511163358727804,0.1261042723090252,0.3551661004788485,0.9204125833122093,0.15260845624475558,0.7163853238962432,0.880553637628939,0.9177176602126621,0.06536332037166964,0.15968963321130447,0.2646106695024489
frame_count,frames_18,18,20260716,framewise,3,5,18,0.14,none,smooth,0.13128958293236792,0.0,0.3693738146141625,0.1364370149226177,0.37001738493954184,0.9135840690061554,0.24528755793660942,1.2856117422655098,3.2680046613302713,1.4598497630854201,0.06950853853683948,0.1564354741331819,0.2867530785572289
frame_count,frames_18,18,20260716,lowrank,3,5,18,0.14,none,smooth,0.13128958293236792,0.06311654206365347,0.35535017182576184,0.1262737446165985,0.35532450599900056,0.9203009942370957,0.15354667743102798,0.7158366571800524,0.885820913595321,0.9246164975019314,0.0673905969498765,0.15807279701006866,0.2629600195470832
frame_count,frames_18,18,20260717,framewise,3,5,18,0.14,none,smooth,0.13842666696291417,0.0,0.3697811723410589,0.13673811541792794,0.3704709649084761,0.9133843177181852,0.24370380124714752,1.2770330357166473,3.27656840158349,1.4505621571057332,0.07054541333328661,0.15703340510563768,0.29652520071482374
frame_count,frames_18,18,20260717,lowrank,3,5,18,0.14,none,smooth,0.13842666696291417,0.04951779101975262,0.35578722501890186,0.1265845494866507,0.35586499528436977,0.9200963095385125,0.1537829318779598,0.7179183852891389,0.895927458817408,0.9247619416365808,0.06873670191077771,0.15872942937164955,0.2720590635079953
frame_count,frames_30,30,20260710,framewise,3,5,30,0.14,none,smooth,0.18377083295490593,0.0,0.37101159445614723,0.13764960322089267,0.37171742386059176,0.9127821409057482,0.21108415424765603,1.9424288211620282,7.674055491232531,2.057035840889581,0.07024362247380647,0.15791074108134046,0.2992408109772741
frame_count,frames_30,30,20260710,lowrank,3,5,30,0.14,none,smooth,0.18377083295490593,0.02074170799460262,0.35445540571188017,0.12563863463837355,0.35451790404865186,0.9207216233261668,0.09255830382976837,0.7234066980466136,1.0026322701845225,0.9134819345928312,0.06759610568821621,0.15817288505013938,0.26625148324166864
frame_count,frames_30,30,20260711,framewise,3,5,30,0.14,none,smooth,0.1935220001032576,0.0,0.3689045112765812,0.13609053844021324,0.3695846600727089,0.9138166086924402,0.20935377204424838,1.92554181194777,7.659698756658892,2.041929302165079,0.06718763902469929,0.15702381278003566,0.29377605058985107
frame_count,frames_30,30,20260711,lowrank,3,5,30,0.14,none,smooth,0.1935220001032576,0.04557808302342892,0.35291346477914703,0.12454791362242225,0.3529916212025107,0.9214392227810416,0.09311073635787398,0.7208187114634581,0.9949974204311217,0.9195060635735002,0.06504846740065008,0.15797814542131725,0.26482290676263304
frame_count,frames_30,30,20260712,framewise,3,5,30,0.14,none,smooth,0.19013695896137506,0.0,0.36895213478004674,0.13612567775875378,0.3696022603278933,0.9137933060164868,0.21011243047263517,1.9326301767313239,7.642543658960913,2.047400800175767,0.06743299027942443,0.15681130195579127,0.2948355809250317
