rank,noise_level,view_count,dynamics,seed_count,rel_l2_global_improvement_pct_mean,rel_l2_global_improvement_pct_std,rel_l2_global_improvement_pct_ci95,rel_l2_global_improvement_pct_win_rate,paper_l2_squared_improvement_pct_mean,paper_l2_squared_improvement_pct_std,paper_l2_squared_improvement_pct_ci95,paper_l2_squared_improvement_pct_win_rate,temporal_gradient_rel_l2_improvement_pct_mean,temporal_gradient_rel_l2_improvement_pct_std,temporal_gradient_rel_l2_improvement_pct_ci95,temporal_gradient_rel_l2_improvement_pct_win_rate,temporal_curvature_rel_l2_improvement_pct_mean,temporal_curvature_rel_l2_improvement_pct_std,temporal_curvature_rel_l2_improvement_pct_ci95,temporal_curvature_rel_l2_improvement_pct_win_rate,centroid_rmse_improvement_pct_mean,centroid_rmse_improvement_pct_std,centroid_rmse_improvement_pct_ci95,centroid_rmse_improvement_pct_win_rate,mass_trace_rmse_improvement_pct_mean,mass_trace_rmse_improvement_pct_std,mass_trace_rmse_improvement_pct_ci95,mass_trace_rmse_improvement_pct_win_rate,heldout_reprojection_rel_l2_improvement_pct_mean,heldout_reprojection_rel_l2_improvement_pct_std,heldout_reprojection_rel_l2_improvement_pct_ci95,heldout_reprojection_rel_l2_improvement_pct_win_rate,dynamics_energy_closeness_gain_mean,dynamics_energy_closeness_gain_std,dynamics_energy_closeness_gain_ci95,dynamics_energy_closeness_gain_win_rate,lowrank_rel_l2_global_mean,lowrank_rel_l2_global_std,lowrank_rel_l2_global_ci95,lowrank_temporal_gradient_rel_l2_mean,lowrank_temporal_gradient_rel_l2_std,lowrank_temporal_gradient_rel_l2_ci95,lowrank_mass_trace_rmse_mean,lowrank_mass_trace_rmse_std,lowrank_mass_trace_rmse_ci95,lowrank_heldout_reprojection_rel_l2_mean,lowrank_heldout_reprojection_rel_l2_std,lowrank_heldout_reprojection_rel_l2_ci95
1,0.0,5,chirp,8,-13.535056709841605,0.0,0.0,0.0,-28.902091020911516,0.0,0.0,0.0,-28.65709262424687,0.0,0.0,0.0,-20.323931655552244,0.0,0.0,0.0,-2.3437480037281446,0.0,0.0,0.0,3.091914867949848,0.0,0.0,1.0,-45.84993596497055,0.0,0.0,0.0,-0.35889757837609615,0.0,0.0,0.0,0.38759403933485864,0.0,0.0,0.833484231002311,0.0,0.0,0.1425478270291452,0.0,0.0,0.3391520931871114,0.0,0.0
2,0.0,5,chirp,8,-2.1574288761355125,0.0,0.0,0.0,-4.361402745802354,0.0,0.0,0.0,-11.325778244325102,0.0,0.0,0.0,-13.110531782319978,0.0,0.0,0.0,-0.207990620322547,0.0,0.0,0.0,-3.768587880887926,0.0,0.0,0.0,-5.033762148445823,0.0,0.0,0.0,-0.1603614374251221,0.0,0.0,0.0,0.3487522854491271,0.0,0.0,0.7212061051440298,0.0,0.0,0.15263934578992328,0.0,0.0,0.24424021890881994,0.0,0.0
3,0.0,5,chirp,8,-0.4554662624540507,0.0,0.0,0.0,-0.9130070200652836,0.0,0.0,0.0,-3.0995409782906473,0.0,0.0,0.0,-3.6527428084925733,0.0,0.0,0.0,-0.14174515563526366,0.0,0.0,0.0,-4.432929159980561,0.0,0.0,0.0,-3.789790910411149,0.0,0.0,0.0,-0.05935927922499207,0.0,0.0,0.0,0.34294200461295055,0.0,0.0,0.6679137533437581,0.0,0.0,0.15361656462168577,0.0,0.0,0.24134755086303764,0.0,0.0
5,0.0,5,chirp,8,0.011438431036660552,0.0,0.0,1.0,0.022875553696134858,0.0,0.0,1.0,0.11898647308085712,0.0,0.0,1.0,0.41828618042243876,0.0,0.0,1.0,-0.03739795278421153,0.0,0.0,0.0,-0.04471930131891386,0.0,0.0,0.0,-0.0362499571534833,0.0,0.0,0.0,-0.005244376386346783,0.0,0.0,0.0,0.3413480522128788,0.0,0.0,0.6470630421777275,0.0,0.0,0.1471616875177567,0.0,0.0,0.23261925583334092,0.0,0.0
8,0.0,5,chirp,8,-0.0006663866188237569,0.0,0.0,0.0,-0.0013327776783406099,0.0,0.0,0.0,-0.03014056051359673,0.0,0.0,0.0,-0.04354361873661728,0.0,0.0,0.0,0.0026440334083717874,0.0,0.0,1.0,-0.008773679830473143,0.0,0.0,0.0,-0.002755019368193273,0.0,0.0,0.0,-0.00010569308483665552,0.0,0.0,0.0,0.3413893764990198,0.0,0.0,0.6480291376209091,0.0,0.0,0.1471088129797092,0.0,0.0,0.23254136839248654,0.0,0.0
1,0.0,5,fast,8,-13.028711107260035,0.0,0.0,0.0,-27.75489534554017,0.0,0.0,0.0,-26.735591653553723,0.0,0.0,0.0,-18.554700101456874,0.0,0.0,0.0,-1.8567770933209644,0.0,0.0,0.0,0.941030299385303,0.0,0.0,1.0,-39.70155429039623,0.0,0.0,0.0,-0.35613678068599786,0.0,0.0,0.0,0.39362247071339956,0.0,0.0,0.8306508448472326,0.0,0.0,0.1484944411655984,0.0,0.0,0.3434043136275874,0.0,0.0
2,0.0,5,fast,8,-2.3179729682071466,0.0,0.0,0.0,-4.68967592320262,0.0,0.0,0.0,-11.55389628839101,0.0,0.0,0.0,-13.870337266217083,0.0,0.0,0.0,-0.10245177550571924,0.0,0.0,0.0,-4.946826530546188,0.0,0.0,0.0,-5.714615986565573,0.0,0.0,0.0,-0.17491766103560635,0.0,0.0,0.0,0.3563223266334752,0.0,0.0,0.7311469255711569,0.0,0.0,0.15732063845264924,0.0,0.0,0.25986006617917906,0.0,0.0
3,0.0,5,fast,8,-0.6256362293180013,0.0,0.0,0.0,-1.2551866655436066,0.0,0.0,0.0,-3.5138824378425935,0.0,0.0,0.0,-4.310568038070906,0.0,0.0,0.0,-0.12303232658853984,0.0,0.0,0.0,-5.41152666321898,0.0,0.0,0.0,-4.531733754557976,0.0,0.0,0.0,-0.061028669640004085,0.0,0.0,0.0,0.35042876417561303,0.0,0.0,0.6784510395109424,0.0,0.0,0.1580172476211056,0.0,0.0,0.2569523901475893,0.0,0.0
5,0.0,5,fast,8,0.0144101399459375,0.0,0.0,1.0,0.028818203370405308,0.0,0.0,1.0,0.10235252313623343,0.0,0.0,1.0,0.16385463787535376,0.0,0.0,1.0,-0.02184558772573911,0.0,0.0,0.0,-0.02714118861237493,0.0,0.0,0.0,-0.008452509411982913,0.0,0.0,0.0,-0.006056166745870506,0.0,0.0,0.0,0.34819980278364976,0.0,0.0,0.6547495000592777,0.0,0.0,0.14994577954008542,0.0,0.0,0.24583358549843298,0.0,0.0
8,0.0,5,fast,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3878198707899996e-14,0.0,0.0,1.0,5.743375795603938e-14,0.0,0.0,1.0,-2.124153475959635e-14,0.0,0.0,0.0,2.22185183687548e-13,0.0,0.0,1.0,-6.774807828282079e-14,0.0,0.0,0.0,-5.551115123125783e-16,0.0,0.0,0.0,0.34824998609400776,0.0,0.0,0.6554203393137141,0.0,0.0,0.1499050935159141,0.0,0.0,0.24581280814768852,0.0,0.0
