field,view_index,count,sum_prediction_x,sum_prediction_y,sum_prediction_z,sum_observation_x,sum_observation_y,sum_observation_z,sum_prediction_squared_x,sum_prediction_squared_y,sum_prediction_squared_z,sum_observation_squared_x,sum_observation_squared_y,sum_observation_squared_z,sum_product_x,sum_product_y,sum_product_z,prediction_squared_total,observation_squared_total,product_total
ground_truth,11,512,-22.71713675582574,87.8787341007423,-0.9366212016099612,-27.475808948170425,86.17824216313338,-15.858703319581174,6099.288486154015,1508.0101368889236,2054.6008970147727,5231.2382285576105,1352.14603564661,1743.7698501812126,5602.814074324966,1411.3983829624149,1872.0482745400573,9661.899520057708,8327.154114385437,8886.260731827442
ground_truth,12,512,1.875209367274337,114.30805258234622,12.539751899256975,0.4675379890630573,117.29968844291821,0.1287401198343634,6263.547850930541,1031.7277770792143,452.6462142195602,5832.17768031289,925.7597272969801,418.73469402324287,6002.814636699128,959.4976284151082,426.24104723021196,7747.921842229311,7176.672101633116,7388.5533123444475
support_masked_ground_truth,1,512,117.39589537821851,103.48335651258667,-24.784237141907475,111.94492881724031,92.11210377837568,0.044685245124128414,6228.10326582318,1167.4315166650854,19.40813560245011,5735.425629451227,1119.2650830670973,3.8999436168035755e-06,5942.917514375654,1129.2685442780817,-0.002163065843555984,7414.942918090713,6854.690716418272,7072.183895587893
support_masked_ground_truth,2,512,3.1666846322028253,52.56093559885149,-11.957838687528959,-7.7461187249004695,56.35062214498428,2.0821135271983877,5156.226738953854,1004.9387908633058,395.3870053803359,4998.958185667067,944.0368556872725,358.89714421611984,5041.342752529232,958.1010204341435,356.6810027999059,6556.552535197494,6301.8921855704575,6356.124775763283
support_masked_ground_truth,3,512,-202.614657708337,121.04484058434474,105.90439056490735,-190.13900875600743,121.30286631022739,109.77703499343943,4858.8678517176095,1055.5204817533631,1662.3011177211463,4491.516445720059,1018.0095762369745,1497.1592788355647,4632.7064691265505,1018.781148533041,1555.8069226882176,7576.689451192122,7006.685300792602,7207.294540347813
support_masked_ground_truth,4,512,8.83931947660274,84.34977513605847,-26.960228731103264,17.496643065985285,72.10188685668797,-17.50060958384911,3310.7877340134582,1469.15078843829,3370.2089619134613,3149.532702357319,1306.4824515117057,3149.505452107753,3191.478806129435,1367.3312700764527,3214.8390170571074,8150.147484365207,7605.520605976776,7773.649093262998
support_masked_ground_truth,5,512,3.9612120898483445,43.77044380527797,-29.831346430942958,10.396842360444728,43.772300035052226,-18.00597018026326,1342.5795317264717,938.2645818157648,3952.8085005697876,1288.9416541014634,921.4590626990906,3866.8262624867884,1291.298329109849,914.839320681164,3868.3698771271675,6233.652614112023,6077.226979287343,6074.507526918177
support_masked_ground_truth,6,512,-15.98154836538272,80.11747988945852,10.322732786913456,-5.966527481813621,81.15454529551471,22.274879072488705,534.3592510036867,1404.4142511406114,6901.859753795281,452.2697877571175,1299.1298317839687,6299.417597136366,477.88559825422305,1328.394386771274,6533.266467459231,8840.633255939583,8050.81721667746,8339.546452484727
support_masked_ground_truth,7,512,-7.1210246606913845,40.70226303085431,2.421004669314634,0.044685245124128414,40.09915357764617,10.39220129374295,29.508934215158007,1533.988975668169,7025.5698188856695,3.8999436168035755e-06,1388.8272476221741,6511.018076474843,-0.0006214936181600732,1437.2444671978885,6718.664328834751,8589.067728768992,7899.845327996965,8155.908174539027
support_masked_ground_truth,8,512,-24.263980987630624,38.06488470839143,-2.8679981663434493,-4.91197399235754,31.602391794875164,-18.339611308712144,401.29443292204104,1122.329567817437,5027.907536310156,340.13194819716375,1118.6344947799416,4737.55208730056,352.3785563392081,1098.6834804635291,4849.196740489714,6551.531537049634,6196.3185302776665,6300.258777292453
support_masked_ground_truth,9,512,18.143813733693257,67.55456162876396,59.7525859930682,24.119960923478274,66.37274785040131,41.77561000513841,1749.3992481692535,1740.4546130083147,5009.75490652281,1489.4352058582715,1485.3768853628676,4468.260698299154,1585.1906512597984,1580.393481808088,4687.6957574149765,8499.608767700383,7443.0727895202945,7853.279890482865
support_masked_ground_truth,10,512,-118.90894251590579,95.67261089624138,-100.27066894881054,-103.7733985029106,88.0516860884116,-103.7733985029106,3408.3319370256,874.0990438835519,3393.921803724113,3103.9233616650267,817.0005301626398,3103.9233616650267,3228.834209258958,830.763053521062,3222.279656999316,7676.3527846332645,7024.847253492697,7281.876919779339
