case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_variant,projection_iterations,damping_fraction,damping_absolute,preconditioner,projection_forward_calls,projection_adjoint_calls,paired_call_budget,matched_cgls_field_relative_l2,matched_huber_field_relative_l2,matched_base_landweber_field_relative_l2,field_gain_to_best_matched_classical,h1_gain_to_best_matched_classical,reprojection_ratio_to_matched_cgls,visible_correction_fraction,system_residual_fraction,projection_closure_relative_error,exact_projection_approximation_error,exact_oracle_error_reduction_retention,oracle_reduction_defined,base_anchor_field_relative_l2,exact_oracle_field_relative_l2,raw_learned_field_relative_l2,exact_oracle_rank,exact_oracle_nullity_lower_bound,field_harm_to_best_matched_classical,converged,breakdown,projection_diagnostic_forward_calls,dense_oracle_used_by_algorithm,projection_target_mode,exact_oracle_internal_projection_residual,preconditioner_kind,preconditioner_is_oracle,preconditioner_setup_forward_equivalents,preconditioner_setup_adjoint_equivalents,preconditioner_applications,preconditioner_block_count,preconditioner_largest_block_size,preconditioner_minimum_block_eigenvalue,preconditioner_maximum_block_condition_number
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25284821459199974,0.025915278393333133,0.029401977246313795,0.0029320113824477523,0.536998563342345,0.04582325801415221,0.045320066535311745,0.7055189609527588,0.04713623110541826,16,15,1,1,0.00158541597193107,affine_pcg_dense_exact_jacobi_oracle,2,0.0,0.0,supplied_positive_diagonal,3,2,16,0.5972661942929209,0.599511718989623,0.5961985733520055,0.5766574150553818,0.44977690859002,16.08209913581823,0.23171266639198623,0.23171266639198615,8.212410103527331e-16,0.3996926559667594,1.015242058273145,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_jacobi_oracle,1,1001,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25304776226986,0.02593573071739971,0.029425181271279792,0.0024884478091193236,0.5364900278394983,0.020356548013908956,0.02305889234878072,0.7055189609527588,0.04688920467683622,18,17,1,1,0.00158541597193107,affine_pcg_dense_exact_jacobi_oracle,4,0.0,0.0,supplied_positive_diagonal,5,4,18,0.5975108025880026,0.5867877968171817,0.5962235622431531,0.5687576264495853,0.4576225444815847,11.82674242158385,0.10293615563918569,0.10293615563918575,7.272292165691348e-16,0.2618043581935476,1.0146519122543232,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_jacobi_oracle,1,1001,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2568629792001752,0.026326765350725558,0.029868826568739727,0.0024805291105762153,0.5467197682998305,0.01083547490579578,0.021512044772736345,0.7055189609527588,0.04684319126604126,22,21,1,1,0.00158541597193107,affine_pcg_dense_exact_jacobi_oracle,8,0.0,0.0,supplied_positive_diagonal,9,8,22,0.5976395706410947,0.567382652763368,0.596272913069439,0.5472843980175365,0.45252387736795247,16.152464468967,0.054791319754478776,0.05479131975447887,6.585218977578851e-16,0.10850061963667781,1.0033687186511173,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_jacobi_oracle,1,1001,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2581427375291255,0.026457932159336207,0.030017640849786927,0.0024649847749014706,0.551173783443746,0.003736817020181934,0.01935288646097331,0.7055189609527588,0.04686263303312308,26,25,1,1,0.00158541597193107,affine_pcg_dense_exact_jacobi_oracle,12,0.0,0.0,supplied_positive_diagonal,13,12,26,0.5976546838072083,0.5528067721055604,0.5963235531779676,0.5330326064098357,0.44695949166133125,15.062383404242853,0.018895815642307558,0.01889581564230752,8.258454344832807e-16,0.035930016589241595,0.9995839375352324,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_jacobi_oracle,1,1001,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2580063679341315,0.02644395517308634,0.030001783368904283,0.0024695443328541515,0.5509358332220304,0.00040807468749761577,0.019189160562796473,0.7055189609527588,0.046869581939969346,34,33,1,1,0.00158541597193107,affine_pcg_dense_exact_jacobi_oracle,20,0.0,0.0,supplied_positive_diagonal,21,20,34,0.5976555104146046,0.5315105728874139,0.5964275602088683,0.5145790486677991,0.439891049691819,12.952553733223509,0.002063495221093752,0.002063495221093685,7.489530601218088e-16,0.005087411055660432,0.9999872395151753,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_jacobi_oracle,1,1001,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25800222605735335,0.026443530657967857,0.030001301738583168,0.002469610248822774,0.550759635752969,1.4578721244769634e-05,0.01916892380115215,0.7055189609527588,0.04686954314745185,46,45,1,1,0.00158541597193107,affine_pcg_dense_exact_jacobi_oracle,32,0.0,0.0,supplied_positive_diagonal,33,32,46,0.5976555523235216,0.5075114900770632,0.5965822775325558,0.4916327391559609,0.42513598417387355,13.942831691335329,7.371964628023114e-05,7.371964628012487e-05,6.436838706465009e-16,0.00014619965966842922,0.9999994887786962,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_jacobi_oracle,1,1001,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2486510454472608,0.025485096171064595,0.02891391735674062,0.003292887447263724,0.47970128473137474,0.19775896901826429,0.19706108270205097,0.7055189609527588,0.049539310853460417,14,13,1,1,0.00158541597193107,affine_pcg_dense_exact_camera_block_oracle,0,0.0,0.0,dense_exact_camera_block_jacobi_oracle,1,0,14,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.583388038222712,0.49760409734635275,42.948039057184715,1.0,1.0,0.0,1.0,1.0276548444686546,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_camera_block_jacobi_oracle,1,1001,0,33,3,50,0.20476075268048827,29.38822855478934
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25567041990682565,0.02620453586954223,0.029730152062912095,0.0026438459292115715,0.5249305092859978,0.07412425427990865,0.07513946083738321,0.7055189609527588,0.04723701141542467,15,14,1,1,0.00158541597193107,affine_pcg_dense_exact_camera_block_oracle,1,0.0,0.0,dense_exact_camera_block_jacobi_oracle,2,1,15,0.5971029818222995,0.607077191672447,0.5961853694286711,0.5718152015812336,0.4568530752932056,20.707710345923168,0.3748212010200296,0.3748212010200296,7.96923243196631e-16,0.4214973012770234,1.006895615715147,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_camera_block_jacobi_oracle,1,1001,0,33,3,50,0.20476075268048827,29.38822855478934
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25233853216767443,0.02586303929827014,0.029342709787901874,0.002516455761335412,0.5358435393550748,0.017037053000484303,0.023249300850345534,0.7055189609527588,0.0468612033540997,16,15,1,1,0.00158541597193107,affine_pcg_dense_exact_camera_block_oracle,2,0.0,0.0,dense_exact_camera_block_jacobi_oracle,3,2,16,0.5972661942929209,0.599511718989623,0.5961985733520055,0.5775107739583224,0.4509603770614679,5.979312410552682,0.08615059577353898,0.08615059577353888,7.638766308982526e-16,0.1990245356482024,1.016749402567022,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_camera_block_jacobi_oracle,1,1001,0,33,3,50,0.20476075268048827,29.38822855478934
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25855376696606486,0.0265000599722746,0.030065436631821443,0.0024640111384594977,0.5495132240973662,0.010848083612998315,0.021129154422677057,0.7055189609527588,0.04686484920075336,18,17,1,1,0.00158541597193107,affine_pcg_dense_exact_camera_block_oracle,4,0.0,0.0,dense_exact_camera_block_jacobi_oracle,5,4,18,0.5975108025880026,0.5867877968171817,0.5962235622431531,0.5593743285588141,0.4444564320050774,6.302517036340068,0.05485507770824,0.05485507770824011,7.549474274916375e-16,0.06993747656465799,0.9983683514235351,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_camera_block_jacobi_oracle,1,1001,0,33,3,50,0.20476075268048827,29.38822855478934
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25799137026356067,0.026442418010529264,0.030000039393098154,0.002466622975318806,0.5508821935202843,0.0007954349286103214,0.01917695752095857,0.7055189609527588,0.04687087072652339,22,21,1,1,0.00158541597193107,affine_pcg_dense_exact_camera_block_oracle,8,0.0,0.0,dense_exact_camera_block_jacobi_oracle,9,8,22,0.5976395706410947,0.567382652763368,0.596272913069439,0.5452956324853339,0.4483556936793938,1.1857564650794525,0.004022244515933221,0.004022244515933155,6.49663222689003e-16,0.006158451103786242,1.0000315939054338,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_camera_block_jacobi_oracle,1,1001,0,33,3,50,0.20476075268048827,29.38822855478934
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.258000567013489,0.026443360616887356,0.03000110881979974,0.002469489695301219,0.550769919137209,5.557726149482709e-05,0.019171798145911283,0.7055189609527588,0.04686954730343189,26,25,1,1,0.00158541597193107,affine_pcg_dense_exact_camera_block_oracle,12,0.0,0.0,dense_exact_camera_block_jacobi_oracle,13,12,26,0.5976546838072083,0.5528067721055604,0.5963235531779676,0.5332897858128575,0.4473647237824811,0.22402114330773193,0.00028103535212956217,0.0002810353521295088,8.245510211964104e-16,0.0004585830306925937,1.0000043952659181,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_camera_block_jacobi_oracle,1,1001,0,33,3,50,0.20476075268048827,29.38822855478934
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25800205618292243,0.026443513246956367,0.030001281985055698,0.0024696440523636056,0.5507616795397351,3.691890436180432e-07,0.019169673219588595,0.7055189609527588,0.04686953540454737,34,33,1,1,0.00158541597193107,affine_pcg_dense_exact_camera_block_oracle,20,0.0,0.0,dense_exact_camera_block_jacobi_oracle,21,20,34,0.5976555104146046,0.5315105728874139,0.5964275602088683,0.5145871609263863,0.44006810304413463,0.011718298320593682,1.8668637152125638e-06,1.8668637151168574e-06,7.126635949664202e-16,2.8480424944202603e-06,0.9999999911685018,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_camera_block_jacobi_oracle,1,1001,0,33,3,50,0.20476075268048827,29.38822855478934
