strategy,selection_commit_sha256,selected_checkpoint_epoch,model_seed,cumulative_epochs,variant_index,source_index,sample_seed,source_split,family_id,noise_level,total_budget,ridge_relative,inference_ms_per_sample,field_rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2,improvement_vs_classical_pct
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,231,231,30460852,test_iid,1,0.05,6,1e-06,0.42185253906623643,0.25756439566612244,0.4569225311279297,0.17469404637813568,0.389300137758255,18.111990012410725
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,232,232,30560821,test_noise_ood,0,0.08,6,1e-06,0.42185253906623643,0.12013330310583115,0.296041339635849,0.12210091203451157,0.12234862148761749,61.63168834249394
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,233,233,30560822,test_noise_ood,0,0.12,6,1e-06,0.42185253906623643,0.11633172631263733,0.3625492751598358,0.11982347816228867,0.153441920876503,68.24886376327318
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,234,234,30560823,test_noise_ood,0,0.08,6,1e-06,0.42185253906623643,0.14088746905326843,0.30034950375556946,0.14467261731624603,0.15038526058197021,54.51419788687075
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,235,235,30560824,test_noise_ood,0,0.12,6,1e-06,0.42185253906623643,0.14656426012516022,0.36237868666648865,0.13047097623348236,0.13572710752487183,45.388315391638706
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,236,236,30560825,test_noise_ood,0,0.08,6,1e-06,0.42185253906623643,0.12055165320634842,0.2771104872226715,0.11970032751560211,0.13911119103431702,57.984604868090116
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,237,237,30560826,test_noise_ood,0,0.12,6,1e-06,0.42185253906623643,0.14195019006729126,0.3597765862941742,0.13052918016910553,0.15733113884925842,44.969044164316195
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,238,238,30560827,test_noise_ood,1,0.08,6,1e-06,0.42185253906623643,0.3605715334415436,0.5920846462249756,0.20151501893997192,0.48461106419563293,8.57303167432318
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,239,239,30560828,test_noise_ood,1,0.12,6,1e-06,0.42185253906623643,0.307837575674057,0.5317569971084595,0.1982860267162323,0.4887671172618866,13.437357299357167
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,240,240,30560829,test_noise_ood,1,0.08,6,1e-06,0.42185253906623643,0.2122763693332672,0.4018627405166626,0.1672399640083313,0.3298354744911194,22.97537407335029
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,241,241,30560830,test_noise_ood,1,0.12,6,1e-06,0.42185253906623643,0.22166088223457336,0.4024777412414551,0.16935189068317413,0.3424626290798187,20.881715600855223
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,242,242,30560831,test_noise_ood,1,0.08,6,1e-06,0.42185253906623643,0.40716734528541565,0.6554677486419678,0.24628043174743652,0.5564185380935669,4.87160321473873
