variant_id,learning_rate,model_seed,training_seed,parameter_count,attempted_epochs,best_checkpoint_epoch,best_validation_rel_l2,endpoint_validation_rel_l2,train_seconds,batch_order_contract_sha256,selected_checkpoint_sha256,selection_scope,mean_validation_rel_l2_for_cell,global_validation_champion
r96_p444,0.001,20260901,20261002,55553,24,23,0.18805860504508018,0.18805578574538231,2.69999208299987,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,84dedef3191ede1e1ae52fa659c1041ba17f44fe50af995683081c2ea4758d32,validation_only,0.18721586043636007,False
r96_p444,0.001,20260902,20261003,55553,24,22,0.187174741178751,0.1872105859220028,2.201212832999772,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,4d231382cc250ebfb2435c99d32960831ab6b18ce7a74a4e2089af677f5809d7,validation_only,0.18721586043636007,False
r96_p444,0.001,20260903,20261004,55553,24,21,0.18641423508524896,0.18646979928016663,2.273666417000186,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,d9083154a5a74c0b51f8202db3ecc102adb22e72d2fe83f2853167c8d7070efa,validation_only,0.18721586043636007,False
r96_p444,0.002,20260901,20261002,55553,24,23,0.18508606702089309,0.18509592711925507,2.434491583000181,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,a9f72ee32d3cb6a79e0c7324ddec5858f33ad37b5eafc9b3885fe14d8ed07ec6,validation_only,0.18523142064611117,False
r96_p444,0.002,20260902,20261003,55553,24,22,0.18563705012202264,0.18566564470529556,2.3647763750000195,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,ec6ad62732c71d50a7014d55be81547a7834b16125ef0256a73d32a1c4dc6a33,validation_only,0.18523142064611117,False
r96_p444,0.002,20260903,20261004,55553,24,21,0.1849711447954178,0.1850086733698845,2.2105470000001333,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,009d45559f7ce83aa3ed73902480db60c451fe36ea76abe2bd6c8887da46332b,validation_only,0.18523142064611117,False
r96_p444,0.004,20260901,20261002,55553,24,23,0.18659505546092986,0.1866039216518402,2.2247831249997034,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,e0203be33f86713bd4ac09c192c69b0b72e6877e7e0958c2dbd7f17111d44a35,validation_only,0.1869923119743665,False
r96_p444,0.004,20260902,20261003,55553,24,24,0.18626420125365256,0.18626420125365256,2.2101814169996032,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,61487593be9940ae044e65d3e79a3e12870b56c236baac7ff0c42c2cca6be55b,validation_only,0.1869923119743665,False
r96_p444,0.004,20260903,20261004,55553,24,24,0.18811767920851707,0.18811767920851707,2.2893599589997393,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,c583711f3f3f16e8c7187bcac71029772b0ebf859367108b06ab47824996f31b,validation_only,0.1869923119743665,False
r48_p244,0.001,20260901,20261002,28833,24,23,0.19287953525781631,0.19290282875299453,2.151890542000274,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,740f7af12e889855f792350ee4ab10689c73d7d34a51466c267a4544e84cacaa,validation_only,0.1919612055023511,False
r48_p244,0.001,20260902,20261003,28833,24,22,0.19209773540496827,0.19210878312587737,1.9346235839998371,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,7249289f7a7d2189b928b1ca75904b4d86c8ef6982c9e7931250a29de3fa0da0,validation_only,0.1919612055023511,False
r48_p244,0.001,20260903,20261004,28833,24,22,0.1909063458442688,0.19096116721630096,1.9720204170002944,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,70683d3e39978162ed5f722de634a024d5b4a28829355f02b4a153557e437bac,validation_only,0.1919612055023511,False
r48_p244,0.002,20260901,20261002,28833,24,23,0.18885585218667983,0.1888814762234688,1.9458319580003263,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,f58c8af226889cbbe6b303cdf2b23867f43c2338ed359e6ab765a466c2e27166,validation_only,0.18801789581775666,False
r48_p244,0.002,20260902,20261003,28833,24,24,0.18752762228250502,0.18752762228250502,2.0236274170001707,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,2a4f8268520fe019203ecb5632c9d81e3cbd90e9fb9dc737394d5456f414b646,validation_only,0.18801789581775666,False
r48_p244,0.002,20260903,20261004,28833,24,21,0.1876702129840851,0.18770474046468735,1.965781416000027,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,395a48d655fa570b7397d459e5c25287c0aaf10ceef3c83b67bc8feb21571967,validation_only,0.18801789581775666,False
r48_p244,0.004,20260901,20261002,28833,24,22,0.18667860329151154,0.18667968809604646,1.9434867919999306,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,abaf45708ce22c7dc69ef9e9b25ecc463f62237b32256afdb0d5f0c573fcdef4,validation_only,0.18686221788326898,False
r48_p244,0.004,20260902,20261003,28833,24,24,0.18713972419500352,0.18713972419500352,1.9756200000001627,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,91febd173042f128a2857e9a08f57f5b9af0fdd1e7c51ecd6e14590cc5dc4bd0,validation_only,0.18686221788326898,False
r48_p244,0.004,20260903,20261004,28833,24,21,0.18676832616329192,0.18679696321487427,2.214718791999985,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,47d317f6e16c14ed1c9951d6f70c2d003e860431ba58275b38619cdaeeafd5f1,validation_only,0.18686221788326898,False
r48_p822,0.001,20260901,20261002,28833,24,23,0.20289192646741866,0.20288605690002443,2.0788411250000536,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,2a0d5c280b131403b383fb3270b250b640eca92b3996dceec271ebd81abfe7a5,validation_only,0.20253501037756602,False
r48_p822,0.001,20260902,20261003,28833,24,23,0.20187729895114898,0.20187778472900392,2.00711604099979,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,8c8bdd11b94f396efabbaa31f16512f720a666e5e3de312906bf6cc14761c7bd,validation_only,0.20253501037756602,False
