case_id,case_index,family,active_views,relative_noise,method,edge_tilt_ratio,h1_iterations,correction_iterations,field_relative_l2,gradient_relative_l2,front_top10_f1,weighted_residual_relative_l2,heldout_clean_relative_l2,saved_residual_consistency_relative_l2,forward_calls,adjoint_calls,evaluator_forward_calls,edge_direction_uses,edge_direction_rejections,edge_backtracks,maximum_data_residual_increase,maximum_adjoint_identity_relative_defect,solve_wall_seconds,maximum_resident_set_bytes
dev-7v-shock,3,oblique_shock,7,0.04,edge_tilt_050,0.5,16,4,0.8678221106529236,1.202214241027832,0.4003661870956421,0.07851935178041458,0.6110966801643372,2.65897142526228e-06,20,20,1,4,0,0,0.0,7.083212238967462e-08,0.16390570800285786,372080640
dev-7v-shock,3,oblique_shock,7,0.04,edge_tilt_100,1.0,16,4,0.8669265508651733,1.1971689462661743,0.40219712257385254,0.07928863167762756,0.6103007793426514,2.798795094349771e-06,20,20,1,4,0,0,0.0,8.441485022103734e-08,0.1583324170205742,372113408
dev-7v-shock,3,oblique_shock,7,0.04,edge_tilt_200,2.0,16,4,0.8653544783592224,1.189933180809021,0.4037229120731354,0.08017941564321518,0.6085801124572754,2.5478698262304533e-06,20,20,1,4,0,0,0.0,9.44204572306262e-08,0.16529312497004867,372113408
dev-8v-vortex,4,vortex_pair,8,0.06,h1_16_diagnostic,,16,0,0.8740119338035583,1.1526873111724854,0.46963685750961304,0.06861749291419983,0.6836294531822205,2.512811988708563e-06,16,16,1,0,0,0,0.0,0.0,0.09619483293499798,372129792
dev-8v-vortex,4,vortex_pair,8,0.06,h1_20,,20,0,0.853550136089325,1.1324316263198853,0.47451937198638916,0.055611416697502136,0.6597892642021179,3.4501076697779354e-06,20,20,1,0,0,0,0.0,0.0,0.1569900830509141,372162560
dev-8v-vortex,4,vortex_pair,8,0.06,edge_tilt_000,0.0,16,4,0.8735241889953613,1.1563878059387207,0.4705522954463959,0.0630354955792427,0.6832548975944519,2.7926389520871453e-06,20,20,1,0,0,0,0.0,6.995986723268288e-08,0.14949370792601258,372162560
dev-8v-vortex,4,vortex_pair,8,0.06,edge_tilt_025,0.25,16,4,0.8729740977287292,1.1537914276123047,0.47085750102996826,0.06333119422197342,0.6824591755867004,2.803213646984659e-06,20,20,1,4,0,0,0.0,1.3585587055331416e-07,0.1603823339100927,372178944
dev-8v-vortex,4,vortex_pair,8,0.06,edge_tilt_050,0.5,16,4,0.8724740743637085,1.1514686346054077,0.4711626470088959,0.06364908069372177,0.6817576289176941,2.8268807454878697e-06,20,20,1,4,0,0,0.0,0.0,0.16194820799864829,372178944
dev-8v-vortex,4,vortex_pair,8,0.06,edge_tilt_100,1.0,16,4,0.871584951877594,1.1476719379425049,0.4720781147480011,0.064211405813694,0.6805009841918945,2.7470280201669084e-06,20,20,1,4,0,0,0.0,1.1649444786598906e-07,0.15789970790501684,372195328
dev-8v-vortex,4,vortex_pair,8,0.06,edge_tilt_200,2.0,16,4,0.8697598576545715,1.141880989074707,0.47421422600746155,0.0647396370768547,0.677919328212738,2.7098110422230093e-06,20,20,1,4,0,0,0.0,6.112493622367765e-08,0.16183104098308831,372211712
dev-9v-multiplume,5,multi_plume,9,0.02,h1_16_diagnostic,,16,0,0.872888445854187,1.1725727319717407,0.4116570055484772,0.060684219002723694,,3.101072479694267e-06,16,16,1,0,0,0,0.0,0.0,0.09456700005102903,372310016
dev-9v-multiplume,5,multi_plume,9,0.02,h1_20,,20,0,0.8553162813186646,1.1543422937393188,0.42294782400131226,0.045944273471832275,,4.474917204788653e-06,20,20,1,0,0,0,0.0,0.0,0.1209987080655992,372310016
dev-9v-multiplume,5,multi_plume,9,0.02,edge_tilt_000,0.0,16,4,0.8723771572113037,1.1757310628890991,0.4119621515274048,0.054772183299064636,,3.6421661206986755e-06,20,20,1,0,0,0,0.0,6.128922080961274e-08,0.14928066602442414,372310016
dev-9v-multiplume,5,multi_plume,9,0.02,edge_tilt_025,0.25,16,4,0.8718177676200867,1.172855019569397,0.4122673273086548,0.05511336028575897,,3.4847089409595355e-06,20,20,1,4,0,0,0.0,9.854647231577474e-08,0.1580076249083504,372310016
dev-9v-multiplume,5,multi_plume,9,0.02,edge_tilt_050,0.5,16,4,0.8713089823722839,1.1702872514724731,0.4122673273086548,0.05546882748603821,,3.30753982780152e-06,20,20,1,4,0,0,0.0,1.7056207468613138e-07,0.16173162497580051,372310016
dev-9v-multiplume,5,multi_plume,9,0.02,edge_tilt_100,1.0,16,4,0.8703921437263489,1.1660374402999878,0.41318279504776,0.05607679486274719,,3.4423590022925055e-06,20,20,1,4,0,0,0.0,9.098816633468232e-08,0.162338083027862,372310016
dev-9v-multiplume,5,multi_plume,9,0.02,edge_tilt_200,2.0,16,4,0.8687407374382019,1.1596357822418213,0.4159291982650757,0.05679246038198471,,3.4308948215766577e-06,20,20,1,4,0,0,0.0,9.082840790597402e-08,0.16244874999392778,372310016
