base_seed,scene,model,condition_class,expected_exact,nuisance_rank,nuisance_row_count,nuisance_column_count,profile_relative_rank,profile_trace_retention,profile_max_eigenvalue_retention,profile_minimum_eigenvalue_relative_to_raw,profile_condition_number,projector_orthogonality_defect,nuisance_residual_orthogonality_defect,profile_symmetry_defect,clean_model_residual_relative_l2
811,pure_transport,teacher_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.9678959145569531,0.9328609834127276,0.08014529036775225,11.639623228417165,5.734007161350868e-16,2.955828960717465e-17,0.0,0.3228355449992293
811,reacting_birth,pilot_pca_rank_4_reacting,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.9613340500401355,0.9164206962861365,0.07998719177636095,11.457093016196767,7.931979148349498e-16,3.700270456611441e-17,0.0,0.31568800492157245
811,pure_transport,pilot_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.899181305641459,0.8142623814944159,0.07743981945095818,10.514776342035246,1.0442550029058684e-15,5.3417308922554644e-17,0.0,0.1281564190554593
811,pure_transport,teacher_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.9003285651817109,0.8136520923795283,0.07749859081196207,10.498927578615264,1.0138778310001504e-15,5.161795871934945e-17,0.0,0.12812608482095122
811,reacting_birth,pilot_pca_rank_8_reacting,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.8935167349878226,0.801333332828356,0.07631072008039147,10.500927418640147,1.0442550029058684e-15,5.59475105726986e-17,0.0,0.12551387191758342
811,pure_transport,pilot_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.8426584065587102,0.7632472391926876,0.07040833237318538,10.840297070909836,1.2479442000685683e-15,6.531688448479785e-17,0.0,0.12049248959986493
811,pure_transport,teacher_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.8026548097853718,0.6664870424613017,0.07284145835557068,9.149831119633685,1.3121613392232784e-15,6.295147701045788e-17,0.0,0.12033647578912111
811,reacting_birth,pilot_pca_rank_16_reacting,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.8346849378894917,0.7483357022851813,0.06940603751358299,10.781997202170338,1.2479442000685683e-15,6.295447585146417e-17,0.0,0.11615728340669881
907,pure_transport,transport_exact,frozen_transport,True,512,1152,512,5,0.009013859355767824,0.01647204428197367,8.113067001502068e-05,203.03103966630627,3.4691354532956023e-15,2.7430989247986377e-16,0.0,3.292119968918377e-15
907,pure_transport,transport_velocity_mismatch_10pct,frozen_transport,False,512,1152,512,5,0.011864703666994514,0.02132911378270406,0.00012049505605953613,177.012356192983,3.525732371158181e-15,2.779170513739738e-16,0.0,0.0010121915189923916
907,pure_transport,transport_wrong_frame_order,frozen_transport,False,512,1152,512,5,0.01130831558025698,0.01698255989284443,0.00013465557347652963,126.11850705017034,3.403785841340493e-15,2.916531543044387e-16,0.0,0.015445333890948055
907,reacting_birth,transport_only_reacting,frozen_transport,False,512,1152,512,5,0.009864741295361565,0.017879680204800266,0.00017894883365527538,99.91504185628524,3.4691354532956023e-15,2.30209175364184e-16,0.0,0.0072832423106287715
907,reacting_birth,transport_shared_birth,frozen_transport_plus_shared_free_source,True,704,1152,1024,5,0.0007763187268360042,0.0013374394188080752,1.2298426961486736e-05,108.74881990976141,3.725052967460008e-15,2.279281663637625e-16,0.0,3.660255613266127e-15
907,pure_transport,pilot_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.9535805804466642,0.9215900577767014,0.026386406219975733,34.926698622528406,6.758484960617622e-16,3.525920370972331e-17,0.0,0.07066844012668652
907,pure_transport,teacher_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.9536924242977367,0.9229225108823794,0.02617894237847915,35.25438489986837,6.716859629188978e-16,3.7460300251673503e-17,0.0,0.06927513066080614
907,reacting_birth,pilot_pca_rank_4_reacting,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.9539074123587166,0.9227511005467193,0.02674820399164862,34.49768443648861,6.758484960617622e-16,3.7693123942949646e-17,0.0,0.07117411591421438
907,pure_transport,pilot_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.8633465904072061,0.7980302125214358,0.024094892897450208,33.12030544887318,9.97847089608754e-16,4.823985756611751e-17,0.0,0.059515677206904545
907,pure_transport,teacher_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.8607475772540194,0.7939321701443073,0.02410592399443693,32.935147822067634,9.824334437822576e-16,6.019271691120212e-17,0.0,0.059048455895787055
907,reacting_birth,pilot_pca_rank_8_reacting,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.8605279283500866,0.7885266327294336,0.024335267564738902,32.402628433475115,9.97847089608754e-16,4.831644704016736e-17,0.0,0.057061785991225626
907,pure_transport,pilot_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.8184781682409624,0.7635888151210309,0.022620089752292398,33.757108105357815,1.1678079600224083e-15,7.08117473944303e-17,0.0,0.054179461210439796
907,pure_transport,teacher_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.8036586204669023,0.7227621306738766,0.022658225606551737,31.89844355971486,1.2826446729073356e-15,6.517907703377289e-17,0.0,0.04893005595923082
907,reacting_birth,pilot_pca_rank_16_reacting,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.8163198234554898,0.757507982605458,0.023048499408120312,32.86582649882088,1.1678079600224083e-15,6.91023714113315e-17,0.0,0.0508726188231453
