case_id,split,family,base_seed,geometry_cluster_id,checkpoint,tail_safe_weight,unconstrained_weight,checkpoint_is_tail_safe,checkpoint_is_kselect
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,8,0.07680528518671052,2.4534228965230675e-10,False,False
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,12,0.7699597890107125,0.9999999980649914,False,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,1,1.2781915811265154e-11,1.7835427958582153e-11,False,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,2,2.0975722017064258e-11,5.2635363008831074e-11,False,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,3,2.195310498130042e-11,2.906997243565779e-10,False,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,4,0.9999999923362667,0.14777899509677264,True,True
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,6,5.968392313627321e-09,0.8522210045158171,False,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,8,9.58512128852762e-10,1.623872353602163e-11,False,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,12,6.82711094070662e-10,1.0000992396540109e-11,False,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,1,0.029874086708896765,0.07104727495783933,False,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,2,0.005345237481282679,3.136418460895692e-09,False,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,3,0.06447667960964046,5.182202783027082e-08,False,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,4,0.06728939636004097,0.08437884352349664,True,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,6,1.782816759465156e-09,5.859664699727585e-09,False,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,8,0.25068148311126287,0.2627862034992012,False,False
