case_id,split,family,base_seed,geometry_cluster_id,observation_rms,solve_forward_calls,solve_adjoint_calls,evaluator_forward_calls,projection_closure_relative_l2,oracle,status,primal_objective,dual_objective,signed_primal_dual_gap,relative_primal_dual_gap,primal_residual,dual_residual,iterations,solve_seconds,weight_sum_error,minimum_weight,maximum_ray_violation,maximum_ray_violation_over_observation_rms,violating_ray_count,active_ray_count,active_weight_count,nontrivial_mixture,truth_conditioned,deployable
706d1a070ba7cd1a80d5,ood,smooth_no_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.4304495482092712,12,12,1,5.211989255381058e-16,tail_safe,Solved,0.28260922835254065,0.2826092283358421,1.6698531446479592e-11,1.6698531446479592e-11,2.766876482342638e-13,5.491644890741244e-13,11,0.000667291,4.440892098500626e-16,1.335118690490352e-10,-3.4722572039846966e-13,-8.066583455435741e-13,0,1,3,True,True,False
4f9030a93c5588825996,ood,single_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.6155415679385993,12,12,1,1.8001968296190108e-16,unconstrained,Solved,0.2632621606449567,0.2632621606161934,2.8763325055081168e-11,2.8763325055081168e-11,1.7612302720923575e-14,2.3657149627116872e-14,9,3.5832e-05,5.551115123125783e-16,9.968879201779984e-10,,,,,2,True,True,False
4f9030a93c5588825996,ood,single_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.6155415679385993,12,12,1,1.8001968296190108e-16,tail_safe,Solved,0.2634127987980592,0.263412798792216,5.84315928975343e-12,5.84315928975343e-12,3.316761370016882e-14,1.351987175363295e-14,12,0.000684248,0.0,3.611220809745397e-11,-3.712637836050803e-13,-6.031498162640969e-13,0,2,3,True,True,False
b8ea97acd56019fc17c6,ood,two_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.4551784247661341,12,12,1,1.634254771505043e-14,unconstrained,Solved,0.30280202079832114,0.30280202079601226,2.308875313161707e-12,2.308875313161707e-12,3.752307370270203e-15,5.622526377863557e-15,9,3.9418e-05,2.220446049250313e-16,1.6677590036411475e-10,,,,,4,True,True,False
b8ea97acd56019fc17c6,ood,two_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.4551784247661341,12,12,1,1.634254771505043e-14,tail_safe,Solved,0.30353498583185357,0.30353498579888344,3.297012662883958e-11,3.297012662883958e-11,1.435106375525854e-13,3.398289926167952e-13,13,0.000751663,1.6209256159527285e-14,1.0144742365086819e-10,-4.3559557003081117e-13,-9.569776297165569e-13,0,2,5,True,True,False
84f5cff833ac4146c0eb,ood,smooth_no_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.46119008947348455,12,12,1,1.9370389811842902e-16,unconstrained,Solved,0.2907344051668718,0.2907344051634484,3.4234282075829015e-12,3.4234282075829015e-12,2.77297335270354e-16,6.3922570161310246e-15,10,3.8584e-05,2.220446049250313e-16,5.200034966016347e-10,,,,,3,True,True,False
84f5cff833ac4146c0eb,ood,smooth_no_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.46119008947348455,12,12,1,1.9370389811842902e-16,tail_safe,Solved,0.2907915808925221,0.29079158088142487,1.1097234242640752e-11,1.1097234242640752e-11,1.3133208984633262e-13,3.8570282780046644e-13,11,0.000656835,1.1102230246251565e-16,3.2876820813018985e-10,-4.650897722502378e-13,-1.0084556950935466e-12,0,1,3,True,True,False
58f717923bc6b9fb3623,ood,single_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.496984581533704,12,12,1,1.872374813556957e-11,unconstrained,Solved,0.2707146515675895,0.27071465156474916,2.8403390750497692e-12,2.8403390750497692e-12,4.730170791359734e-16,3.560473738879702e-15,10,3.5206e-05,0.0,1.6043584984373487e-10,,,,,3,True,True,False
58f717923bc6b9fb3623,ood,single_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.496984581533704,12,12,1,1.872374813556957e-11,tail_safe,AlmostSolved,0.2970484864957402,0.29704846044805877,2.604768145619829e-08,2.604768145619829e-08,5.1975230518324456e-09,8.00466727915471e-12,15,0.001045707,1.852207276442641e-11,-4.0618751849375093e-10,5.831690078755836e-11,1.1734146883911626e-10,0,92,1,False,True,False
06dd164ebf7afaab36bb,ood,two_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.3149932839258359,12,12,1,3.577253748650114e-15,unconstrained,Solved,0.2980642070087466,0.2980642070043121,4.4345083161090315e-12,4.4345083161090315e-12,9.580868648313764e-16,8.6605111463331e-14,11,3.8251e-05,1.3322676295501878e-15,5.969732863002421e-11,,,,,3,True,True,False
06dd164ebf7afaab36bb,ood,two_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.3149932839258359,12,12,1,3.577253748650114e-15,tail_safe,Solved,0.2995401677688395,0.29954016771086833,5.797118340922225e-11,5.797118340922225e-11,3.057509390938522e-13,9.454764345946215e-13,14,0.000787705,3.552713678800501e-15,1.0240859623125421e-10,-4.102985312615104e-13,-1.3025627916502301e-12,0,2,4,True,True,False
