partition,base_seed,family,case_id,geometry_digest,candidate_id,measurement_residual_ratio_to_component_damping,measurement_residual_gain_over_component_damping,adjoint_residual_ratio_to_component_damping,adjoint_residual_gain_over_component_damping,fresh_exact_mismatch_access,evaluator_only,evaluator_forward_calls,evaluator_adjoint_calls
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,damping_contrast_global_k6_total_adjoint_oracle,0.8144671922244596,0.18553280777554038,0.7272407895985716,0.27275921040142836,True,True,0,2
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,high_order_teacher_b0p75,0.8271211246481498,0.1728788753518502,0.7781492247234739,0.22185077527652608,True,True,0,2
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,residual_contrast_global_k6_total_measurement_oracle,0.8052090435231928,0.19479095647680722,0.7718591700975609,0.2281408299024391,True,True,0,2
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,residual_contrast_global_k6_total_adjoint_oracle,0.8213349318755884,0.17866506812441163,0.7638865667374285,0.2361134332625715,True,True,0,2
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,damping_contrast_global_k6_total_measurement_oracle,0.7160482887738726,0.2839517112261274,0.6747771301803327,0.3252228698196673,True,True,0,2
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,damping_contrast_global_k6_total_adjoint_oracle,0.7280647589645977,0.27193524103540234,0.6654118297225904,0.3345881702774096,True,True,0,2
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,high_order_teacher_b0p75,0.7831885818666193,0.21681141813338067,0.8109634307660288,0.18903656923397116,True,True,0,2
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,residual_contrast_global_k6_total_measurement_oracle,0.6889964224695208,0.31100357753047925,0.8079208603277442,0.19207913967225576,True,True,0,2
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,residual_contrast_global_k6_total_adjoint_oracle,0.6891208333497216,0.31087916665027837,0.8078749635708051,0.19212503642919487,True,True,0,2
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,damping_contrast_global_k6_total_measurement_oracle,0.789191558539518,0.21080844146048205,0.8403593453936872,0.15964065460631283,True,True,0,2
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,damping_contrast_global_k6_total_adjoint_oracle,0.7944303824978661,0.20556961750213387,0.8355866377789671,0.16441336222103287,True,True,0,2
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,high_order_teacher_b0p75,0.9288615913445364,0.07113840865546361,0.9158401049772297,0.08415989502277033,True,True,0,2
development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,residual_contrast_global_k6_total_measurement_oracle,0.6606036710798824,0.3393963289201176,0.5643286625209705,0.43567133747902953,True,True,0,2
development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,residual_contrast_global_k6_total_adjoint_oracle,0.6866802218625169,0.31331977813748313,0.5499577502147736,0.45004224978522644,True,True,0,2
development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,damping_contrast_global_k6_total_measurement_oracle,0.6319503150386473,0.3680496849613527,0.5399994504911809,0.4600005495088191,True,True,0,2
development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,damping_contrast_global_k6_total_adjoint_oracle,0.6470604437872498,0.3529395562127502,0.5303578865300435,0.46964211346995655,True,True,0,2
development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,high_order_teacher_b0p75,0.8131486352876255,0.1868513647123745,0.8108053415284595,0.1891946584715405,True,True,0,2
development,2153,single_interface,d1f773e0843797aa3ccb,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,residual_contrast_global_k6_total_measurement_oracle,0.7796498760468082,0.22035012395319176,0.7689641143254635,0.23103588567453648,True,True,0,2
development,2153,single_interface,d1f773e0843797aa3ccb,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,residual_contrast_global_k6_total_adjoint_oracle,0.8127320867220741,0.1872679132779259,0.7562543197063253,0.24374568029367472,True,True,0,2
development,2153,single_interface,d1f773e0843797aa3ccb,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,damping_contrast_global_k6_total_measurement_oracle,0.8220095751107159,0.17799042488928407,0.7414283161676694,0.25857168383233065,True,True,0,2
development,2153,single_interface,d1f773e0843797aa3ccb,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,damping_contrast_global_k6_total_adjoint_oracle,0.843579367406434,0.15642063259356598,0.7279661353982498,0.27203386460175016,True,True,0,2
development,2153,single_interface,d1f773e0843797aa3ccb,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2153,single_interface,d1f773e0843797aa3ccb,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,high_order_teacher_b0p75,0.8114959375602526,0.18850406243974738,0.7597197113766243,0.2402802886233757,True,True,0,2
development,2161,smooth_no_interface,a7807f272a639137f150,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,residual_contrast_global_k6_total_measurement_oracle,0.7408083443149387,0.2591916556850613,0.7188162005640371,0.28118379943596294,True,True,0,2
development,2161,smooth_no_interface,a7807f272a639137f150,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,residual_contrast_global_k6_total_adjoint_oracle,0.7713112414998835,0.2286887585001165,0.7109334793336621,0.28906652066633787,True,True,0,2
development,2161,smooth_no_interface,a7807f272a639137f150,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,damping_contrast_global_k6_total_measurement_oracle,0.6554788564932695,0.34452114350673047,0.619102335618799,0.380897664381201,True,True,0,2
development,2161,smooth_no_interface,a7807f272a639137f150,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,damping_contrast_global_k6_total_adjoint_oracle,0.6755925801521101,0.3244074198478899,0.6086982564243698,0.3913017435756302,True,True,0,2
development,2161,smooth_no_interface,a7807f272a639137f150,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2161,smooth_no_interface,a7807f272a639137f150,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,high_order_teacher_b0p75,0.8528451860663374,0.1471548139336626,0.8909178002110156,0.10908219978898437,True,True,0,2
development,2161,single_interface,99689ce39ea56bfb0b6d,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,residual_contrast_global_k6_total_measurement_oracle,0.751028943819247,0.248971056180753,0.7710759152747905,0.22892408472520953,True,True,0,2
development,2161,single_interface,99689ce39ea56bfb0b6d,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,residual_contrast_global_k6_total_adjoint_oracle,0.8135647141510925,0.18643528584890745,0.7448917538043583,0.25510824619564165,True,True,0,2
development,2161,single_interface,99689ce39ea56bfb0b6d,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,damping_contrast_global_k6_total_measurement_oracle,0.6327815919075392,0.36721840809246076,0.6160351495369485,0.3839648504630515,True,True,0,2
development,2161,single_interface,99689ce39ea56bfb0b6d,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,damping_contrast_global_k6_total_adjoint_oracle,0.6537507198022164,0.34624928019778356,0.5948634095295546,0.40513659047044537,True,True,0,2
development,2161,single_interface,99689ce39ea56bfb0b6d,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2161,single_interface,99689ce39ea56bfb0b6d,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,high_order_teacher_b0p75,0.7704832969789783,0.22951670302102167,0.7265915328015853,0.2734084671984147,True,True,0,2
