case_id,split,family,base_seed,geometry_digest,warm_checkpoint,method,candidate_paired_call_budget,paired_call_budget,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,full_path_seconds_through_maximum_budget,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,measured_data_residual_norm,clean_reprojection_relative_l2
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,1,zero_start_cgls_componentwise,15,14,14,14,0,0.007906291051767766,0.6175144851378854,0.06274407471984071,0.05977293477533463,0.016160509891632674,1.1191699247951905,0.003888278339300436,0.026618379534017474,0.017400621459465637
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,1,zero_start_cgls_pair_rounded,15,15,15,15,0,0.007906291051767766,0.6175029232588256,0.06274289994674456,0.059771815631639136,0.01616549409617434,1.1192400960865245,0.0030079492710394346,0.020591821965606546,0.017068185661720355
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,2,zero_start_cgls_componentwise,16,15,15,15,0,0.007906291051767766,0.6175029232588256,0.06274289994674456,0.059771815631639136,0.01616549409617434,1.1192400960865245,0.0030079492710394346,0.020591821965606546,0.017068185661720355
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,2,zero_start_cgls_pair_rounded,16,16,16,16,0,0.007906291051767766,0.6174777372413561,0.06274034085962994,0.059769377725783175,0.016163513787549735,1.1193059616079315,0.0024447906384196176,0.016736550065593953,0.01698607146546552
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,3,zero_start_cgls_componentwise,17,16,16,16,0,0.007906291051767766,0.6174777372413561,0.06274034085962994,0.059769377725783175,0.016163513787549735,1.1193059616079315,0.0024447906384196176,0.016736550065593953,0.01698607146546552
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,3,zero_start_cgls_pair_rounded,17,17,17,17,0,0.007906291051767766,0.6174283402877376,0.06273532176093127,0.05976459629804699,0.01615661635573584,1.1193409675827997,0.0020159294458735578,0.013800651707901738,0.01670947919929411
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,4,zero_start_cgls_componentwise,18,17,17,17,0,0.007906291051767766,0.6174283402877376,0.06273532176093127,0.05976459629804699,0.01615661635573584,1.1193409675827997,0.0020159294458735578,0.013800651707901738,0.01670947919929411
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,4,zero_start_cgls_pair_rounded,18,18,18,18,0,0.007906291051767766,0.6173996389491063,0.06273240549098298,0.059761818123148645,0.01615072516202626,1.1193720078613316,0.0016648599458571427,0.011397299792530374,0.016607383789469576
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,5,zero_start_cgls_componentwise,19,18,18,18,0,0.007906291051767766,0.6173996389491063,0.06273240549098298,0.059761818123148645,0.01615072516202626,1.1193720078613316,0.0016648599458571427,0.011397299792530374,0.016607383789469576
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,5,zero_start_cgls_pair_rounded,19,19,19,19,0,0.007906291051767766,0.6174026536839841,0.06273271181051876,0.05976210993743891,0.016149630862202977,1.1193788355241179,0.0013565269431092097,0.009286513430594062,0.016521166165614904
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,6,zero_start_cgls_componentwise,20,19,19,19,0,0.007906291051767766,0.6174026536839841,0.06273271181051876,0.05976210993743891,0.016149630862202977,1.1193788355241179,0.0013565269431092097,0.009286513430594062,0.016521166165614904
