method,split,warm_checkpoint,case_model_count,paired_call_budget,field_gain_mean,h1_gain_mean,measured_reprojection_ratio_mean,clean_reprojection_ratio_mean,measured_reprojection_ratio_to_componentwise_cgls_mean,clean_reprojection_ratio_to_componentwise_cgls_mean,field_harm_rate,worst_field_gain,breakdown_rate,null_component_relative_drift_maximum,recurrence_residual_closure_relative_error_maximum,model_seed_count,per_model_seed_field_gain_means,gate_checks,passed_all_gates
pooled_cnn,development,4,18,18,0.4266862389603983,0.3716360139662793,11.47931242762714,1.8797924239683412,8.988770439164272,1.8610349595401265,0.0,0.06011668781181556,0.0,2.3281354954327983e-15,9.932376233172716e-15,3,"[0.41928167062280197,0.43029620627391646,0.43048083998447645]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,5,18,19,0.41725844539427426,0.3555440460405406,10.709263924981846,1.6403851291836,8.83685920226903,1.6234285161358557,0.0,0.036419558182280154,0.0,2.092962260807453e-15,1.483389206014862e-14,3,"[0.4098687521823099,0.42102606998429365,0.42088051401621923]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,6,18,20,0.40571182378114923,0.34841281140112573,11.430247349715762,1.4852371119278525,8.979385709266591,1.4736588229820482,0.0,0.006048046613761016,0.0,2.0771338242584037e-15,1.7739984285627445e-14,3,"[0.39822933530477034,0.41005869321077065,0.40884744282790675]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,7,18,21,0.3915753366293975,0.33717177528532677,12.43505793773131,1.3346277990158493,9.104909916740208,1.32802942872459,0.16666666666666666,-0.03271910137355638,0.0,2.5015549771418245e-15,2.4580390694723104e-14,3,"[0.384984903379925,0.3959782831144823,0.39376282339378493]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,8,18,22,0.38084302691033517,0.3284392064709186,12.996071144040426,1.2159922651668422,10.143318746078288,1.2117601888874132,0.16666666666666666,-0.058579253231211714,0.0,2.517023609155456e-15,3.0272052354501743e-14,3,"[0.3744309202944174,0.38555160451214204,0.38254655592444625]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":false,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,9,18,23,0.37347101502322233,0.3233261940988824,13.118152266170798,1.1337472191621056,10.610684318555924,1.132996556249029,0.16666666666666666,-0.06924992185024936,0.0,2.498708248342245e-15,4.638696140718535e-14,3,"[0.3670287812200586,0.37875382418921727,0.37463043966039095]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":false,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,10,18,24,0.36735745283796645,0.3195821332608562,13.325908597447958,1.0844459947574174,10.607916042387574,1.0849488185943883,0.16666666666666666,-0.08077113367361699,0.0,2.5462582787767075e-15,5.053930436583715e-14,3,"[0.3607018812100387,0.3727426106443999,0.3686278666594607]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":true,""harm_rate"":false,""worst_field"":false,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,0,54,13,0.31170847891967973,0.3629495644798381,35.245240105277425,12.529377217004845,35.245240105277425,12.529377217004845,0.0,0.06593469758114234,0.0,0.0,0.0,3,"[0.3158964082862398,0.3037954638030104,0.3154335646697889]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,1,54,15,0.36097991875542224,0.36479084455264055,22.06258750403529,5.226244985946681,17.9788450761398,5.202962302944007,0.0,0.15820618797977348,0.0,2.7047905793046714e-15,2.3431641419964658e-15,3,"[0.3528795140395322,0.3632085691902776,0.36685167303645677]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,2,54,16,0.375803059342129,0.3471010464678657,16.276875072257205,3.2509189765022417,13.450872334546592,3.2341155856663195,0.0,0.17192282911827306,0.0,2.795170247067653e-15,4.325049919133091e-15,3,"[0.36058348969480414,0.38217162406401844,0.3846540642675645]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
