method,model_seed,split,warm_checkpoint,case_count,paired_call_budget,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_mean,h1_gain_mean,measured_reprojection_ratio_mean,clean_reprojection_ratio_mean,measured_reprojection_ratio_to_componentwise_cgls_mean,clean_reprojection_ratio_to_componentwise_cgls_mean,field_harm_rate,worst_field_gain,breakdown_rate,null_component_relative_drift_maximum,recurrence_residual_closure_relative_error_maximum,neural_inference_seconds_mean
grid_deeponet,29,development,0,6,13,0.6497654855631204,1.1782608944160724,0.008679229293951965,-0.05261698100221172,10.487383123333949,3.6972024588325296,10.487383123333949,3.6972024588325296,0.16666666666666666,-0.3189471776109398,0.0,0.0,0.0,0.004098354140296578
grid_deeponet,29,development,1,6,15,0.6455142118875182,1.1622545584268444,0.017568221018848567,-0.029139042737506633,9.347998739636646,2.4344330949767774,7.40498133881422,2.356463637046335,0.16666666666666666,-0.30486305397766134,0.0,7.628582350061939e-15,4.463340752669437e-15,0.004098354140296578
grid_deeponet,29,development,2,6,16,0.6417589288678437,1.1520084831977226,0.022952896937342777,-0.11796479276109056,6.860734643808886,1.7408848220864483,5.451884614856848,1.7037335079156117,0.16666666666666666,-0.2898905320435996,0.0,7.459118123296594e-15,8.453623576895116e-15,0.004098354140296578
grid_deeponet,29,development,3,6,17,0.6391033340642047,1.1449207535714974,0.0216640008649772,-0.12844622581043538,5.650635967113278,1.3875448977763742,4.31685387744074,1.3780794113326256,0.16666666666666666,-0.27128156418837035,0.0,9.936911935916339e-15,1.3551199372751249e-14,0.004098354140296578
grid_deeponet,29,development,4,6,18,0.6381265451947938,1.1423562984507971,0.01772653945202644,-0.11999682468656638,4.816489989008393,1.194301784761005,3.761112857098945,1.186335821359475,0.16666666666666666,-0.25937398399516587,0.0,8.916299029283386e-15,2.3940044834312324e-14,0.004098354140296578
grid_deeponet,29,development,5,6,19,0.6381181810040911,1.142033587115209,0.012552346722141339,-0.1310109966924107,4.468718609045281,1.1149252552507638,3.6866404576650633,1.1076936735651077,0.16666666666666666,-0.25492174130595036,0.0,9.661901578778892e-15,3.3117846476299174e-14,0.004098354140296578
grid_deeponet,29,development,6,6,20,0.6382324432545202,1.1416215026771048,0.006799198706252989,-0.1263053415860321,4.393291643707382,1.0571863767067546,3.4639328882963825,1.0526613090187158,0.16666666666666666,-0.2521522744281324,0.0,8.692804232303294e-15,4.319813130358777e-14,0.004098354140296578
grid_deeponet,29,development,7,6,21,0.6382666547539896,1.1414732462721873,0.0013687275964076966,-0.12311286225982469,4.633669073636088,1.026052339356875,3.3757614248620613,1.0235999896567882,0.16666666666666666,-0.2504964984960856,0.0,7.698999393831346e-15,4.6344162366483095e-14,0.004098354140296578
grid_deeponet,29,development,8,6,22,0.6384130830578011,1.1418763194494506,-0.00404939709203848,-0.12150190825632075,4.783194339999121,1.017408324397064,3.733482199822138,1.015112969262656,0.16666666666666666,-0.250482298089338,0.0,8.916667700423423e-15,7.123264885359717e-14,0.004098354140296578
grid_deeponet,29,development,9,6,23,0.6386963515011929,1.1423313928930423,-0.009505400153073126,-0.12079119548950697,5.184009615244484,1.009802593824501,4.1860730141578975,1.0092813577583337,0.16666666666666666,-0.25233395688910476,0.0,1.0296848703042675e-14,8.08129701899931e-14,0.004098354140296578
grid_deeponet,29,development,10,6,24,0.6392459238181308,1.1432153792351705,-0.015209869718470806,-0.12118765690588162,5.368560785461329,1.006615781308102,4.297859635822397,1.0069995215218903,0.16666666666666666,-0.2558793011105962,0.0,8.3586306605494e-15,1.0613004410229836e-13,0.004098354140296578
grid_deeponet,29,ood,0,18,13,0.6370781051150602,1.2320251411803433,0.02233395958288911,-0.10103371287969481,14.011167130183134,4.971820264558188,14.011167130183134,4.971820264558188,0.16666666666666666,-0.14838954303601537,0.0,0.0,0.0,0.004581395788894345
grid_deeponet,29,ood,1,18,15,0.6293265619146204,1.2069479012833606,0.029089168076979057,-0.1089909535347836,13.742614952640643,3.2957051337389855,11.217718594385968,3.2820707443317465,0.16666666666666666,-0.14305134771724837,0.0,1.286779195978565e-14,3.940121839611287e-15,0.004581395788894345
grid_deeponet,29,ood,2,18,16,0.6226179203356532,1.189426120724403,0.0355778633634142,-0.1319416866202603,10.949453216297435,2.324015425311556,9.008038065034743,2.3142984817088443,0.16666666666666666,-0.13448873205735046,0.0,1.18181335707588e-14,8.95973819747701e-15,0.004581395788894345
grid_deeponet,29,ood,3,18,17,0.619272133119489,1.1815303507571493,0.03500012435313689,-0.16214549546123513,8.749733648999246,1.7416870614522215,7.296174542750015,1.739582200248296,0.16666666666666666,-0.12661622032389808,0.0,1.1301280825472181e-14,1.620401908945673e-14,0.004581395788894345
grid_deeponet,29,ood,4,18,18,0.6183161941145703,1.178852130277538,0.03033699937010857,-0.15944535466933063,7.434092399011716,1.378496500903966,5.998648903467876,1.3769307245760798,0.2222222222222222,-0.12256671987449708,0.0,1.3417613381365889e-14,2.0164440419705665e-14,0.004581395788894345
grid_deeponet,29,ood,5,18,19,0.6182015203755991,1.1785092998633948,0.02463243048790375,-0.15372422888893095,6.553633710301396,1.2051551184746034,5.463187353841144,1.2066799160581498,0.2222222222222222,-0.12076393606877578,0.0,1.2907972576005536e-14,2.6971098760670732e-14,0.004581395788894345
grid_deeponet,29,ood,6,18,20,0.6180785381985721,1.1767619766549642,0.019262534717447582,-0.14788536473748304,5.582095472727014,1.0967208705172196,4.542503348937533,1.094861718961252,0.2777777777777778,-0.1197912605098641,0.0,1.347164522049521e-14,4.4301825856764314e-14,0.004581395788894345
grid_deeponet,29,ood,7,18,21,0.6180285437686672,1.1758721474654692,0.014060342073095207,-0.1439627761327805,5.556654476665706,1.054218169734905,4.5231951966743065,1.0544883750833438,0.2777777777777778,-0.12111045354983574,0.0,1.3056356169824227e-14,4.555915138234429e-14,0.004581395788894345
grid_deeponet,29,ood,8,18,22,0.6181584488024767,1.1756706037360718,0.008787686204119658,-0.14166447239200766,5.572105157248016,1.0185828521824947,4.31036796732358,1.0201254149318357,0.2777777777777778,-0.12330973707555426,0.0,1.3183730465368649e-14,5.748062761159359e-14,0.004581395788894345
grid_deeponet,29,ood,9,18,23,0.6184712402793124,1.1763478289735962,0.0033903143362834756,-0.14103806481351444,5.625282253632514,1.0025201137839217,4.419883238632806,1.0031543777024001,0.2777777777777778,-0.12630534010842398,0.0,1.2996953404341573e-14,8.084243536411986e-14,0.004581395788894345
grid_deeponet,29,ood,10,18,24,0.6187801832707295,1.1771379222089982,-0.0018535489230678765,-0.14121525138085061,5.782715423526815,0.994193510396451,4.656342279388696,0.9952401502879824,0.3333333333333333,-0.12953119137669655,0.0,1.1815628109375767e-14,9.975152774294582e-14,0.004581395788894345
grid_deeponet,43,development,0,6,13,0.650666028788622,1.1790724115646372,0.007270407971563512,-0.05325378480090085,10.526314737399483,3.6717777634206996,10.526314737399483,3.6717777634206996,0.16666666666666666,-0.3174396486932274,0.0,0.0,0.0,0.004430131967334698
grid_deeponet,43,development,1,6,15,0.6465290261111245,1.1636966327661822,0.01599887501430373,-0.030335574506990554,9.49070295145916,2.4317654142458482,7.5248894553898955,2.356962986566772,0.16666666666666666,-0.3040569320109272,0.0,7.351092188615351e-15,4.3309692440406935e-15,0.004430131967334698
