bootstrap_mean_field_gain_95_interval_vs_validation_fixed_percent,case_count,field_harm_over_one_percent_rate_vs_validation_fixed,maximum_selected_iteration,mean_a_clean_residual_ratio_vs_k24,mean_a_clean_residual_ratio_vs_validation_fixed,mean_a_measured_residual_ratio_vs_k24,mean_a_measured_residual_ratio_vs_validation_fixed,mean_field_gain_vs_k24_percent,mean_field_gain_vs_validation_fixed_percent,mean_field_relative_l2,mean_front_f1_gain_vs_k24_percent,mean_front_f1_gain_vs_validation_fixed_percent,mean_front_top10_f1,mean_gradient_gain_vs_k24_percent,mean_gradient_gain_vs_validation_fixed_percent,mean_gradient_relative_l2,mean_heldout_b_residual_ratio_vs_k24,mean_heldout_b_residual_ratio_vs_validation_fixed,mean_selected_iteration,median_field_gain_vs_validation_fixed_percent,median_selected_iteration,method,minimum_selected_iteration,p10_field_gain_vs_validation_fixed_percent,selected_iteration_iqr,split,unique_selected_iteration_count,worst_field_gain_vs_validation_fixed_percent
"[-0.015547841747535604, 0.0]",24,0.0,24,1.0014728558349144,1.0014728558349144,1.006051342900496,1.006051342900496,-0.00555995995502458,-0.00555995995502458,0.9256535321474075,0.03705186367998352,0.03705186367998352,0.3934214226901531,0.059585793261266534,0.059585793261266534,1.2835500439008076,0.999888423745226,0.999888423745226,23.791666666666668,0.0,24.0,heldout_b_clean_oracle_k,20,0.0,0.0,test_joint_ood,3,-0.10627012409967468
"[-3.7600847735750826, -3.0744364791343886]",24,1.0,4,3.781801505731893,3.781801505731893,4.666375538647115,4.666375538647115,-3.423853638075183,-3.423853638075183,0.9571932132045428,-3.08832089465133,-3.08832089465133,0.38050320868690807,13.436019332773101,13.436019332773101,1.1089941163857777,1.1527552357476016,1.1527552357476016,4.0,-3.6110796480302922,4.0,historical_fixed_k4,4,-4.42336349012078,0.0,test_joint_ood,1,-5.004063065136684
"[-0.37528166197048235, -0.27335098110384604]",24,0.0,22,1.1466499880854633,1.1466499880854633,1.3321681603868074,1.3321681603868074,-0.3249816861196845,-0.3249816861196845,0.9286000182231268,0.6337591029147303,0.6337591029147303,0.3953032046556473,2.261365803305473,2.261365803305473,1.2549360891183217,1.0128086946318564,1.0128086946318564,16.75,-0.34425182735060644,16.5,sensor_noise_discrepancy_first_crossing,13,-0.4961765940372578,2.25,test_joint_ood,9,-0.5072813455769964
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9256021430095037,0.0,0.0,0.39324341466029483,0.0,0.0,1.2842876315116882,1.0,1.0,24.0,0.0,24.0,truth_field_oracle_k,24,0.0,0.0,test_joint_ood,1,-0.0
"[-6.664532640718236, -5.602858460044318]",24,1.0,1,7.3784869414422865,7.3784869414422865,9.016350022578456,9.016350022578456,-6.159274943322266,-6.159274943322266,0.9824293827017149,-8.724681110030964,-8.724681110030964,0.35944759969909984,20.03681753514637,20.03681753514637,1.0231268505255382,1.3406285839740397,1.3406285839740397,1.0,-6.55656136050498,1.0,truth_gradient_oracle_k,1,-7.563477802567518,0.0,test_joint_ood,1,-7.952799455931938
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9256021430095037,0.0,0.0,0.39324341466029483,0.0,0.0,1.2842876315116882,1.0,1.0,24.0,0.0,24.0,validation_global_fixed_k,24,0.0,0.0,test_joint_ood,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9153763602177302,0.0,0.0,0.3799842285613219,0.0,0.0,1.3761158883571625,1.0,1.0,24.0,0.0,24.0,active_measured_min_k,24,0.0,0.0,test_noise_ood,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9153763602177302,0.0,0.0,0.3799842285613219,0.0,0.0,1.3761158883571625,1.0,1.0,24.0,0.0,24.0,fixed_k24,24,0.0,0.0,test_noise_ood,1,-0.0
"[-0.413280308892834, -0.013974900127603912]",24,0.041666666666666664,24,1.1208140511236455,1.1208140511236455,1.186874383880735,1.186874383880735,-0.17445461057273215,-0.17445461057273215,0.9169759402672449,0.05795651496304305,0.05795651496304305,0.3802512449522813,0.9619269556294657,0.9619269556294657,1.3628069758415222,0.998465816066448,0.998465816066448,21.666666666666668,0.0,24.0,heldout_b_clean_oracle_k,8,-0.48194022145218807,2.25,test_noise_ood,7,-2.3520860828173227
"[-3.9367356452283624, -3.301400577803792]",24,1.0,4,3.8298538993419595,3.8298538993419595,4.653593004378865,4.653593004378865,-3.614655157013674,-3.614655157013674,0.9484225163857142,-1.5583661165189866,-1.5583661165189866,0.37447869032621384,14.535531576719329,14.535531576719329,1.174270714322726,1.1481171888845847,1.1481171888845847,4.0,-3.601767690144738,4.0,historical_fixed_k4,4,-4.706518308207626,0.0,test_noise_ood,1,-5.150836886985537
