case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,output_relative_l2,position_tangent_relative_l2,direction_tangent_relative_l2,teacher_valid_ray_fraction,output_gate_met,position_gate_met,direction_gate_met,teacher_valid_gate_met
smooth-s1987-orientation_58-narrow,10.0,True,smooth-s1987-orientation_58-narrow__stress_10,smooth-s1987,smooth-s1987,smooth,orientation_58,narrow,1.5453640217435026e-14,6.9964900272634386e-15,8.09885283956093e-15,1.0,True,True,True,True
smooth-s1987-orientation_58-wide,1.0,True,smooth-s1987-orientation_58-wide__stress_1,smooth-s1987,smooth-s1987,smooth,orientation_58,wide,2.1050498418861255e-14,8.764005333032064e-15,1.0451704315490742e-14,1.0,True,True,True,True
smooth-s1987-orientation_58-wide,3.0,True,smooth-s1987-orientation_58-wide__stress_3,smooth-s1987,smooth-s1987,smooth,orientation_58,wide,2.093395407248543e-14,8.75534601800639e-15,1.04529217016691e-14,1.0,True,True,True,True
smooth-s1987-orientation_58-wide,10.0,True,smooth-s1987-orientation_58-wide__stress_10,smooth-s1987,smooth-s1987,smooth,orientation_58,wide,2.127164566163523e-14,8.740561059855535e-15,1.0427386929866777e-14,1.0,True,True,True,True
smooth-s2131-orientation_22-narrow,1.0,True,smooth-s2131-orientation_22-narrow__stress_1,smooth-s2131,smooth-s2131,smooth,orientation_22,narrow,1.6323894988192547e-14,8.163911314572676e-15,8.507628935998592e-15,1.0,True,True,True,True
smooth-s2131-orientation_22-narrow,3.0,True,smooth-s2131-orientation_22-narrow__stress_3,smooth-s2131,smooth-s2131,smooth,orientation_22,narrow,1.6409773126452907e-14,8.195030447637023e-15,8.52367021832674e-15,1.0,True,True,True,True
smooth-s2131-orientation_22-narrow,10.0,True,smooth-s2131-orientation_22-narrow__stress_10,smooth-s2131,smooth-s2131,smooth,orientation_22,narrow,1.6329119488969013e-14,8.185579053872888e-15,8.517771201232084e-15,1.0,True,True,True,True
smooth-s2131-orientation_22-wide,1.0,True,smooth-s2131-orientation_22-wide__stress_1,smooth-s2131,smooth-s2131,smooth,orientation_22,wide,1.4947907059439404e-14,8.26762734646472e-15,8.644520117917407e-15,1.0,True,True,True,True
smooth-s2131-orientation_22-wide,3.0,True,smooth-s2131-orientation_22-wide__stress_3,smooth-s2131,smooth-s2131,smooth,orientation_22,wide,1.5106635208577305e-14,8.243165543570977e-15,8.645802362767915e-15,1.0,True,True,True,True
smooth-s2131-orientation_22-wide,10.0,True,smooth-s2131-orientation_22-wide__stress_10,smooth-s2131,smooth-s2131,smooth,orientation_22,wide,1.5053316377653e-14,8.248705652590752e-15,8.625744711100213e-15,1.0,True,True,True,True
smooth-s2131-orientation_58-narrow,1.0,True,smooth-s2131-orientation_58-narrow__stress_1,smooth-s2131,smooth-s2131,smooth,orientation_58,narrow,3.4013051464556437e-14,4.160043185481909e-15,4.1589669658078925e-15,1.0,True,True,True,True
smooth-s2131-orientation_58-narrow,3.0,True,smooth-s2131-orientation_58-narrow__stress_3,smooth-s2131,smooth-s2131,smooth,orientation_58,narrow,3.447037222697893e-14,4.166657540994713e-15,4.159338252940318e-15,1.0,True,True,True,True
smooth-s2131-orientation_58-narrow,10.0,True,smooth-s2131-orientation_58-narrow__stress_10,smooth-s2131,smooth-s2131,smooth,orientation_58,narrow,3.4046622141462337e-14,4.1505227398087325e-15,4.146619179377723e-15,1.0,True,True,True,True
smooth-s2131-orientation_58-wide,1.0,True,smooth-s2131-orientation_58-wide__stress_1,smooth-s2131,smooth-s2131,smooth,orientation_58,wide,4.071040154618187e-14,4.841918282725915e-15,5.0905871307433344e-15,1.0,True,True,True,True
smooth-s2131-orientation_58-wide,3.0,True,smooth-s2131-orientation_58-wide__stress_3,smooth-s2131,smooth-s2131,smooth,orientation_58,wide,4.026287390080974e-14,4.8186535153625176e-15,5.0877736465318144e-15,1.0,True,True,True,True
smooth-s2131-orientation_58-wide,10.0,True,smooth-s2131-orientation_58-wide__stress_10,smooth-s2131,smooth-s2131,smooth,orientation_58,wide,4.0895247316017936e-14,4.835037525865566e-15,5.096903792901062e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_22-narrow,1.0,True,wrinkled-s2718-orientation_22-narrow__stress_1,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,narrow,2.091916957800637e-14,3.902268961516715e-15,5.330737551782267e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_22-narrow,3.0,True,wrinkled-s2718-orientation_22-narrow__stress_3,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,narrow,2.0804170122571428e-14,3.887424738904133e-15,5.3266736621388366e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_22-narrow,10.0,True,wrinkled-s2718-orientation_22-narrow__stress_10,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,narrow,2.128547264114167e-14,3.867590682080402e-15,5.279267874705643e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_22-wide,1.0,True,wrinkled-s2718-orientation_22-wide__stress_1,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,wide,2.147884411080237e-14,4.106495601034528e-15,5.504691482956046e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_22-wide,3.0,True,wrinkled-s2718-orientation_22-wide__stress_3,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,wide,2.1092521622108277e-14,4.101401321364498e-15,5.481128272290705e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_22-wide,10.0,True,wrinkled-s2718-orientation_22-wide__stress_10,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,wide,2.1184219027161587e-14,4.1117540838945864e-15,5.475842591157028e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_58-narrow,1.0,True,wrinkled-s2718-orientation_58-narrow__stress_1,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,narrow,2.0190121286288942e-14,3.1920898956264784e-15,4.607951181711904e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_58-narrow,3.0,True,wrinkled-s2718-orientation_58-narrow__stress_3,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,narrow,2.0559471149709395e-14,3.1932828695279787e-15,4.59237840259424e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_58-narrow,10.0,True,wrinkled-s2718-orientation_58-narrow__stress_10,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,narrow,2.100965448068036e-14,3.147501655033106e-15,4.5692060471769964e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_58-wide,1.0,True,wrinkled-s2718-orientation_58-wide__stress_1,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,wide,1.90865532906629e-14,3.457273855074587e-15,5.031156762613879e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_58-wide,3.0,True,wrinkled-s2718-orientation_58-wide__stress_3,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,wide,1.870198725664383e-14,3.4173706776598797e-15,4.9922707615160944e-15,1.0,True,True,True,True
wrinkled-s2718-orientation_58-wide,10.0,True,wrinkled-s2718-orientation_58-wide__stress_10,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,wide,1.848794241598219e-14,3.442338715034965e-15,5.000599001552157e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_22-narrow,1.0,True,wrinkled-s2851-orientation_22-narrow__stress_1,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,narrow,1.9857376607774867e-14,4.725480835966727e-15,4.214754812617705e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_22-narrow,3.0,True,wrinkled-s2851-orientation_22-narrow__stress_3,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,narrow,2.0951507635962406e-14,4.7540395643627656e-15,4.218996119683889e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_22-narrow,10.0,True,wrinkled-s2851-orientation_22-narrow__stress_10,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,narrow,2.0406311327291356e-14,4.761196616656563e-15,4.239582006057692e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_22-wide,1.0,True,wrinkled-s2851-orientation_22-wide__stress_1,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,wide,2.0762471153769628e-14,5.048268397098242e-15,4.460878667100781e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_22-wide,3.0,True,wrinkled-s2851-orientation_22-wide__stress_3,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,wide,2.0939179211211184e-14,5.0493702547330394e-15,4.4604290634384025e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_22-wide,10.0,True,wrinkled-s2851-orientation_22-wide__stress_10,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,wide,2.0883910349172548e-14,5.043553738136926e-15,4.452031158156837e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_58-narrow,1.0,True,wrinkled-s2851-orientation_58-narrow__stress_1,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,narrow,1.4896963044979147e-14,1.93134578834234e-15,2.8164011080426243e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_58-narrow,3.0,True,wrinkled-s2851-orientation_58-narrow__stress_3,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,narrow,1.4806842703792533e-14,1.960846440868428e-15,2.8701906995092296e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_58-narrow,10.0,True,wrinkled-s2851-orientation_58-narrow__stress_10,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,narrow,1.505718560770543e-14,1.9454704695324228e-15,2.861169976999715e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_58-wide,1.0,True,wrinkled-s2851-orientation_58-wide__stress_1,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,wide,1.4172180632516176e-14,2.06134086317977e-15,2.859818516818611e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_58-wide,3.0,True,wrinkled-s2851-orientation_58-wide__stress_3,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,wide,1.4164023480286795e-14,2.071778009441038e-15,2.8766790099474573e-15,1.0,True,True,True,True
wrinkled-s2851-orientation_58-wide,10.0,True,wrinkled-s2851-orientation_58-wide__stress_10,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,wide,1.3823308891035868e-14,2.0996345318917016e-15,2.8894782919557827e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_22-narrow,1.0,True,wrinkled-s3001-orientation_22-narrow__stress_1,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,narrow,1.135676164862526e-14,5.788420990056139e-15,3.818773572906823e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_22-narrow,3.0,True,wrinkled-s3001-orientation_22-narrow__stress_3,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,narrow,1.1438453477629455e-14,5.784777697930552e-15,3.813452774226458e-15,1.0,True,True,True,True
