case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,high256_to_high512_output_relative_l2,matched_residual_256_to_512_relative_l2,output_convergence_gate_met,matched_residual_convergence_gate_met
smooth-s1871-orientation_22-wide,1.0,True,smooth-s1871-orientation_22-wide__stress_1,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,2.3335180778405303e-05,0.002755680779456764,True,True
smooth-s1871-orientation_22-wide,3.0,True,smooth-s1871-orientation_22-wide__stress_3,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,2.3642348629231923e-05,0.00259006954453148,True,True
smooth-s1871-orientation_22-wide,10.0,True,smooth-s1871-orientation_22-wide__stress_10,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,2.461643654495446e-05,0.0018632674161581666,True,True
smooth-s1871-orientation_58-narrow,1.0,True,smooth-s1871-orientation_58-narrow__stress_1,smooth-s1871,smooth-s1871,smooth,orientation_58,narrow,8.146670543203282e-06,0.00742554114019258,True,True
smooth-s1871-orientation_58-narrow,3.0,True,smooth-s1871-orientation_58-narrow__stress_3,smooth-s1871,smooth-s1871,smooth,orientation_58,narrow,8.019359424158182e-06,0.00720731281582871,True,True
smooth-s1871-orientation_58-narrow,10.0,True,smooth-s1871-orientation_58-narrow__stress_10,smooth-s1871,smooth-s1871,smooth,orientation_58,narrow,9.23728421455897e-06,0.006746317353083891,True,True
smooth-s1871-orientation_58-wide,1.0,False,smooth-s1871-orientation_58-wide__stress_1,smooth-s1871,smooth-s1871,smooth,orientation_58,wide,2.4244305875596224e-05,0.026684363466695216,True,False
smooth-s1871-orientation_58-wide,3.0,False,smooth-s1871-orientation_58-wide__stress_3,smooth-s1871,smooth-s1871,smooth,orientation_58,wide,2.531673944486731e-05,0.02635640125410006,True,False
smooth-s1871-orientation_58-wide,10.0,False,smooth-s1871-orientation_58-wide__stress_10,smooth-s1871,smooth-s1871,smooth,orientation_58,wide,2.701996016244764e-05,0.024051876266481052,True,False
smooth-s1987-orientation_22-narrow,1.0,False,smooth-s1987-orientation_22-narrow__stress_1,smooth-s1987,smooth-s1987,smooth,orientation_22,narrow,1.7151412205417944e-05,0.010605200039831552,True,False
