case_id,case_index,family,active_views,relative_noise,objective_id,method,beta,iterations,field_relative_l2,gradient_relative_l2,weighted_residual_relative_l2,heldout_clean_relative_l2,solve_wall_seconds,forward_calls,adjoint_calls,evaluator_forward_calls,q_a_positive_support_fraction,data_dual_step,edge_dual_step,scalar_primal_step,primal_step_min_positive,primal_step_max,frozen_supported_count,support_voxel_count,certificate_content_sha256,metric_content_sha256,scalar_endpoint_field_difference_relative_l2,final_primal_update_norm,maximum_resident_set_bytes
dev-5v-thin,1,thin_front,5,0.05,huber_gradient_1e-3,beta_075,0.75,20,0.9798790216445923,1.042264461517334,0.6654159426689148,0.8815780282020569,0.10528354195412248,20,20,1,0.6241481481481481,0.019061729016860905,0.0020486621737026956,0.0018313508461876933,0.0018313508461876933,0.002416310425808712,0,27000,51c4cd25676f7dc6504d6414972eaabe9a69bdd6bb494ba1a65b0d5c1918d080,5346225bc0b4f9c1c4b8ab262467994a102deed65a29000a3ca48bb31fc03544,0.05634339898824692,1.3412612676620483,397082624
dev-5v-thin,1,thin_front,5,0.05,huber_gradient_1e-3,beta_100,1.0,20,0.979552686214447,1.0443090200424194,0.6605653166770935,0.8796637654304504,0.1059702499769628,20,20,1,0.6241481481481481,0.019061729016860905,0.0020486621737026956,0.0018313508461876933,0.0018313508461876933,0.002704234069287559,0,27000,67ca68495b007ff84febe663bb52c1fe728b97138b0a336bba711c3a9c07507d,6b61aaf9e9acef71c6957face5329504ee6b286c58c45481d37561043f47441e,0.07669451832771301,1.3625280857086182,397312000
dev-6v-annular,2,annular_kernel,6,0.03,huber_gradient_1e-3,scalar_reference,,20,0.9865490198135376,0.9966655969619751,0.5512087345123291,0.9031175971031189,0.09888066595885903,20,20,1,0.6181851851851852,0.018952979080123746,0.0020486621737026956,0.0018303316556376327,0.0018303316556376327,0.0018303316556376327,0,27000,,,0.0,1.3041367530822754,408010752
dev-6v-annular,2,annular_kernel,6,0.03,huber_gradient_1e-3,beta_000,0.0,20,0.9865490198135376,0.9966655969619751,0.5512086749076843,0.9031175971031189,0.10366391600109637,20,20,1,0.6181851851851852,0.018952979080123746,0.0020486621737026956,0.0018303316556376327,0.0018303316556376327,0.0018303316556376327,0,27000,811b8428342ae3f9cc44eb50717224244d94db7df2d7d889e9cdeac5bd92077c,11d544b2e0dfea9517c5e6a047e74dfa3fb876c9a6d2125574b378300e988654,4.297166356082016e-08,1.3041367530822754,408010752
dev-6v-annular,2,annular_kernel,6,0.03,huber_gradient_1e-3,beta_025,0.25,20,0.9863818287849426,0.9968839883804321,0.5468557476997375,0.901923656463623,0.10049854207318276,20,20,1,0.6181851851851852,0.018952979080123746,0.0020486621737026956,0.0018303316556376327,0.0018303316556376327,0.0019912011924007812,0,27000,7f70af3777feacedd44f94050047674a169872acdd29e51d7a0f68d81ed144f2,f75874d11051adf21a1dd3a12d696e9b62728c28e5148943aca9f338f81ea0f5,0.0159623920917511,1.3194680213928223,408010752
dev-6v-annular,2,annular_kernel,6,0.03,huber_gradient_1e-3,beta_050,0.5,20,0.986210823059082,0.9971180558204651,0.5424635410308838,0.9007025957107544,0.10398125008214265,20,20,1,0.6181851851851852,0.018952979080123746,0.0020486621737026956,0.0018303316556376327,0.0018303316556376327,0.0021830735384709616,0,27000,2082c446727d4403c54680ee029e57ebe3c52920e6aee7586db1d4fddaa960e0,f9e8d1d6629ff92b8d6ee828e80f1f3c144bcbbeb979259308791ba22b392a9a,0.03249474987387657,1.335165023803711,408010752
dev-6v-annular,2,annular_kernel,6,0.03,huber_gradient_1e-3,beta_075,0.75,20,0.9860358238220215,0.9973690509796143,0.5380357503890991,0.8994536399841309,0.10507558297831565,20,20,1,0.6181851851851852,0.018952979080123746,0.0020486621737026956,0.0018303316556376327,0.0018303316556376327,0.002415866694832772,0,27000,9e7c41697ef2c6b988bc9e057bac8e7aae9371d74ea934d8621d83989430225b,96b471e7f4ecc60fdadd6f0cae2e2e2264ca1daa73d58da41b38ff73af90a172,0.04963434115052223,1.351243495941162,408010752
dev-6v-annular,2,annular_kernel,6,0.03,huber_gradient_1e-3,beta_100,1.0,20,0.9858567714691162,0.9976385235786438,0.5335768461227417,0.8981761336326599,0.10240120894741267,20,20,1,0.6181851851851852,0.018952979080123746,0.0020486621737026956,0.0018303316556376327,0.0018303316556376327,0.002704234069287559,0,27000,d051eecb8cf610a1d7c85f26315d596ecd7e1913a30da7fc8377c43fe85b006b,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,0.06742290407419205,1.3677197694778442,408027136
dev-7v-shock,3,oblique_shock,7,0.04,huber_gradient_1e-3,scalar_reference,,20,0.974075973033905,1.0601259469985962,0.6130920648574829,0.8792452216148376,0.09979808400385082,20,20,1,0.6525925925925926,0.017014008811578114,0.0020486621737026956,0.0018102078527828546,0.0018102078527828546,0.0018102078527828546,0,27000,,,0.0,1.6667312383651733,419119104
dev-7v-shock,3,oblique_shock,7,0.04,huber_gradient_1e-3,beta_000,0.0,20,0.974075973033905,1.0601259469985962,0.6130920648574829,0.8792452216148376,0.10558924998622388,20,20,1,0.6525925925925926,0.017014008811578114,0.0020486621737026956,0.0018102078527828546,0.0018102078527828546,0.0018102078527828546,0,27000,f361ac82a7066fc769d38b53ec6a38bb4607cccf4265653c6c88094be172c2ec,6690dec4573a4c65b4c6ea1c1d9d1a4dff309f1e0a61a3fe2aa41c7278871ef8,4.5753616007004894e-08,1.6667312383651733,419168256
dev-7v-shock,3,oblique_shock,7,0.04,huber_gradient_1e-3,beta_025,0.25,20,0.9737151265144348,1.0627062320709229,0.6087902784347534,0.8774887323379517,0.10524512501433492,20,20,1,0.6525925925925926,0.017014008811578114,0.0020486621737026956,0.0018102078527828546,0.0018102078527828546,0.0019733024760153137,0,27000,fff7a3cae9494b81bcd4b8144ed87f5f1ba8305d3a5bf69d1f6a575ba9415dd8,203fa460c45575570c82cda8642367f9763750430fa4eb40978728bc2206dbf4,0.017191439867019653,1.6887446641921997,419332096
dev-7v-shock,3,oblique_shock,7,0.04,huber_gradient_1e-3,beta_050,0.5,20,0.9733442068099976,1.0654281377792358,0.6044162511825562,0.8756783604621887,0.1017347500892356,20,20,1,0.6525925925925926,0.017014008811578114,0.0020486621737026956,0.0018102078527828546,0.0018102078527828546,0.0021686958576453345,0,27000,caab5571614e1b9e25c3013f8c3af4eeb226538f3ed9a4d5a976a743ae5f25e3,8cf789c49cd407e3a137e43e846b207bcf70eb02dbd6de6a11f520dd9301a5f0,0.03506074473261833,1.711401343345642,419332096
dev-7v-shock,3,oblique_shock,7,0.04,huber_gradient_1e-3,beta_075,0.75,20,0.9729630351066589,1.0683026313781738,0.5999700427055359,0.8738113641738892,0.105785291059874,20,20,1,0.6525925925925926,0.017014008811578114,0.0020486621737026956,0.0018102078527828546,0.0018102078527828546,0.002407036962199304,0,27000,670a4e69c26c368d7c2070cccb7354772792a2a20afc8eff56ab8ebe4ccf6998,722d57c5d38ed7651784db85f3c5325a3d110d1527197251649116d32a54f828,0.05365712195634842,1.734737753868103,419332096
dev-7v-shock,3,oblique_shock,7,0.04,huber_gradient_1e-3,beta_100,1.0,20,0.972571074962616,1.071341872215271,0.5954522490501404,0.871884822845459,0.09930570796132088,20,20,1,0.6525925925925926,0.017014008811578114,0.0020486621737026956,0.0018102078527828546,0.0018102078527828546,0.002704234069287559,0,27000,d8537ddf1fc1a38436eaeddcc0ba39f0f552e3c257ccbfe9a163f45d94edf02f,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,0.073036327958107,1.758793592453003,419332096
dev-8v-vortex,4,vortex_pair,8,0.06,huber_gradient_1e-3,scalar_reference,,20,0.9662756323814392,1.0662591457366943,0.612899661064148,0.8984161019325256,0.10350220801774412,20,20,1,0.6504074074074074,0.016613189665432418,0.0020486621737026956,0.0018055263437972036,0.0018055263437972036,0.0018055263437972036,0,27000,,,0.0,1.9012527465820312,422952960
dev-8v-vortex,4,vortex_pair,8,0.06,huber_gradient_1e-3,beta_000,0.0,20,0.9662756323814392,1.0662591457366943,0.612899661064148,0.8984161019325256,0.10068637505173683,20,20,1,0.6504074074074074,0.016613189665432418,0.0020486621737026956,0.0018055263437972036,0.0018055263437972036,0.0018055263437972036,0,27000,248e125aafdce256652727d3f9c405a8e6a27b0ba53a20a070ab9c708bbe4436,1b30b3c7f8c903a24123784d9892d1bf5ec929be49f6c2e3aa65a4d741b00c2e,4.1721850863041254e-08,1.9012527465820312,422952960
dev-8v-vortex,4,vortex_pair,8,0.06,huber_gradient_1e-3,beta_025,0.25,20,0.9657334089279175,1.06946861743927,0.6070463061332703,0.896710991859436,0.10210462508257478,20,20,1,0.6504074074074074,0.016613189665432418,0.0020486621737026956,0.0018055263437972036,0.0018055263437972036,0.0019691281871400193,0,27000,499db68b2633d470e1f8879e88e4b70fb0bceb337e79dc9eb557a045c293f7cf,f6bbde28d97bc93036dd8c009736166c9dad5693ada91d0adf6003665908e9a6,0.019320424646139145,1.9314945936203003,422952960
dev-8v-vortex,4,vortex_pair,8,0.06,huber_gradient_1e-3,beta_050,0.5,20,0.9651741981506348,1.0728720426559448,0.6010321378707886,0.8949407339096069,0.10201291705016047,20,20,1,0.6504074074074074,0.016613189665432418,0.0020486621737026956,0.0018055263437972036,0.0018055263437972036,0.002165332702697983,0,27000,0e8ec6ad8a03180aba72fc0d80d45112842b8d8285cfdc75d437bef13e2ab511,9cc2921ab354c9de5069615afc51c5ba499613b388c7b67a993b9bb29ff9c474,0.03944627568125725,1.9627375602722168,422969344
dev-8v-vortex,4,vortex_pair,8,0.06,huber_gradient_1e-3,beta_075,0.75,20,0.9645970463752747,1.0764851570129395,0.5948525667190552,0.8931013941764832,0.10461958299856633,20,20,1,0.6504074074074074,0.016613189665432418,0.0020486621737026956,0.0018055263437972036,0.0018055263437972036,0.0024049640307492143,0,27000,04a1433feefc0449698bc18238d042580708fc4caa888d1714ee1c7f940ee0ff,dcbed52b44115b8468a1d1cc48d15458528d772b01c685da1aa01d365a55ba3f,0.060433030128479004,1.9950343370437622,423002112
dev-8v-vortex,4,vortex_pair,8,0.06,huber_gradient_1e-3,beta_100,1.0,20,0.9640011787414551,1.0803247690200806,0.588503360748291,0.8911882638931274,0.1061478330520913,20,20,1,0.6504074074074074,0.016613189665432418,0.0020486621737026956,0.0018055263437972036,0.0018055263437972036,0.002704234069287559,0,27000,c629ed4d4446dee45693bdffb5e0a402a0f065070b9be1ab2c369f45d824d14f,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,0.08234229683876038,2.0284416675567627,423002112
dev-9v-multiplume,5,multi_plume,9,0.02,huber_gradient_1e-3,scalar_reference,,20,0.9669840335845947,1.066476821899414,0.6203723549842834,,0.10095258394721895,20,20,1,0.686,0.015623645248751542,0.0020486621737026956,0.0017930593084772102,0.0017930593084772102,0.0017930593084772102,0,27000,,,0.0,1.8677911758422852,423411712
dev-9v-multiplume,5,multi_plume,9,0.02,huber_gradient_1e-3,beta_000,0.0,20,0.9669840335845947,1.066476821899414,0.6203723549842834,,0.10362595797050744,20,20,1,0.686,0.015623645248751542,0.0020486621737026956,0.0017930593084772102,0.0017930593084772102,0.0017930593084772102,0,27000,4e76fbb123529e933643e6d63a44ce51a92292d7d9e7f113ecd9c38fed4d3432,d2d5cea910780a350e54d2ef461157febaa57248f2949d3d37c3fc09cbcac5fc,4.929307095835611e-08,1.8677910566329956,423411712
dev-9v-multiplume,5,multi_plume,9,0.02,huber_gradient_1e-3,beta_025,0.25,20,0.9664850831031799,1.0694208145141602,0.6152713894844055,,0.10240620898548514,20,20,1,0.686,0.015623645248751542,0.0020486621737026956,0.0017930593084772102,0.0017930593084772102,0.0019579926539676604,0,27000,f66cbd260f80f0bea1742af745035694390ae3f771c665a927852261060a09dc,2dcab1b62ca85ab6008b710b7e5dec6911bddc0e7cb7591c38a35ef5740b7fcf,0.018434684723615646,1.8954921960830688,423428096
dev-9v-multiplume,5,multi_plume,9,0.02,huber_gradient_1e-3,beta_050,0.5,20,0.9659708738327026,1.0725404024124146,0.6100376844406128,,0.10248574998695403,20,20,1,0.686,0.015623645248751542,0.0020486621737026956,0.0017930593084772102,0.0017930593084772102,0.0021563423432461163,0,27000,99c9144c168488894d7bfc6f418734265214bba970a9f163b3172f0a266d59ec,38a72866f3c2e26fc99aaa472c9413ad17c5e274e7cece8163f49792055a37cb,0.037654731422662735,1.9241410493850708,423428096
dev-9v-multiplume,5,multi_plume,9,0.02,huber_gradient_1e-3,beta_075,0.75,20,0.9654409885406494,1.075850486755371,0.6046671867370605,,0.10162841598503292,20,20,1,0.686,0.015623645248751542,0.0020486621737026956,0.0017930593084772102,0.0017930593084772102,0.002399408602904302,0,27000,90516e2da2a945e244656f6622c50c3cb992a78a00b27cc864a83d60f69910a2,ae588217a0e175cd129599be082b73744a38722c5f92b89ff5257b4d57361f1b,0.05772048979997635,1.9537962675094604,423428096
dev-9v-multiplume,5,multi_plume,9,0.02,huber_gradient_1e-3,beta_100,1.0,20,0.9648948907852173,1.079367995262146,0.5991554856300354,,0.10294299991801381,20,20,1,0.686,0.015623645248751542,0.0020486621737026956,0.0017930593084772102,0.0017930593084772102,0.002704234069287559,0,27000,f36fcc4fc18c11f6e7e81bca575ee969829473eade39a04a3131c8f27bb3f2e1,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,0.07870030403137207,1.9845232963562012,423428096
