partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,coefficient_evaluator_forward_calls,coefficient_evaluator_adjoint_calls,frozen_source_candidate_id,evaluator_search_forward_calls,evaluator_search_adjoint_calls,evaluator_search_unique_evaluations,high_order_teacher_setup_seconds
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,frozen_global_pca_rank4_probe_tax_oracle,0.6994685809030805,1.097891337197215,0.0016725145068143795,0.004305659030445875,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0041411659913137555,0.0010389999952167273,0.0028416659915819764,0.00802183197811246,0.4488528178898167,0.4488528178898167,True,0.7835712657718,,,adjlr_camera_r4_tl21em02_a1e00_s1p0,,,,
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,truth_conditioned_finite_k_oracle_search,0.6999407971501883,1.0765132469431398,0.002180241269780564,0.005807543719595216,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0041411659913137555,0.0010389999952167273,0.002965209016110748,0.00814537500264123,0.4488528178898166,0.4488528178898167,,,,,,2820,2820,282,
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,exact_mismatch_refine12_oracle,0.6905305800637292,1.0830954861469029,0.0018840412911906577,0.006377697246536571,False,,True,True,,12,12,1,0,0,12,12,25,24,0,0,0.0041411659913137555,0.0,0.0034127089893445373,0.007553874980658293,,,,,,,,,,,
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,exact_mismatch_oracle,0.6910340296458255,1.083525096239579,0.0018849153420708654,0.009236345229741667,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0041411659913137555,0.0010389999952167273,0.0028914170106872916,0.008071582997217774,,,,,,,,,,,
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,high_order_teacher_b0p75,0.7013340530950425,1.0708646556874608,0.002170441701095883,0.004186853506781757,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.0041411659913137555,0.0010389999952167273,0.0029970830073580146,0.008177248993888497,,,,,,,,,,,0.0001638340181671083
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,low_cgls24_matched,0.5368872486310251,1.134881155338455,0.016760879449403784,0.0017456404550208722,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.007481208012904972,0.007481208012904972,,,,,,,,,,,
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,component_damping,0.5239194487423532,0.9870292178711614,0.01782578542582225,0.003094096086806406,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.003856374998576939,0.0,0.003669374971650541,0.00752574997022748,,,,,,,,,,,
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,krylov_schedule_damping_anchor,0.5238337697158999,0.9869238450664808,0.017831184685827183,0.0037461752475916725,False,,True,False,4,12,12,1,2,2,10,10,25,24,0,0,0.003856374998576939,0.0006684159743599594,0.0028643750119954348,0.007389165984932333,,,,,,,,,,,
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,measurement_projection_oracle,0.5213968840709435,1.0244983392733895,0.017463041876120376,0.0021309727130260983,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003856374998576939,0.0006684159743599594,0.003018332994543016,0.007543123967479914,0.5397925220101544,0.5397925220101544,True,0.8543916360654357,0,0,,,,,
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjoint_projection_oracle,0.5216809354330465,1.0203745663720605,0.01750293555379747,0.0021165914086153123,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003856374998576939,0.0006684159743599594,0.0029014580068178475,0.007426248979754746,0.5029886844845329,0.5397925220101544,False,0.9110423997459345,0,5,,,,,
