method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,projection_closure_relative_error_mean,projection_closure_relative_error_maximum,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,43,development,affine_pcg_dense_exact_camera_block_oracle,6,12,20,0.0,0.379715266353622,0.6852915162144635,0.4084708927125997,0.3239650540473906,2.054408534260393,0.017136568999220097,0.03199516289442877,0.017136568999220097,6.093997428505729e-16,8.033834572625747e-16,0.02459247613205033,1.000124346325118,1.0,0.08333333333333333,-0.05908021671153904,0.0
jacru_m2,43,development,affine_pcg_dense_exact_camera_block_oracle,7,12,21,0.0,0.3796392525932141,0.685376614919201,0.40543677319518157,0.32587842009737855,1.6974918682151063,0.010852638671963217,0.021202229133796248,0.010852638671963214,6.019171991410097e-16,8.346804448430394e-16,0.014693241532391548,1.0005404662965536,1.0,0.08333333333333333,-0.0582608925562041,0.0
jacru_m2,43,development,affine_pcg_dense_exact_camera_block_oracle,8,12,22,0.0,0.3797308813428804,0.6855281075651988,0.4022558164775927,0.3271000837735666,1.2635132727077953,0.006261300973396462,0.011408057789578641,0.006261300973396459,6.277471267390842e-16,8.078774994774363e-16,0.008047661369844498,1.00017299377108,1.0,0.08333333333333333,-0.0589708884480162,0.0
jacru_m2,43,development,affine_pcg_dense_exact_camera_block_oracle,9,12,23,0.0,0.3797725213614473,0.6855673669997387,0.3992601935077036,0.3279104476120302,0.8414539506739724,0.0032669569789016365,0.00589877480957854,0.0032669569789016595,6.28050809624739e-16,7.899630203181305e-16,0.0045920214210447355,0.9999838766781576,1.0,0.08333333333333333,-0.06007938912389297,0.0
jacru_m2,43,development,affine_pcg_dense_exact_camera_block_oracle,10,12,24,0.0,0.37976426406091773,0.6855717188698979,0.3964394080985562,0.32832315455395716,0.6262996462461005,0.002046939985148436,0.0038443083584987895,0.002046939985148422,5.933834659443458e-16,7.732507458306549e-16,0.002560357093453536,0.9999944480890289,1.0,0.08333333333333333,-0.061305818760640333,0.0
jacru_m2,43,ood,affine_pcg_dense_exact_camera_block_oracle,0,18,14,0.0,0.4565198337701366,0.7120490963886856,0.30063439744140064,0.2626040398678223,44.31764157420342,1.0,1.0,1.0,0.0,0.0,1.0,0.8372073643086172,1.0,0.0,0.034595472255243676,0.0
jacru_m2,43,ood,affine_pcg_dense_exact_camera_block_oracle,1,18,15,0.0,0.42597224636129394,0.7320272853642179,0.3457384629720083,0.251169018837774,14.944048521686442,0.2900255286261559,0.41479811767724334,0.2900255286261559,6.218671705178732e-16,1.0347676727679787e-15,0.37443774078430586,1.0176301028911778,1.0,0.0,0.16625275043282492,0.0
jacru_m2,43,ood,affine_pcg_dense_exact_camera_block_oracle,2,18,16,0.0,0.4234217027471958,0.7422098494974105,0.34720813108066617,0.2482991176074242,7.628698444057728,0.13466687842376743,0.29329480251483997,0.13466687842376746,6.673349782552328e-16,1.3476431016772437e-15,0.2146052676981301,1.0313281493669029,1.0,0.0,0.1271164085250821,0.0
jacru_m2,43,ood,affine_pcg_dense_exact_camera_block_oracle,3,18,17,0.0,0.4273473683575029,0.7524544084714048,0.33727242904838706,0.24404124272304697,5.985587655466883,0.09210852801535627,0.20429066357079384,0.09210852801535625,6.423466307813916e-16,1.0970794407313016e-15,0.13715704277715873,1.009541533164253,1.0,0.0,0.10616119990779711,0.0
jacru_m2,43,ood,affine_pcg_dense_exact_camera_block_oracle,4,18,18,0.0,0.4293467655075147,0.755608632909402,0.32979799233370294,0.2457348300343422,4.902753725000207,0.05920142440541503,0.1100319017951635,0.05920142440541506,6.453053044059486e-16,1.304515529644981e-15,0.07934093758663635,0.9985818255802802,1.0,0.0,0.1081095429054425,0.0
