method,split,matched_step,total_calls,case_count,field_relative_l2_mean,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean
cgls_matched,ood,8,21,18,0.6622223717740593,1.21528855737058,0.0018782811545616958
cgls_matched,ood,9,22,18,0.6622951163559156,1.2155356291532675,0.0014557431098062385
cgls_matched,ood,10,23,18,0.6623271959448886,1.215680755924022,0.0011349117536918623
cgls_matched,ood,11,24,18,0.6623455645456245,1.2157246389203784,0.0009036744797941762
huber_pdhg_matched,development,1,14,12,0.6591353000465089,0.9642236651717438,0.26193443039356307
huber_pdhg_matched,development,2,15,12,0.6525198734846881,0.9760191441767011,0.23966546027872002
huber_pdhg_matched,development,3,16,12,0.6468003118478595,0.9860287456265565,0.2205379288157047
huber_pdhg_matched,development,4,17,12,0.6417489609362622,0.994296348517416,0.20404745113859415
huber_pdhg_matched,development,5,18,12,0.6372001628137282,1.0009427969580613,0.1897569260385711
huber_pdhg_matched,development,6,19,12,0.6330357951390996,1.0061311839830338,0.17729738527157268
huber_pdhg_matched,development,7,20,12,0.6291728664831105,1.0100424028683976,0.166363599615776
huber_pdhg_matched,development,8,21,12,0.6255534579309678,1.0128582287532513,0.15670686173141143
huber_pdhg_matched,development,9,22,12,0.6221370257939507,1.014750555715165,0.1481262925535323
huber_pdhg_matched,development,10,23,12,0.6188947688689633,1.0158752555111357,0.1404599320407134
huber_pdhg_matched,development,11,24,12,0.6158056112405005,1.016369210784447,0.13357666981588354
huber_pdhg_matched,ood,1,14,18,0.661186803713028,0.968100676637678,0.25517993204675415
huber_pdhg_matched,ood,2,15,18,0.6546261930360961,0.9796007796164824,0.23349130060174708
huber_pdhg_matched,ood,3,16,18,0.6489087293963607,0.9894499697735599,0.21492996743874856
huber_pdhg_matched,ood,4,17,18,0.6438211345394841,0.9976929747996852,0.19899913672433567
huber_pdhg_matched,ood,5,18,18,0.6392085505902709,1.0044337678397721,0.18527161553732943
huber_pdhg_matched,ood,6,19,18,0.6349602600141051,1.0098081679153728,0.17338477096926275
huber_pdhg_matched,ood,7,20,18,0.6309978674777569,1.0139651893089519,0.1630340436933121
