method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
ridge_global,Ridge + one global Landweber step,test_iid,32,4,0.14163791038914053,0.09820367915516731,0.24783298690050604,0.22228557973120167,0.0268212545072278,0.027611982055975627,0.4359091525789356,0.0,0.0
ridge_quadratic,Ridge + quadratic step then projection,test_iid,32,4,0.1374653025126299,0.09717925727992173,0.23589438292144504,0.20807067539147722,0.02531506598036389,0.026751720910998103,0.4427257731910129,0.0,0.0
ridge_lookup,Ridge + validation-tuned spectral lookup,test_iid,32,4,0.13976549575057778,0.09785428346968252,0.2406806817672768,0.21456013684953645,0.02612007974953867,0.02731381341866498,0.439214463753261,0.0,0.0
locked_fno_raw,Locked FNO (raw),test_joint_ood,32,4,0.6077557383589332,0.6061228548123729,0.6631841686750272,0.7572551496586504,0.26821750190383875,0.2616954023419268,0.15332868884199558,0.15120501598509212,0.014430999755859375
feasible_fno,FNO + hard support,test_joint_ood,32,4,0.5955741837879216,0.5925259052491009,0.6478047383513648,0.7572278486937778,0.29309545615224275,0.2856538567638133,0.0,0.0,0.0
ridge_raw,Tuned ridge (unwindowed),test_joint_ood,32,4,0.7467866342001379,0.7489713254288531,0.7755989767492001,0.878761826854505,0.022705840835688315,0.09863407474037973,0.697749216228807,0.44200880410098087,0.5767974853515625
feasible_ridge,Tuned ridge + hard support,test_joint_ood,32,4,0.6232404829691662,0.6246916253086418,0.6660672907830233,0.7923022954369834,0.34704436457242016,0.3401770088163506,0.0,0.0,0.0
fno_geometry,FNO + geometry-normalized Landweber,test_joint_ood,32,4,0.4620644894388974,0.4577988898556036,0.510965768644612,0.5825339696861479,0.08448300188835434,0.08109420365397454,0.37153029049278896,0.0,0.0
fno_global,FNO + one global Landweber step,test_joint_ood,32,4,0.4628301348313738,0.45853349807380606,0.5119089756813296,0.5838010979113023,0.08466077495124281,0.08124204088686052,0.370115806178624,0.0,0.0
fno_quadratic,FNO + quadratic step then projection,test_joint_ood,32,4,0.4466619014705423,0.4449498219545974,0.4927943998521417,0.556877144679325,0.08119685497547721,0.0784324642572162,0.399550090808517,0.0,0.0
fno_lookup,FNO + validation-tuned spectral lookup,test_joint_ood,32,4,0.4620644894388974,0.4577988898556036,0.510965768644612,0.5825339696861479,0.08448300188835434,0.08109420365397454,0.37153029049278896,0.0,0.0
ridge_geometry,Ridge + geometry-normalized Landweber,test_joint_ood,32,4,0.46090264525693997,0.4608885817942514,0.5080467957884383,0.5837959465958535,0.08409362631857693,0.08071481645124846,0.6279679850108044,0.0,0.0
ridge_global,Ridge + one global Landweber step,test_joint_ood,32,4,0.46163980320912135,0.4616307096536843,0.5089483227318258,0.585034682059445,0.08426105189983493,0.08084979217681651,0.626580319155702,0.0,0.0
ridge_quadratic,Ridge + quadratic step then projection,test_joint_ood,32,4,0.44475139397130947,0.44767787731784087,0.4881737191878548,0.5565552243100362,0.08074693894884444,0.07805046502109858,0.6598125718253423,0.0,0.0
ridge_lookup,Ridge + validation-tuned spectral lookup,test_joint_ood,32,4,0.46090264525693997,0.4608885817942514,0.5080467957884383,0.5837959465958535,0.08409362631857693,0.08071481645124846,0.6279679850108044,0.0,0.0
locked_fno_raw,Locked FNO (raw),test_noise_ood,32,4,0.2575838694048413,0.2147148894555363,0.37977654919945864,0.34530712598189967,0.1695597137627306,0.15818802291539213,0.07247173764779798,0.07157313458744469,0.1058197021484375
feasible_fno,FNO + hard support,test_noise_ood,32,4,0.2477908013924749,0.20830987350754904,0.36959209820278943,0.3455960092649074,0.18035928083764546,0.16662810019673105,0.0,0.0,0.0
ridge_raw,Tuned ridge (unwindowed),test_noise_ood,32,4,0.5790381573434631,0.5807638809542324,0.6246101643056734,0.49619805862049293,0.019840387414515537,0.09634539615415089,0.582830759564575,0.3919807098470178,0.6337089538574219
feasible_ridge,Tuned ridge + hard support,test_noise_ood,32,4,0.3627825675351979,0.3597307187010428,0.4338911545312844,0.44634474075712627,0.2924624774377471,0.2834124506674253,0.0,0.0,0.0
fno_geometry,FNO + geometry-normalized Landweber,test_noise_ood,32,4,0.1846225385878341,0.15117041929348007,0.29492707981751415,0.23357804321306944,0.06873404896933685,0.07045960639677007,0.20328048157471887,0.0,0.0
