cluster_id,family,field_harm_over_two_percent_replicate_rate,gradient_harm_over_two_percent_replicate_rate,maximum_active_residual_ratio,maximum_heldout_b_ratio,mean_active_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_ratio,replicate_count,split,worst_replicate_field_gain_percent,worst_replicate_gradient_gain_percent
lockbox_exact_operator_control-cluster-010,plume,0.0,0.0,1.0404949115266597,0.9585773224730854,1.0167393276924135,3.490446570539513,5.90233484841198,7.796461099920586,0.9434356805232142,4,lockbox_exact_operator_control,2.5260486075704,6.2240772135599975
lockbox_exact_operator_control-cluster-011,wavy_front,0.0,0.0,1.057139101765079,0.9191559316891216,1.0346437028568125,4.740841115308637,3.124137496738496,9.27764454068387,0.9091731903835077,4,lockbox_exact_operator_control,4.0317749245901,8.418400738107698
lockbox_family_ood-cluster-000,thin_front,0.0,0.0,1.0271446947917362,0.9572184405679982,1.001807584393128,3.2773461423759227,1.9742545402616019,5.702819617387858,0.9392220665954938,4,lockbox_family_ood,2.431705371984575,4.799134580305127
lockbox_family_ood-cluster-001,double_front,0.0,0.0,0.9990711100728392,0.9683468275602534,0.9871189060933392,4.274249365949807,4.060042061250216,7.964343421247616,0.9349645715309031,4,lockbox_family_ood,2.735447021863862,6.003955927442043
lockbox_family_ood-cluster-002,thin_front,0.0,0.0,1.0897863955884495,0.9468167819782182,1.047244210991476,5.154634342389272,2.376317435383954,9.235887524213014,0.9250338896527327,4,lockbox_family_ood,4.206489754560789,8.204391595233016
lockbox_family_ood-cluster-003,double_front,0.0,0.0,1.0055352155551622,0.9437686422651962,0.9777850696337983,4.7658425199105885,4.9790466263570465,8.581514414598791,0.9178386182465563,4,lockbox_family_ood,3.4980933954324116,6.859424484162322
lockbox_family_ood-cluster-004,thin_front,0.0,0.0,1.0453936156163801,0.9541469276333405,1.025693804184808,3.7661805122897305,1.3261115636574163,6.843381250737955,0.9462962858595251,4,lockbox_family_ood,3.289192432121778,6.211481133507238
lockbox_family_ood-cluster-005,double_front,0.0,0.0,1.0032128302345473,0.963090112405588,0.9883010525439989,3.0026503140296894,4.108663182832106,8.402825043008939,0.9330700993696623,4,lockbox_family_ood,2.035648892187409,6.814123107525694
lockbox_family_ood-cluster-006,thin_front,0.0,0.0,1.0172330164918175,0.9813010491071611,1.0073786581034598,4.390505694636249,3.95598741588973,8.222715975910504,0.9310058844861457,4,lockbox_family_ood,2.327473815245793,5.71161333792411
lockbox_family_ood-cluster-007,double_front,0.0,0.0,1.0102765679024117,0.9233556127495578,0.979723642681728,4.311958933135933,3.749337722655544,8.869767275499822,0.9083151826045108,4,lockbox_family_ood,3.5660598592723134,7.727108056139911
lockbox_family_ood-cluster-008,thin_front,0.0,0.0,1.0100710118675453,0.9430550805352187,1.0010653079267025,4.2054405856191925,3.031549792735726,7.660710724655054,0.9327674119801319,4,lockbox_family_ood,3.7903986143988178,7.310271667984245
lockbox_family_ood-cluster-009,double_front,0.0,0.0,0.995097837360596,0.9301819010735197,0.9771746969166702,3.972566509740694,5.7274925833812835,8.558163938010356,0.920912652113267,4,lockbox_family_ood,3.407158814115288,7.679902580348604
lockbox_family_ood-cluster-010,thin_front,0.0,0.0,1.0493652893325534,0.9624035251225751,1.0342544488742749,4.337654336559028,1.646566041731778,7.355725656195586,0.9339850361903522,4,lockbox_family_ood,2.929606640041865,5.479102649891006
lockbox_family_ood-cluster-011,double_front,0.0,0.0,0.9951260056500624,0.8935685541478815,0.981370792136414,5.016128505314551,5.338770356119854,9.493419975683382,0.8914360366756842,4,lockbox_family_ood,4.411274769380893,8.689406774096108
lockbox_family_ood-cluster-012,thin_front,0.0,0.0,1.023618446413259,0.9718616293006879,1.0004649190014383,3.5088668503570815,2.521069203775769,5.8385193427406525,0.9457662789342398,4,lockbox_family_ood,2.5387206243089007,4.659815024853408
lockbox_family_ood-cluster-013,double_front,0.0,0.0,1.0292338027231565,0.963276008775334,0.9998079600159561,3.7342743398321723,3.430056656072767,8.655539970917811,0.9260224037864037,4,lockbox_family_ood,2.323393878648213,6.293053866187654
lockbox_family_ood-cluster-014,thin_front,0.0,0.0,1.0088429051658558,0.9620489021176054,0.9944668811158093,4.3348713893478275,2.713800661446788,8.200889255396737,0.941866501851209,4,lockbox_family_ood,3.1985613885880215,6.623837051475549
lockbox_family_ood-cluster-015,double_front,0.0,0.0,1.0034664515321472,0.94732562235717,0.9823221741104147,3.977941926491689,7.2721893766237935,9.65669380858349,0.9153223403366726,4,lockbox_family_ood,3.531350776991793,8.722061788761566
lockbox_family_ood-cluster-016,thin_front,0.0,0.0,1.0436217765611995,0.9417428853816949,1.0171813229028113,4.834274394729649,2.5845299575132534,8.38283729516779,0.9191647451361942,4,lockbox_family_ood,3.5177542530587633,6.797780088734139
lockbox_family_ood-cluster-017,double_front,0.0,0.0,1.0231245057981524,0.9478915737125351,0.9930126852036751,2.039070126204242,4.404148835015088,7.6613570243089795,0.9410369013561755,4,lockbox_family_ood,1.8016568056969808,7.010126389670916
lockbox_family_ood-cluster-018,thin_front,0.0,0.0,1.0772502936470496,0.9437617940111184,1.0533704865356226,3.7623137871534373,2.0071646888439787,7.396419986788869,0.9220749852178124,4,lockbox_family_ood,2.7562492658740756,6.237706840861107
lockbox_family_ood-cluster-019,double_front,0.0,0.0,1.019257549715816,0.9150275840506424,1.0059550856063464,4.403848618181727,4.996419985217266,8.3266323099386,0.8945488844292481,4,lockbox_family_ood,3.709005177481516,7.2265423645072575
lockbox_family_ood-cluster-020,thin_front,0.0,0.0,0.9965760299577472,0.9143379183227589,0.9854976640786981,4.940621195932367,2.508565274895016,8.604734232072797,0.9035751747944955,4,lockbox_family_ood,4.591448976708812,8.269293473243655
lockbox_family_ood-cluster-021,double_front,0.0,0.0,1.0094101261429973,0.9598717675604114,0.9938720991765002,3.530559329467072,3.797986445047411,7.793577770076694,0.9322235485070782,4,lockbox_family_ood,2.5385707139741243,6.138057252336086
lockbox_family_ood-cluster-022,thin_front,0.0,0.0,1.082909306962462,0.9760238318311067,1.0353052614443645,4.248091864345459,2.409378448165714,7.42278180171489,0.920891046283543,4,lockbox_family_ood,2.714135100228131,5.574917430746036
lockbox_family_ood-cluster-023,double_front,0.0,0.0,0.9963975570871972,0.9354579047939907,0.9840279467640268,4.108984859611042,5.568990050039451,9.898146445688875,0.9047742062447763,4,lockbox_family_ood,3.701361557039504,8.992847287915705
lockbox_iid-cluster-000,plume,0.0,0.0,1.0623844582855146,0.9750852562884865,1.0306421856881047,2.387309655833267,0.5493934282306763,6.211365880688051,0.9708226910866546,4,lockbox_iid,1.8563569731101959,5.251810439554677
lockbox_iid-cluster-001,wavy_front,0.0,0.0,1.0656535269522636,0.9808801715354686,1.0317777625773852,3.82783071732194,2.523272429933761,7.612102569339305,0.9441674765891347,4,lockbox_iid,2.178422343620747,5.563039683463284
lockbox_iid-cluster-002,plume,0.0,0.0,1.0259516098729307,0.9518041541306723,1.0131666974543072,3.6990003980032595,4.899121431431206,7.609772318316937,0.9426393224872422,4,lockbox_iid,3.588923883822336,7.346621688772228
