candidate_id,method,model_seed,case_id,split,family,base_seed,uses_truth,uses_exact_nuisance,raw_field_relative_l2,candidate_field_relative_l2,field_gain_to_raw,raw_h1_seminorm_relative_error,candidate_h1_seminorm_relative_error,h1_gain_to_raw,field_harm_vs_raw
unpaired_exact_covariance_sensor_oracle,jacru_m2,43,b68a57ff53cf5cbd1d8c,ood,two_interface,3181,False,True,0.6181816449677765,0.47778814750917725,0.22710719187710182,0.8438796153238299,0.798298800651466,0.05401340883779117,False
paired_structured_truth_residual_oracle,jacru_m2,43,b68a57ff53cf5cbd1d8c,ood,two_interface,3181,True,False,0.6181816449677765,0.5210041872355924,0.1571988727314115,0.8438796153238299,0.7746343248665789,0.08205588711925323,False
paired_isotropic_sensor,jacru_m2,43,0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,False,False,0.29821105596375796,0.2806585741798916,0.058859259014191444,0.5177087683681851,0.5330097249534551,-0.0295551428141704,False
paired_structured_sensor,jacru_m2,43,0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,False,False,0.29821105596375796,0.280692822528927,0.05874441300714203,0.5177087683681851,0.5330678944674606,-0.029667502344392097,False
unpaired_isotropic_sensor,jacru_m2,43,0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,False,False,0.29821105596375796,0.28344300241910114,0.049522153016525336,0.5177087683681851,0.5404398973770007,-0.04390717406711877,False
unpaired_structured_sensor,jacru_m2,43,0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,False,False,0.29821105596375796,0.2833694313819378,0.04976886096276682,0.5177087683681851,0.532762291800469,-0.029077203926316426,False
paired_exact_mean_iid_sensor_oracle,jacru_m2,43,0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,False,True,0.29821105596375796,0.2806573542716567,0.05886334976874422,0.5177087683681851,0.5330258919747727,-0.029586370837154305,False
unpaired_exact_covariance_sensor_oracle,jacru_m2,43,0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,False,True,0.29821105596375796,0.2834053726022848,0.049648338200017975,0.5177087683681851,0.5328612591083268,-0.02926836798206499,False
paired_structured_truth_residual_oracle,jacru_m2,43,0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,True,False,0.29821105596375796,0.29105689626186465,0.023990256426853505,0.5177087683681851,0.512791662966744,0.00949782136574539,False
paired_isotropic_sensor,jacru_m2,43,2aa10b47cf2ae3da6dfc,ood,single_interface,3191,False,False,0.40528522893427055,0.347910708379228,0.14156578246365745,0.6387016808375049,0.6138116858627279,0.03896967194784842,False
