method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,29,development,cg_damped_1e-6,4,12,18,1e-06,0.3620529909256856,0.6473701581377022,0.43920916869376253,0.35476552647387677,13.67209074693634,0.15645783276851,0.3123802716564323,0.15645783271671895,0.10665672824652879,1.0705256515941646,1.0,0.0,0.04804147681703209,0.0
jacru_m2,29,development,cg_damped_1e-6,8,12,22,1e-06,0.3742060100632192,0.6692934975873458,0.40881658517311026,0.34248177775599076,20.02695875785692,0.07142477403335241,0.12966727915719461,0.07142477382760325,0.04762047517563403,1.0142163232952248,1.0,0.08333333333333333,-0.02501237899750279,0.0
jacru_m2,29,development,cg_damped_1e-6,12,12,26,1e-06,0.3773375778138226,0.6749117837544188,0.3927910527035257,0.3379773330471108,31.857210158324794,0.0305415929142404,0.05939462705659131,0.030541592345757335,0.019621372070738826,1.0008337154536922,1.0,0.08333333333333333,-0.041753468362124686,0.0
jacru_m2,29,development,cg_undamped,0,12,14,0.0,0.38973451840310397,0.6211035057667305,0.40602974392562946,0.35756485058989723,36.443129942560894,1.0,1.0,1.0,0.38978745486893346,0.9513022814734581,1.0,0.08333333333333333,-0.09518925959104128,0.0
jacru_m2,29,development,cg_undamped,1,12,15,0.0,0.3642513332959522,0.6260901092813959,0.44224806282529233,0.35999350725040274,20.461080231679023,0.4540668430819397,0.5321237791938381,0.4540668430819397,0.23035568993746267,1.0687625870229656,1.0,0.0,0.0666045931535211,0.0
jacru_m2,29,development,cg_undamped,2,12,16,0.0,0.3569294068309725,0.635903822565646,0.452337034290073,0.3563337909989059,16.513270746259185,0.29595008604387735,0.47144956616018213,0.29595008604387735,0.17308467100669125,1.0983448174178079,1.0,0.0,0.0939133267288379,0.0
jacru_m2,29,development,cg_undamped,4,12,18,0.0,0.36205326087776407,0.6473709898502478,0.43920875682329846,0.35476469310793185,13.672272438554286,0.1564604396448638,0.31238685615911327,0.1564604396448638,0.1066567282195192,1.0705245675035329,1.0,0.0,0.04804076194350296,0.0
jacru_m2,29,development,cg_undamped,8,12,22,0.0,0.37420716177680124,0.6692960356932759,0.4088148538015422,0.3424792959494158,20.027542144714186,0.07142858654895169,0.12967503774548925,0.07142858654895169,0.04762047486459715,1.0142111955355821,1.0,0.08333333333333333,-0.025018235655867548,0.0
jacru_m2,29,development,cg_undamped,12,12,26,0.0,0.3773392091814692,0.6749152512814777,0.39278855701643933,0.3379739504658561,31.85768979218626,0.030544493439404727,0.05940062585539266,0.030544493439404727,0.01962137073347835,1.0008265555676563,1.0,0.08333333333333333,-0.0417611411955311,0.0
jacru_m2,29,ood,cg_damped_1e-4,0,18,14,0.0001,0.4443226648494217,0.7086580006178906,0.3187803049014843,0.2679683978861932,38.833373304463976,1.0,1.0,1.0,0.4062682057675287,0.9087171000714217,1.0,0.0,0.09597165820716488,0.0
jacru_m2,29,ood,cg_damped_1e-4,1,18,15,0.0001,0.4182940795704806,0.7013039540119811,0.35571197733657356,0.28375477037457375,21.033390301741967,0.4574898461429416,0.5730530222600583,0.45748980034276365,0.24955750325961443,1.0273786296759053,1.0,0.0,0.17284403578900998,0.0
