case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,reference_kind
c12970cf110f1be99b82,ood,smooth_no_interface,3109,pooled_cnn,17,0.3391360407906366,0.04221495538513814,0.039326751546265824,0.006251124439196433,0.6108061545561803,0.18590531162262633,0.18622481251159978,,,13,13,1,1,0.0,raw_learned
c12970cf110f1be99b82,ood,smooth_no_interface,3109,pooled_cnn,17,0.33311186588655795,0.041465078509135604,0.03862817869870991,0.00582431992351644,0.6614350502596745,0.006856080400040651,0.019034594687077272,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
c574fbda17385d89b138,ood,single_interface,3109,pooled_cnn,17,0.5153757048722764,0.05881578046816785,0.05953322064520767,0.004221513158503638,0.7634104578328228,0.2254164685252101,0.224385031483358,,,13,13,1,1,0.0,raw_learned
c574fbda17385d89b138,ood,single_interface,3109,pooled_cnn,17,0.4926958303994212,0.05622750456491852,0.05691337271983308,0.002627790594984817,0.8077540050901348,0.012924314470834466,0.025124669474042738,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
49ed9e07a52fd9932a2e,ood,two_interface,3109,pooled_cnn,17,0.4925022496659869,0.02927507336427701,0.07510512109162837,-0.0025567952980904813,0.7968791540011954,0.30247383823301066,0.3037001919624288,,,13,13,1,1,0.0,raw_learned
49ed9e07a52fd9932a2e,ood,two_interface,3109,pooled_cnn,17,0.43083776684768504,0.02560964389730445,0.06570147176360573,-0.002567843557627098,0.7850879187384845,0.013212687103404758,0.027958406475147596,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,pooled_cnn,17,0.3137360454842717,0.03074958607426034,0.037030164946601274,0.0030551492031593713,0.5530075996592901,0.21499295383407419,0.2157646338918277,,,13,13,1,1,0.0,raw_learned
b65d04062647ff4a96cf,ood,smooth_no_interface,3121,pooled_cnn,17,0.29975979548012927,0.029379759722830454,0.03538055263575101,0.0028066495856510407,0.5852042516553898,0.007811620862335532,0.022733388988328794,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
92c050cb6b32ffd7819e,ood,single_interface,3121,pooled_cnn,17,0.45684046904246156,0.05194577483225243,0.05250033763979791,0.004886574141966221,0.7117194327124249,0.23066687787473736,0.23145537555233067,,,13,13,1,1,0.0,raw_learned
92c050cb6b32ffd7819e,ood,single_interface,3121,pooled_cnn,17,0.4719181214462365,0.053660203368776555,0.05423306907594422,0.0034015393983679765,0.8100334966642762,0.015259216215345704,0.033352294937917006,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
d2bd02757c7386060fa0,ood,two_interface,3121,pooled_cnn,17,0.4730522081830907,0.024110965845759752,0.0647343076944032,-0.0058176010115052615,0.792838657235435,0.43730457702928227,0.43654605805337815,,,13,13,1,1,0.0,raw_learned
