split,candidate_id,replicate,covariance_mode,spatial_exponent,sobolev_strength,sobolev_epsilon,stages,mean_field_gain_percent,field_harm_over_one_percent_rate,mean_gradient_gain_percent,mean_front_f1_gain
opened_diagnostic_check,full_graph_s6_k3,8,full_graph,1.0,6.0,0.05,3,-24.43028729616576,0.75,-18.234885586760484,-0.208536587189883
opened_diagnostic_check,full_graph_s6_k3,9,full_graph,1.0,6.0,0.05,3,-19.69628594971311,1.0,-18.46774975314669,-0.23047183564631268
opened_diagnostic_check,full_graph_s6_k3,10,full_graph,1.0,6.0,0.05,3,-27.283699601049282,1.0,-17.95026363800214,-0.25849499308969826
opened_diagnostic_check,full_graph_s6_k3,11,full_graph,1.0,6.0,0.05,3,-22.32491054310357,1.0,-18.012159574631212,-0.25874825584469363
opened_diagnostic_check,full_graph_s6_k3,12,full_graph,1.0,6.0,0.05,3,-23.60566623969027,0.875,-20.116378808198142,-0.2393805179744959
opened_diagnostic_check,full_graph_s6_k3,13,full_graph,1.0,6.0,0.05,3,-20.267465682502824,0.875,-16.19268350956809,-0.18720588088035583
opened_diagnostic_check,full_graph_s6_k3,14,full_graph,1.0,6.0,0.05,3,-24.287424640391443,0.875,-20.32905789638685,-0.2359381117275916
opened_diagnostic_check,full_graph_s6_k3,15,full_graph,1.0,6.0,0.05,3,-29.495835435943917,1.0,-21.779705001194227,-0.27347710088361055
opened_diagnostic_check,full_graph_s6_k4,8,full_graph,1.0,6.0,0.05,4,-9.530670973633018,1.0,-8.884142916079792,-0.08231708104722202
opened_diagnostic_check,full_graph_s6_k4,9,full_graph,1.0,6.0,0.05,4,-11.393055925360319,1.0,-10.849613608595728,-0.08623444102704525
opened_diagnostic_check,full_graph_s6_k4,10,full_graph,1.0,6.0,0.05,4,-12.421216192392352,1.0,-10.162439097949974,-0.09020229987800121
opened_diagnostic_check,full_graph_s6_k4,11,full_graph,1.0,6.0,0.05,4,-10.400741500782653,1.0,-8.71804623154498,-0.1368486168794334
opened_diagnostic_check,full_graph_s6_k4,12,full_graph,1.0,6.0,0.05,4,-13.073324286180366,1.0,-12.381991531215611,-0.10030488297343254
opened_diagnostic_check,full_graph_s6_k4,13,full_graph,1.0,6.0,0.05,4,-9.459684335792357,1.0,-8.951107612713418,-0.07018952816724777
opened_diagnostic_check,full_graph_s6_k4,14,full_graph,1.0,6.0,0.05,4,-10.268406878085102,0.875,-9.986903969905375,-0.09389353322330862
opened_diagnostic_check,full_graph_s6_k4,15,full_graph,1.0,6.0,0.05,4,-10.226742247613553,1.0,-9.174619007451412,-0.09085366455838084
opened_diagnostic_check,full_graph_s6_k5,8,full_graph,1.0,6.0,0.05,5,-4.424855715742286,0.625,-7.443420398198192,-0.06493902462534606
opened_diagnostic_check,full_graph_s6_k5,9,full_graph,1.0,6.0,0.05,5,-6.759593315526118,0.875,-7.907062602838532,-0.06824663793668151
opened_diagnostic_check,full_graph_s6_k5,10,full_graph,1.0,6.0,0.05,5,-5.695510801744782,0.75,-7.376911385662359,-0.03867793269455433
opened_diagnostic_check,full_graph_s6_k5,11,full_graph,1.0,6.0,0.05,5,-3.59566204843082,0.5,-4.12979041324451,-0.0157604543492198
opened_diagnostic_check,full_graph_s6_k5,12,full_graph,1.0,6.0,0.05,5,-10.655741418742238,0.875,-10.542761518131165,-0.05975609831511974
opened_diagnostic_check,full_graph_s6_k5,13,full_graph,1.0,6.0,0.05,5,-8.836624940450456,0.75,-8.97417813726123,-0.05304877203889191
opened_diagnostic_check,full_graph_s6_k5,14,full_graph,1.0,6.0,0.05,5,-4.572101987625219,0.75,-3.3092506160957313,0.0061350674368441105
opened_diagnostic_check,full_graph_s6_k5,15,full_graph,1.0,6.0,0.05,5,-8.05767706008474,0.625,-7.934049100910726,-0.060374035965651274
opened_diagnostic_check,full_graph_s7_k2,8,full_graph,1.0,7.0,0.05,2,-20.047690640946538,0.875,-11.848771538103726,-0.3131097601726651
opened_diagnostic_check,full_graph_s7_k2,9,full_graph,1.0,7.0,0.05,2,-21.011663586208613,0.875,-13.456487701927017,-0.3325758993742056
opened_diagnostic_check,full_graph_s7_k2,10,full_graph,1.0,7.0,0.05,2,-26.227609858879365,0.875,-15.74595204245235,-0.3298364579677582
opened_diagnostic_check,full_graph_s7_k2,11,full_graph,1.0,7.0,0.05,2,-13.288667274795937,1.0,-8.850162873265488,-0.3090531349298544
opened_diagnostic_check,full_graph_s7_k2,12,full_graph,1.0,7.0,0.05,2,-11.082130561917582,0.75,-5.6155205043578915,-0.30548780696699396
opened_diagnostic_check,full_graph_s7_k2,13,full_graph,1.0,7.0,0.05,2,-26.754407372476248,0.75,-14.394388483613247,-0.3390243819449097
opened_diagnostic_check,full_graph_s7_k2,14,full_graph,1.0,7.0,0.05,2,-17.50088251576593,0.75,-10.84462927615794,-0.26734426483744755
opened_diagnostic_check,full_graph_s7_k2,15,full_graph,1.0,7.0,0.05,2,-23.218007608328683,0.875,-14.732559394195443,-0.3021382358856499
opened_diagnostic_check,full_graph_s7_k3,8,full_graph,1.0,7.0,0.05,3,-41.97874930547676,1.0,-33.875177266417026,-0.31219512643292546
opened_diagnostic_check,full_graph_s7_k3,9,full_graph,1.0,7.0,0.05,3,-35.23305910263804,1.0,-34.038793754583914,-0.3097100466256961
opened_diagnostic_check,full_graph_s7_k3,10,full_graph,1.0,7.0,0.05,3,-46.78193259243838,1.0,-32.316288200798994,-0.32739743357524276
opened_diagnostic_check,full_graph_s7_k3,11,full_graph,1.0,7.0,0.05,3,-35.21750653151592,1.0,-30.124956751882557,-0.3215531347086653
opened_diagnostic_check,full_graph_s7_k3,12,full_graph,1.0,7.0,0.05,3,-37.50944154708803,0.875,-34.328606066724475,-0.31737805157899857
opened_diagnostic_check,full_graph_s7_k3,13,full_graph,1.0,7.0,0.05,3,-32.224549452724204,0.875,-27.252107608140506,-0.30975608818698674
opened_diagnostic_check,full_graph_s7_k3,14,full_graph,1.0,7.0,0.05,3,-35.3469255887766,0.875,-31.440679080662147,-0.22587713249959052
opened_diagnostic_check,full_graph_s7_k3,15,full_graph,1.0,7.0,0.05,3,-45.12756325993821,1.0,-35.713836627941234,-0.321341467439197
opened_diagnostic_check,full_graph_s7_k4,8,full_graph,1.0,7.0,0.05,4,-19.07920797406333,1.0,-18.266976702181807,-0.1560975632746704
opened_diagnostic_check,full_graph_s7_k4,9,full_graph,1.0,7.0,0.05,4,-22.137186292427383,1.0,-20.90203360657971,-0.18048297427594662
opened_diagnostic_check,full_graph_s7_k4,10,full_graph,1.0,7.0,0.05,4,-23.9612617592661,1.0,-19.76822530452748,-0.17473857081495225
opened_diagnostic_check,full_graph_s7_k4,11,full_graph,1.0,7.0,0.05,4,-21.90882757174144,1.0,-18.023901870846753,-0.23466289119096473
