replicate,sample_index,reaction_family,candidate_id,covariance_mode,spatial_exponent,sobolev_strength,sobolev_epsilon,stages,field_relative_l2,gradient_relative_l2,front_top10_f1,solver_elapsed_seconds,solver_elapsed_is_shared_trajectory_total,shared_execution_id,shared_checkpoint_count,forward_calls,adjoint_calls,field_gain_percent,gradient_gain_percent,front_f1_gain
3,2,thin_front,spatial_a0p5_s4_k4,spatial_tempered,0.5,4.0,0.05,4,0.6597827076911926,0.9510490894317627,0.3682926893234253,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,4,4,10.525834208124579,10.40255284921903,0.09024390578269958
3,3,double_front,spatial_a0p5_s4_k4,spatial_tempered,0.5,4.0,0.05,4,0.5721752047538757,0.8709568381309509,0.4414634108543396,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,4,4,22.980550627484003,18.356797281433842,0.18780487775802612
3,4,annular_kernel,spatial_a0p5_s4_k4,spatial_tempered,0.5,4.0,0.05,4,0.9167546629905701,1.0069959163665771,0.353658527135849,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,4,4,-1.3320301665325947,0.6977483142892107,-0.004878044128417969
3,5,oblique_shock,spatial_a0p5_s4_k4,spatial_tempered,0.5,4.0,0.05,4,0.6181396842002869,0.8588923811912537,0.4190012216567993,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,4,4,17.277080771174,17.385772818289695,0.1702207326889038
3,6,vortex_pair,spatial_a0p5_s4_k4,spatial_tempered,0.5,4.0,0.05,4,0.7244477272033691,0.8561128377914429,0.6609756350517273,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,4,4,16.851785708544075,15.496798475326603,0.15121954679489136
3,7,multi_plume,spatial_a0p5_s4_k4,spatial_tempered,0.5,4.0,0.05,4,0.9504681825637817,0.9993936419487,0.353658527135849,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,4,4,8.511980091147167,7.525431682002577,0.11463414132595062
3,0,plume,spatial_a0p5_s4_k5,spatial_tempered,0.5,4.0,0.05,5,0.46035125851631165,0.6828187108039856,0.8365853428840637,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,5,5,20.682367357510348,22.46346256047835,0.1268293261528015
3,1,wavy_front,spatial_a0p5_s4_k5,spatial_tempered,0.5,4.0,0.05,5,0.43819892406463623,0.7297894954681396,0.5268292427062988,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,5,5,35.33430065332802,31.86391744315981,0.30487802624702454
3,2,thin_front,spatial_a0p5_s4_k5,spatial_tempered,0.5,4.0,0.05,5,0.7218731641769409,1.0179588794708252,0.30694276094436646,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,5,5,2.105650209759946,4.099043973061394,0.028893977403640747
3,3,double_front,spatial_a0p5_s4_k5,spatial_tempered,0.5,4.0,0.05,5,0.5283852219581604,0.8271058201789856,0.5414634346961975,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,5,5,28.875039474494983,22.467377038463667,0.28780490159988403
3,4,annular_kernel,spatial_a0p5_s4_k5,spatial_tempered,0.5,4.0,0.05,5,0.9793992638587952,1.0375639200210571,0.3365853726863861,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,5,5,-8.256352279323064,-2.316634905237068,-0.02195119857788086
3,5,oblique_shock,spatial_a0p5_s4_k5,spatial_tempered,0.5,4.0,0.05,5,0.5320687890052795,0.7199001908302307,0.5829268097877502,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,5,5,28.79557067427871,30.755005847278646,0.33414632081985474
3,6,vortex_pair,spatial_a0p5_s4_k5,spatial_tempered,0.5,4.0,0.05,5,0.6871209144592285,0.838160514831543,0.6585366129875183,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,5,5,21.135956544234453,17.268794756599522,0.14878052473068237
3,7,multi_plume,spatial_a0p5_s4_k5,spatial_tempered,0.5,4.0,0.05,5,0.9822914600372314,0.9929031729698181,0.36341461539268494,0.044732000038493425,True,rep03_spatial_tempered_a0p5_s4,4,5,5,5.448806913479498,8.125999157930407,0.12439022958278656
3,0,plume,spatial_a0p5_s5_k2,spatial_tempered,0.5,5.0,0.05,2,0.6768344640731812,0.9088457226753235,0.5780487656593323,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,2,2,-16.617270807853618,-3.2027231942587293,-0.13170725107192993
