partition,base_seed,geometry_digest,family,case_id,candidate_id,kind,beta,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,modeled_continuous_reprojection_relative_l2,raw_low_reprojection_relative_l2,modeled_correction_relative_norm,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only,runtime_seconds
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,damping_curvature_half,damping_curvature,0.5,0.5495832555127369,0.04265137659681964,0.0656343846685806,0.01934651431548104,1.0758331272733592,0.002409434751187099,0.15618162534287502,0.1560758495022769,25,24,0,0,False,0.00388008396839723
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,damping_high_order_b0p25,damping_high_order,0.25,0.549937273433745,0.04267885078115746,0.06567666351928055,0.019450369148552287,1.068728378191884,0.004164105194580843,0.14826436560188064,0.14814294655707053,25,24,1,0,False,0.003444666974246502
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,damping_high_order_b0p5,damping_high_order,0.5,0.54921102873032,0.04262248928171854,0.06558993121120896,0.019391782923083634,1.0768521107271845,0.004420522600188022,0.14089808742249724,0.14079518309198757,25,24,1,0,False,0.0038604160072281957
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,damping_high_order_b0p75,damping_high_order,0.75,0.5489634393002006,0.04260327466788253,0.06556036266134263,0.019333335376497923,1.0860134244032198,0.004584031554768544,0.13446670709890754,0.1343871259927796,25,24,1,0,False,0.003628375008702278
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,damping_high_order_b1p0,damping_high_order,1.0,0.5492199721745318,0.04262318335345985,0.06559099928861446,0.019274719905823537,1.096148688510779,0.004684885402854422,0.1291188906489074,0.12905882676783414,25,24,1,0,False,0.00359466701047495
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,exact_mismatch_oracle,exact_oracle,1.0,0.5454539298225526,0.04233091300311233,0.06514123690970544,0.018751498213616345,1.1209284134190152,0.004018038865869933,0.15484593821234954,0.15474530128865652,25,24,0,0,True,0.0035786660155281425
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,low_cgls25,low_reference,,0.7307789287839055,0.10811102829144878,0.08710687916648431,0.0021532420908065494,1.2165070763735528,0.0006122057328469597,0.0006122057328469597,0.0,25,25,0,0,False,0.00804358400637284
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,direct_high_order_cgls25,direct_high_order_reference,,0.7786790128084733,0.1151973400817469,0.0928164401114555,0.0022829151026589932,1.1982413196385473,0.0007313832364654811,0.1971522511265748,0.0,0,0,25,25,False,0.00782537501072511
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,component_damping_correction,damping,0.0,0.704392513261388,0.10420743665421868,0.08396168953658976,0.002194271801671462,1.0977051984898063,0.0014251771783628817,0.1631627280617473,0.16315721428972046,25,24,0,0,False,0.003562249999959022
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,visible_curvature_correction,curvature,1.0,0.7042149763000627,0.10418117193489987,0.0839405276091879,0.002217114467221797,1.1210131247543966,0.0037134859349160446,0.1963670094903223,0.19640337698732743,25,24,0,0,False,0.0037395830149762332
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,damping_curvature_half,damping_curvature,0.5,0.7032383613058465,0.10403669205581349,0.08382411773344758,0.0022052449554904167,1.1076301708542549,0.002287178211528821,0.1746287592078722,0.17463492216513973,25,24,0,0,False,0.0033824160345830023
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,damping_high_order_b0p25,damping_high_order,0.25,0.7029763135427691,0.10399792485548534,0.08379288234619825,0.0021870082446764118,1.087898585928845,0.0014485982854579296,0.1745538596869907,0.1745708952244986,25,24,1,0,False,0.003451958007644862
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,damping_high_order_b0p5,damping_high_order,0.5,0.7018441664273455,0.10383043564088887,0.08365793346070421,0.0021793832365134044,1.0787767190912487,0.0022903389965963183,0.18674440677684864,0.18679537932878312,25,24,1,0,False,0.003468374954536557
