stage,family,phantom_seed,noise_fraction,candidate_name,base_model_seed,residual_seed,step,train_mean_whitened_mse,development_normalized_mean,development_worst_ratio,all_renderers_consent,development_automatic_whitened_mse,development_central_0_whitened_mse,development_central_1_whitened_mse,development_central_2_whitened_mse
A,smooth_plume,2201,0.02,mgrs_6816,101,307,20.0,8.040057182312012,0.5951131975068814,1.4766442362576653,0.0,9.96771240234375,3.361480951309204,8.727092742919922,9.747262001037598
A,smooth_plume,2201,0.02,mgrs_6816,101,307,40.0,6.420446872711182,0.5839191698061088,1.4141661386356377,0.0,9.882780075073242,3.2192537784576416,9.161602020263672,9.72464370727539
A,smooth_plume,2201,0.02,mgrs_6816,101,307,60.0,5.401381015777588,0.5539829524545395,1.3471525599467955,0.0,9.320043563842773,3.066701889038086,8.684439659118652,9.085136413574219
A,smooth_plume,2201,0.02,mgrs_6816,101,307,80.0,4.593713760375977,0.5258791362775891,1.2983665774686979,0.0,8.75855541229248,2.955643892288208,7.9642333984375,8.461021423339844
A,smooth_plume,2201,0.02,mgrs_6816,101,307,100.0,3.9534215927124023,0.5022438462695571,1.260764763485738,0.0,8.424933433532715,2.8700459003448486,7.154914855957031,8.041471481323242
A,smooth_plume,2201,0.02,mgrs_6816,101,307,120.0,3.4892771244049072,0.48055842039837243,1.226451893318531,0.0,8.180407524108887,2.7919349670410156,6.399463653564453,7.619460105895996
A,smooth_plume,2201,0.02,mgrs_6816,101,307,140.0,3.418836832046509,0.4637910678637639,1.1895982949398045,0.0,8.111703872680664,2.708040237426758,5.953041076660156,7.333797454833984
A,smooth_plume,2201,0.02,mgrs_6816,101,307,160.0,3.0617012977600098,0.44909898834077777,1.1618491733914256,0.0,7.918590068817139,2.644871234893799,5.514623641967773,7.1106438636779785
A,smooth_plume,2201,0.02,mgrs_6816,101,307,180.0,2.9251136779785156,0.4445326587220314,1.1398794518252418,0.0,8.032350540161133,2.5948586463928223,5.494072914123535,7.1851372718811035
A,smooth_plume,2201,0.02,mgrs_6816,101,307,200.0,2.846769094467163,0.4367334744627293,1.1190113164468138,0.0,7.924533843994141,2.547353744506836,5.365791320800781,7.117481231689453
A,smooth_plume,2201,0.02,mgrs_6816,101,307,220.0,2.7610111236572266,0.43042865336097363,1.1011575138379042,0.0,7.879384517669678,2.5067107677459717,5.254230499267578,7.0766730308532715
A,smooth_plume,2201,0.02,mgrs_6816,101,307,240.0,2.6773107051849365,0.4253976238084043,1.0850362115824697,0.0,7.8842854499816895,2.4700117111206055,5.170137405395508,7.06968355178833
A,smooth_plume,2201,0.02,mgrs_56,211,419,20.0,6.858373641967773,0.6090862942334361,0.9975980095281736,1.0,11.069929122924805,4.221038818359375,8.15608024597168,9.99032974243164
A,smooth_plume,2201,0.02,mgrs_56,211,419,40.0,5.606697082519531,0.5650967723364955,0.9027602379857088,1.0,10.055917739868164,3.819761037826538,8.005188941955566,9.292952537536621
A,smooth_plume,2201,0.02,mgrs_56,211,419,60.0,5.035354137420654,0.53855156353149,0.8610395432499154,1.0,9.44354248046875,3.6432323455810547,7.780391216278076,8.730892181396484
A,smooth_plume,2201,0.02,mgrs_56,211,419,80.0,4.817962646484375,0.5188152992078521,0.8353482525558761,1.0,9.057910919189453,3.53452730178833,7.510549545288086,8.290681838989258
A,smooth_plume,2201,0.02,mgrs_56,211,419,100.0,4.610645294189453,0.5212141929444455,0.8288849440478442,1.0,9.026327133178711,3.5071797370910645,7.731741428375244,8.337743759155273
A,smooth_plume,2201,0.02,mgrs_56,211,419,120.0,4.4862165451049805,0.5088116223671848,0.8324475847903539,1.0,8.796801567077637,3.52225399017334,7.332260608673096,7.962153434753418
A,smooth_plume,2201,0.02,mgrs_56,211,419,140.0,4.380362510681152,0.5053791442091747,0.8340482543815421,1.0,8.717880249023438,3.529026746749878,7.228462219238281,7.84751558303833
A,smooth_plume,2201,0.02,mgrs_56,211,419,160.0,4.257221698760986,0.5016081418733198,0.8337131545097219,1.0,8.607190132141113,3.527608871459961,7.141800880432129,7.7473554611206055
