rig_id,block_id,sample_index,family,reconstruction_method,true_aperture_radius,nearest_truth_bank_radius,metadata_aperture_radius,metadata_bank_radius,selected_calibration_radius,radius_changed_from_metadata,calibration_radius_matches_nearest_truth,calibration_fold_deletion_stability,calibration_relative_radius_margin,candidate_reconstruction_kappa,baseline_reconstruction_kappa,oracle_reconstruction_kappa,candidate_field_relative_l2,baseline_field_relative_l2,oracle_field_relative_l2,raw_field_error_reduction_percent,candidate_outer_rms,baseline_outer_rms,outer_error_reductions_percent,minimum_outer_error_reduction_percent,candidate_audit_rms,baseline_audit_rms,raw_audit_error_reduction_percent,decision_uses_truth,decision_uses_audit,route_ge_0p0pct,route_ge_2p0pct
development_rig_a,development_rig_a:radius=0.13500,1,jet_shear,gcv,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.3420383429113896,0.3523464470536487,0.3420383429113896,2.925559269422562,4.3144784224|2.04303876459,5.42054073763|2.09011887444,20.4050180373|2.25250871703,2.2525087170281117,1.4793792599770028,1.4372730413942072,-2.9295907854746273,False,False,True,True
development_rig_a,development_rig_a:radius=0.13500,2,jet_shear,gcv,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.246835577806731,0.2435395502508337,0.246835577806731,-1.35338492351757,6.61805262674|2.74907551448,6.49588905187|2.41202743556,-1.88062902382|-13.9736420057,-13.97364200569842,1.288059886202996,1.3064511988481926,1.4077305498598809,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,3,jet_shear,gcv,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.3467629148093258,0.33524925118701576,0.3467629148093258,-3.434359236163439,5.89864025707|2.66575338056,5.34384834468|2.41613978654,-10.3818798103|-10.3310907512,-10.38187981030923,1.4746419573997191,1.5687966360866163,6.001713448453541,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,4,shock_cell,gcv,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.39036085038296203,0.37735782191818784,0.39036085038296203,-3.445808648851403,4.42685146863|4.59745129477,3.95276348542|3.9389275172,-11.9938363366|-16.7183522594,-16.718352259396035,1.7277009894150142,1.6200797047265214,-6.642962341575647,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,5,shock_cell,gcv,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.2849952129637417,0.27860983969661207,0.2849952129637417,-2.2918692584880986,4.42239773544|5.91251516775,4.66071566799|5.22983743761,5.11333343468|-13.0535172131,-13.053517213057159,1.4149817488437615,1.4491505758128156,2.357852078269307,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,6,shock_cell,gcv,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.2823425480900976,0.27598832204890816,0.2823425480900976,-2.30235322785267,2.31042719368|3.06735655044,2.25190917802|2.60775986279,-2.59859572652|-17.6241951649,-17.62419516490904,1.3776303867799138,1.2678349630602426,-8.660072242735126,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,7,shock_cell,gcv,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.18499308808805248,0.24065023296909327,0.18499308808805248,23.12781674646824,3.59871951744|2.9294525751,4.58533018149|2.41458851122,21.5166765532|-21.3230561432,-21.32305614323844,1.3689685984279067,1.4433696312916855,5.15467633867262,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,0,jet_shear,upre,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.36142227452286413,0.3590608091767349,0.36142227452286413,-0.6576783892242877,10.6741880638|3.21902643684,11.9919199947|2.79106990178,10.9884983515|-15.3330640267,-15.333064026695947,1.5631278690103054,1.7378483545803642,10.053839571764495,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,1,jet_shear,upre,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.3420383429113896,0.3523464470536487,0.3420383429113896,2.925559269422562,4.3144784224|2.04303876459,5.42054073763|2.09011887444,20.4050180373|2.25250871703,2.2525087170281117,1.4793792599770028,1.4372730413942072,-2.9295907854746273,False,False,True,True
development_rig_a,development_rig_a:radius=0.13500,2,jet_shear,upre,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.246835577806731,0.2435395502508337,0.246835577806731,-1.35338492351757,6.61805262674|2.74907551448,6.49588905187|2.41202743556,-1.88062902382|-13.9736420057,-13.97364200569842,1.288059886202996,1.3064511988481926,1.4077305498598809,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,3,jet_shear,upre,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.3467629148093258,0.33524925118701576,0.3467629148093258,-3.434359236163439,5.89864025707|2.66575338056,5.34384834468|2.41613978654,-10.3818798103|-10.3310907512,-10.38187981030923,1.4746419573997191,1.5687966360866163,6.001713448453541,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,4,shock_cell,upre,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.39036085038296203,0.37735782191818784,0.39036085038296203,-3.445808648851403,4.42685146863|4.59745129477,3.95276348542|3.9389275172,-11.9938363366|-16.7183522594,-16.718352259396035,1.7277009894150142,1.6200797047265214,-6.642962341575647,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,5,shock_cell,upre,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.2849952129637417,0.27860983969661207,0.2849952129637417,-2.2918692584880986,4.42239773544|5.91251516775,4.66071566799|5.22983743761,5.11333343468|-13.0535172131,-13.053517213057159,1.4149817488437615,1.4491505758128156,2.357852078269307,False,False,False,False
