method,split,rig_id,family,field_uid,target_view,noisy_whitened_rmse,clean_whitened_rmse
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,1,1.3025187253952026,0.6207476854324341
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,1,1.0344637632369995,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,5,2.7295141220092773,2.4779365062713623
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,5,2.8686273097991943,2.639557123184204
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,5,2.914135456085205,2.404008150100708
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,5,1.1238019466400146,0.5113028883934021
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,5,0.8012799620628357,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,1,3.1213290691375732,2.955353021621704
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,1,3.123554229736328,2.9549427032470703
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,1,3.126896619796753,2.710512161254883
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,1,1.4557135105133057,0.5269761085510254
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,1,1.278875708580017,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,5,2.336395740509033,1.9040038585662842
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,5,2.306950569152832,1.8721156120300293
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,5,2.0739176273345947,1.9451450109481812
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,5,0.8324710130691528,0.4225757122039795
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,5,0.7370770573616028,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,1,2.643048048019409,2.6441149711608887
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,1,2.7757840156555176,2.7828729152679443
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,1,2.5462496280670166,2.376232862472534
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,1,1.030394434928894,0.5375072360038757
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,1,0.8851264119148254,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,5,3.824622392654419,3.5781171321868896
