rig_id,rig_role,budget,method,replicate_count,operator_rmse_relative,operator_mean_relative_l2,operator_p95_relative_l2,operator_worst_relative_l2,operator_bias_relative,bias_to_rmse_standard_error_ratio,forward_action_mean_relative_l2,adjoint_action_mean_relative_l2,normal_action_mean_relative_l2,normal_action_mean_cosine,maximum_internal_adjoint_relative_error,mean_postprocess_seconds
audit_large_aperture,audit,64,antithetic_mc,32,0.04397671072326643,0.04081094198049838,0.0708980597385885,0.08715690078768121,0.015046336137900044,1.9354546786497047,0.04313655307259222,0.03918660947327711,0.05788258737427478,0.9986097392665915,2.714379302490651e-14,0.0
audit_large_aperture,audit,64,scrambled_sobol,32,0.012451826071354432,0.012220273886828953,0.016625495821380558,0.01841454475380566,0.003798217719154053,1.7255271573799582,0.012643977739134313,0.011696240473039386,0.016163886812140198,0.9998828271828193,8.981184680135677e-13,0.0
audit_large_aperture,audit,64,sunflower_qmc,1,0.009997594937288088,0.009997594937288088,0.009997594937288088,0.009997594937288088,0.009997594937288088,1.0,0.011673388567423509,0.010090278274350524,0.015021300347513207,0.9998919915078708,2.2703414674164576e-14,0.257219500024803
audit_large_aperture,audit,64,product_quadrature,1,0.013013431193601977,0.013013431193601977,0.013013431193601977,0.013013431193601977,0.013013431193601977,1.0,0.014780588777513369,0.013282056680421777,0.01728983597254879,0.9998715110514041,1.2495121698280905e-14,0.26903054100694135
audit_large_aperture,audit,64,cf_quadratic_cv,32,0.02777010686505307,0.02668743510471342,0.04498508886062276,0.05119443611570234,0.005700499514307475,1.1612088876157756,0.02749697008253317,0.025375328538590026,0.03648518902935857,0.9993127221821549,1.060713436510619e-13,0.0005464075675263302
audit_boundary_crossing,audit,16,iid_mc,32,0.14936550672461418,0.13658379331911963,0.20329456941960097,0.4016673932613513,0.03921800119141477,1.4852861384206906,0.14080567271880057,0.1452736391836429,0.14802488113936946,0.9930848828316934,1.6585049238782002e-14,0.0
audit_boundary_crossing,audit,16,antithetic_mc,32,0.11563287753878883,0.1086716363677718,0.17310285677473117,0.20459806875875883,0.015034412311785655,0.735495656466875,0.11397948174817443,0.11469280888414493,0.1517763024450929,0.9924483656503255,1.0288832228573525e-14,0.0
audit_boundary_crossing,audit,16,scrambled_sobol,32,0.04323962113292836,0.042718445759469474,0.05544604480254521,0.06104202604090789,0.0059025246431380785,0.7722019928810567,0.04283033584575998,0.0461206568869362,0.04973669678863508,0.9989508639935413,1.9844051584525554e-15,0.0
audit_boundary_crossing,audit,16,sunflower_qmc,1,0.044590885449991784,0.044590885449991784,0.044590885449991784,0.044590885449991784,0.044590885449991784,1.0,0.04263419924766503,0.045376643523325565,0.04868051553572606,0.9993022607662704,2.702298217540794e-16,0.06312508403789252
audit_boundary_crossing,audit,16,product_quadrature,1,0.029550382643642917,0.029550382643642917,0.029550382643642917,0.029550382643642917,0.029550382643642917,1.0,0.029842574653149,0.02988399511474288,0.040409296842276864,0.9993438461824122,5.916967166966257e-16,0.06158791604684666
