case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_variant,projection_iterations,damping_fraction,damping_absolute,preconditioner,projection_forward_calls,projection_adjoint_calls,paired_call_budget,matched_cgls_field_relative_l2,matched_huber_field_relative_l2,matched_base_landweber_field_relative_l2,field_gain_to_best_matched_classical,h1_gain_to_best_matched_classical,reprojection_ratio_to_matched_cgls,visible_correction_fraction,system_residual_fraction,exact_projection_approximation_error,exact_oracle_error_reduction_retention,oracle_reduction_defined,base_anchor_field_relative_l2,exact_oracle_field_relative_l2,raw_learned_field_relative_l2,exact_oracle_rank,exact_oracle_nullity_lower_bound,field_harm_to_best_matched_classical,converged,breakdown,projection_diagnostic_forward_calls,dense_oracle_used_by_algorithm,projection_target_mode,exact_oracle_internal_projection_residual,preconditioner_kind,preconditioner_is_oracle,preconditioner_setup_forward_equivalents,preconditioner_setup_adjoint_equivalents
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,43,0.33017085241877364,0.02462944396112557,0.03260145323005064,-0.0013851349213752297,0.5990987268442803,0.0895389000125335,0.08764128905530434,1.0,0.03691062486117627,15,14,1,1,0.0056704169837757945,affine_pcg_dense_exact_jacobi_oracle,1,0.0,0.0,supplied_positive_diagonal,2,1,15,0.6103488093958677,0.6088628164226365,0.610095281814329,0.45772537998183715,0.3467510569416877,21.87851429145981,0.2765143295614791,0.27651432956147914,0.40978847977985317,0.9794000278383732,1,0.6101824217178097,0.3242812972129967,0.33584337376580625,150,850,0,0,0,1,False,affine_observation,2.4301239441800546e-15,dense_exact_jacobi_oracle,1,1001,0
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,43,0.3252630612833035,0.024263342090356386,0.03211685223637193,-0.001300137100701695,0.5954846690053118,0.04508557421510611,0.04399555040414826,1.0,0.03654616765415177,16,15,1,1,0.0056704169837757945,affine_pcg_dense_exact_jacobi_oracle,2,0.0,0.0,supplied_positive_diagonal,3,2,16,0.6103739011677202,0.6023308746129902,0.6100834694742133,0.4599927133200807,0.3550915766392523,12.474304621427772,0.13923342061650626,0.13923342061650623,0.29696093533907314,0.996566071322709,1,0.6101824217178097,0.3242812972129967,0.33584337376580625,150,850,0,0,0,1,False,affine_observation,2.4301239441800546e-15,dense_exact_jacobi_oracle,1,1001,0
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,43,0.3236846221123094,0.024145596750865486,0.031960995320376266,-0.0013068934061794713,0.5986740196640594,0.02672602779010097,0.02881770496858684,1.0,0.036329376583113325,18,17,1,1,0.0056704169837757945,affine_pcg_dense_exact_jacobi_oracle,4,0.0,0.0,supplied_positive_diagonal,5,4,18,0.6103799501694649,0.5911126061880857,0.6100683404181467,0.45241461825749585,0.35757081782926253,9.977278672994625,0.0825354081319602,0.08253540813196013,0.19515789081593135,1.0020869980897094,1,0.6101824217178097,0.3242812972129967,0.33584337376580625,150,850,0,0,0,1,False,affine_observation,2.4301239441800546e-15,dense_exact_jacobi_oracle,1,1001,0
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,43,0.32314329897714655,0.02410521617903523,0.03190754444564257,-0.001289035834138835,0.5939114237329108,0.010992483714662904,0.019328852256142837,1.0,0.03623778004393807,22,21,1,1,0.0056704169837757945,affine_pcg_dense_exact_jacobi_oracle,8,0.0,0.0,supplied_positive_diagonal,9,8,22,0.6105150904804026,0.573432272804536,0.6100538267450835,0.4364752137218908,0.36599952371597133,9.45871448090988,0.03394702485902792,0.03394702485902798,0.09037514256916815,1.0039803909054963,1,0.6101824217178097,0.3242812972129967,0.33584337376580625,150,850,0,0,0,1,False,affine_observation,2.4301239441800546e-15,dense_exact_jacobi_oracle,1,1001,0
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,43,0.32431248607069324,0.024192432926938998,0.032022991336451374,-0.0012809598262325309,0.5948651617969696,0.006087944711644524,0.017343715462926658,1.0,0.0362531917623691,26,25,1,1,0.0056704169837757945,affine_pcg_dense_exact_jacobi_oracle,12,0.0,0.0,supplied_positive_diagonal,13,12,26,0.6105692502429148,0.5594830744988698,0.610048810227562,0.4203354831400742,0.3614742872212979,16.091282543105528,0.018800811157073605,0.018800811157073598,0.04352124803439348,0.9998909103356954,1,0.6101824217178097,0.3242812972129967,0.33584337376580625,150,850,0,0,0,1,False,affine_observation,2.4301239441800546e-15,dense_exact_jacobi_oracle,1,1001,0
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,43,0.32430384396007245,0.024191788259556393,0.03202213800441692,-0.0012757324241113102,0.5955489283005317,0.000928709303704508,0.016407829060572237,1.0,0.03627557310796847,34,33,1,1,0.0056704169837757945,affine_pcg_dense_exact_jacobi_oracle,20,0.0,0.0,supplied_positive_diagonal,21,20,34,0.6105766370455974,0.5369876859291368,0.6100533011034912,0.3960683783671178,0.3447024301034815,20.083024136850064,0.0028680431682253575,0.002868043168225374,0.006095957405299898,0.9999211379559462,1,0.6101824217178097,0.3242812972129967,0.33584337376580625,150,850,0,0,0,1,False,affine_observation,2.4301239441800546e-15,dense_exact_jacobi_oracle,1,1001,0
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,43,0.3242796070005321,0.02418998027792381,0.03201974481889765,-0.001277779987053035,0.5955925884240125,3.870282585802018e-05,0.016207978621124743,1.0,0.036276087351014896,46,45,1,1,0.0056704169837757945,affine_pcg_dense_exact_jacobi_oracle,32,0.0,0.0,supplied_positive_diagonal,33,32,46,0.6105789096110855,0.5086213247696425,0.6100803998762006,0.36243411117809465,0.31249854617171985,14.056316141090276,0.00011952219585863903,0.00011952219585867853,0.00031119645629520406,1.0000059118776379,1,0.6101824217178097,0.3242812972129967,0.33584337376580625,150,850,0,0,0,1,False,affine_observation,2.4301239441800546e-15,dense_exact_jacobi_oracle,1,1001,0
59d5c6804bd39f12f83e,ood,single_interface,3137,pooled_cnn,43,0.4348031349557416,0.04774523378215272,0.05082139553496153,-0.005030400760465565,0.7033758261084825,0.21120616331320885,0.21568584492822812,1.0,0.06119080339390641,14,13,1,1,0.005042375007178634,affine_cg_identity_control,0,0.0,0.0,identity,1,0,14,0.6849139219513559,0.6847008786535336,0.6811374324144075,0.3649735986745288,0.2922646597406696,21.916497630615336,1.0,1.0,1.0,1.0898187293767925,1,0.6809629054364497,0.45509069031910315,0.4348031349557416,150,850,0,0,0,1,False,affine_observation,2.3899412463638822e-15,identity,0,0,0
59d5c6804bd39f12f83e,ood,single_interface,3137,pooled_cnn,43,0.42144180363361156,0.04627804130737714,0.0492596738052763,-0.004297446625643934,0.6997332584186292,0.11186869954796959,0.1154477074362777,1.0,0.05799591451552908,15,14,1,1,0.005042375007178634,affine_cg_identity_control,1,0.0,0.0,identity,2,1,15,0.6860950921467911,0.6805652201286273,0.6812048277958691,0.38074736826257627,0.30563866619367225,14.491919064208783,0.5296658856591867,0.5296658856591867,0.6999691694772326,1.148973111491425,1,0.6809629054364497,0.45509069031910315,0.4348031349557416,150,850,0,0,0,1,False,affine_observation,2.3899412463638822e-15,identity,0,0,0
59d5c6804bd39f12f83e,ood,single_interface,3137,pooled_cnn,43,0.41594661481941436,0.04567462092348864,0.0486173758506076,-0.003712068553746086,0.7026804693349051,0.08922317114876337,0.09194794186143014,1.0,0.05692271871231473,16,15,1,1,0.005042375007178634,affine_cg_identity_control,2,0.0,0.0,identity,3,2,16,0.6867588695909053,0.676910878626275,0.6812690681460137,0.38552233690860793,0.31087528337245196,13.921818758385328,0.4224458687621231,0.4224458687621232,0.5617302630104577,1.1733018622027167,1,0.6809629054364497,0.45509069031910315,0.4348031349557416,150,850,0,0,0,1,False,affine_observation,2.3899412463638822e-15,identity,0,0,0
