rig_id,split_role,method,row_relative_l2_vs_exact,column_relative_l2_vs_exact,row_p95_relative_entry_error,column_p95_relative_entry_error,final_normalized_residual_l2,final_field_relative_l2,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,maximum_row_product,maximum_column_product,dense_normalized_spectral_norm_squared,schur_squared_upper_bound,exact_masses_recomputed_from_signed_a
ood-01,fresh_geometry_ood,learned_oracle_free,0.7721353537894078,0.5500912761322014,0.8402463136887202,0.9080485718163713,9.561715491886124e+24,9.726416121915589e+24,14,11,1,26,4.42046312743363,7.8807211481460815,7.8221780910387615,0.48999999999999994,1
ood-01,fresh_geometry_ood,calibrated_envelope,0.624166855922572,0.31811424787798254,0.7034079638262748,0.8249802552763618,597555.1269205187,606945.2927165206,11,6,1,18,2.38099879187913,4.140353226049969,2.213556110605787,0.48999999999999994,1
ood-02,fresh_geometry_ood,factor,2.4170297590062955,2.952731035627583,8.314044768229678,7.785709107552058,0.28425333345311266,1.2299352011606117,0,0,0,0,0.28307683354174984,0.4719050207788911,0.0514976955655179,0.48999999999999994,1
ood-02,fresh_geometry_ood,exact_oracle,0.0,0.0,0.0,0.0,0.19938663811446466,0.8856374077409488,0,0,0,0,0.7000000000000001,0.7000000000000001,0.42288828058755096,0.48999999999999994,1
ood-02,fresh_geometry_ood,scalar_factor_train_selected,0.7992086606644627,1.1220091426510228,3.6570223841148386,3.392854553776029,0.26307315315056834,1.1949565342007504,0,4,0,4,0.5661536670834997,0.9438100415577823,0.2059907822620716,0.48999999999999994,1
ood-02,fresh_geometry_ood,exact_factor_interpolation_oracle,0.0,0.0,0.0,0.0,0.19938663811446466,0.8856374077409488,0,0,0,0,0.7000000000000001,0.7000000000000001,0.42288828058755096,0.48999999999999994,1
ood-02,fresh_geometry_ood,learned_oracle_free,1.1599496770491184,1.09360308864879,7.1403025440859365,3.240883265965886,0.24557858209444125,1.1102368412063663,9,3,0,12,1.3491062135943266,0.915648321753854,0.42539229466709566,0.48999999999999994,1
ood-02,fresh_geometry_ood,calibrated_envelope,2.2779924541658207,2.7133430819763493,14.11294645130284,7.072069366120511,0.26771289363552037,1.1149378519114117,1,0,0,1,0.7266705257079309,0.48106098561711663,0.12037947772420543,0.48999999999999994,1
ood-03,fresh_geometry_ood,factor,1.0055676878398443,1.0119274157145333,1.3832107784524874,7.009802653967281,0.0306590882760285,0.5320231607573119,0,0,0,0,0.4171917975960527,0.5943435100785103,0.14703548354600907,0.48999999999999994,1
ood-03,fresh_geometry_ood,exact_oracle,0.0,0.0,0.0,0.0,0.01329211547605729,0.4711142697094156,0,0,0,0,0.7000000000000001,0.7000000000000001,0.47315389467060365,0.48999999999999994,1
ood-03,fresh_geometry_ood,scalar_factor_train_selected,0.10424457104201079,0.3753442718576061,0.1916053892262436,3.004901326983641,0.009412255662307072,0.2410047891526315,7,6,1,14,0.8343835951921054,1.1886870201570205,0.588141934184036,0.48999999999999994,1
ood-03,fresh_geometry_ood,exact_factor_interpolation_oracle,0.0,0.0,0.0,0.0,0.01329211547605729,0.4711142697094156,0,0,0,0,0.7000000000000001,0.7000000000000001,0.47315389467060365,0.48999999999999994,1
ood-03,fresh_geometry_ood,learned_oracle_free,2.410676559959183,0.9293483755575315,4.8065068391102,0.941135226477535,9.063016635689835e+26,8.624629275411609e+26,6,11,1,18,0.9422627556427967,11.91422995837363,5.039783687724918,0.48999999999999994,1
ood-03,fresh_geometry_ood,calibrated_envelope,5.02553223205344,0.8673776510870411,9.780118607796767,0.8879571765373526,2.101409921279438,2.005557709734509,0,8,1,9,0.507531997924551,6.259467822390592,1.4261812820236353,0.48999999999999994,1
