rig_id,split_role,method,iteration,normalized_residual_l2,field_relative_l2,solution_l2
ood-01,fresh_geometry_ood,learned_oracle_free,16,2079294512644.6826,2115110378169.414,4211883055134.714
ood-01,fresh_geometry_ood,learned_oracle_free,32,9.561715491886124e+24,9.726416121915589e+24,1.9368505622169013e+25
ood-01,fresh_geometry_ood,calibrated_envelope,0,1.0,1.0,0.0
ood-01,fresh_geometry_ood,calibrated_envelope,1,0.39933263335022023,1.7879301854516483,2.667993480510654
ood-01,fresh_geometry_ood,calibrated_envelope,2,1.1117957460259962,0.9643930197753925,0.31228022185903515
ood-01,fresh_geometry_ood,calibrated_envelope,4,2.388008759636686,1.6364935293571354,3.0069526863879776
ood-01,fresh_geometry_ood,calibrated_envelope,8,13.933744706210716,13.215333326638023,26.577831097647074
ood-01,fresh_geometry_ood,calibrated_envelope,16,487.68271981053965,494.52678801052963,985.0775496550676
ood-01,fresh_geometry_ood,calibrated_envelope,32,597555.1269205187,606945.2927165206,1208628.769758992
ood-02,fresh_geometry_ood,factor,0,1.0,1.0,0.0
ood-02,fresh_geometry_ood,factor,1,0.9717619720190718,1.0011306109742455,0.021824279408605648
ood-02,fresh_geometry_ood,factor,2,0.9221170271378378,1.0035210308221234,0.061082493258707446
ood-02,fresh_geometry_ood,factor,4,0.7877017338239556,1.0129824967962273,0.17501730524707307
ood-02,fresh_geometry_ood,factor,8,0.553371019004418,1.0508731439850685,0.44765336276048046
ood-02,fresh_geometry_ood,factor,16,0.4255457283395764,1.1402137965872097,0.8173748122675621
ood-02,fresh_geometry_ood,factor,32,0.28425333345311266,1.2299352011606117,1.108826042126915
ood-02,fresh_geometry_ood,exact_oracle,0,1.0,1.0,0.0
ood-02,fresh_geometry_ood,exact_oracle,1,0.8063383714798291,0.9930053835721468,0.1267888163849238
ood-02,fresh_geometry_ood,exact_oracle,2,0.606372308543503,0.9873471423842037,0.28065087663790433
ood-02,fresh_geometry_ood,exact_oracle,4,0.4017617931946279,0.9817493404723532,0.5239787568595599
ood-02,fresh_geometry_ood,exact_oracle,8,0.26158487137332587,0.9720616206428817,0.763747023572903
ood-02,fresh_geometry_ood,exact_oracle,16,0.22149841953461927,0.9497963038224533,0.8984777111538415
ood-02,fresh_geometry_ood,exact_oracle,32,0.19938663811446466,0.8856374077409488,0.9136318768960564
ood-02,fresh_geometry_ood,scalar_factor_train_selected,0,1.0,1.0,0.0
ood-02,fresh_geometry_ood,scalar_factor_train_selected,1,0.9014829951065686,1.0045478482528003,0.0775087107588598
ood-02,fresh_geometry_ood,scalar_factor_train_selected,2,0.7661079032978593,1.0149527200590591,0.1946685503276206
ood-02,fresh_geometry_ood,scalar_factor_train_selected,4,0.5525492085650099,1.0515525652228874,0.4461206970082476
ood-02,fresh_geometry_ood,scalar_factor_train_selected,8,0.40607036710579003,1.1336716195912848,0.78592802317608
ood-02,fresh_geometry_ood,scalar_factor_train_selected,16,0.28357678868867875,1.2236155716165924,1.0918196409132401
ood-02,fresh_geometry_ood,scalar_factor_train_selected,32,0.26307315315056834,1.1949565342007504,1.0901482209728504
ood-02,fresh_geometry_ood,exact_factor_interpolation_oracle,0,1.0,1.0,0.0
ood-02,fresh_geometry_ood,exact_factor_interpolation_oracle,1,0.8063383714798291,0.9930053835721468,0.1267888163849238
ood-02,fresh_geometry_ood,exact_factor_interpolation_oracle,2,0.606372308543503,0.9873471423842037,0.28065087663790433
ood-02,fresh_geometry_ood,exact_factor_interpolation_oracle,4,0.4017617931946279,0.9817493404723532,0.5239787568595599
ood-02,fresh_geometry_ood,exact_factor_interpolation_oracle,8,0.26158487137332587,0.9720616206428817,0.763747023572903
ood-02,fresh_geometry_ood,exact_factor_interpolation_oracle,16,0.22149841953461927,0.9497963038224533,0.8984777111538415
ood-02,fresh_geometry_ood,exact_factor_interpolation_oracle,32,0.19938663811446466,0.8856374077409488,0.9136318768960564
ood-02,fresh_geometry_ood,learned_oracle_free,0,1.0,1.0,0.0
ood-02,fresh_geometry_ood,learned_oracle_free,1,0.8526784286130422,0.9962631434499035,0.09970351067529805
ood-02,fresh_geometry_ood,learned_oracle_free,2,0.7087797021304193,0.9965197511619237,0.21105804195986833
ood-02,fresh_geometry_ood,learned_oracle_free,4,0.5492943831401729,1.0086465415767327,0.3771118607756356
ood-02,fresh_geometry_ood,learned_oracle_free,8,0.3967766956667498,1.0488277566342183,0.5927737999702674
ood-02,fresh_geometry_ood,learned_oracle_free,16,0.2742125267707835,1.108557592318074,0.8725114075640572
ood-02,fresh_geometry_ood,learned_oracle_free,32,0.24557858209444125,1.1102368412063663,0.9744497225015365
ood-02,fresh_geometry_ood,calibrated_envelope,0,1.0,1.0,0.0
ood-02,fresh_geometry_ood,calibrated_envelope,1,0.9472001753494339,0.9984079764198831,0.034506717322954454
ood-02,fresh_geometry_ood,calibrated_envelope,2,0.867779313544568,0.9966914386505639,0.08858878478928667
ood-02,fresh_geometry_ood,calibrated_envelope,4,0.7053703770988633,0.9965495952811099,0.21406259956237883
