family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,omitted_view_index,omitted_view_degrees,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,worst_renderer_relative_change,mean_renderer_relative_change,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,correction_l2
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,4,120.0,100,240,True,0.09673067888063702,-0.0010347391334371014,-0.09673067888063705,0.00906980037689209,0.012314677238464355,0.008561968803405762,0.00030362210236489773,0.011087633669376373,0.16539743542671204
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,5,150.0,100,240,True,0.1483533741168369,-0.01497371278205939,-0.14835337411683694,-0.0011620521545410156,0.03885376453399658,0.01804715394973755,0.00021183292847126722,0.014264841563999653,0.21024106442928314
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,0,0.0,240,240,True,0.11851716969178783,-0.0368939110424058,-0.11851716969178783,-0.07694286108016968,0.14269983768463135,0.020754098892211914,0.01041395403444767,0.10458853095769882,0.8348414301872253
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,1,30.0,240,240,True,0.17220564143446815,-0.026679083668517678,-0.17220564143446812,-0.11481761932373047,0.0470811128616333,0.0015853047370910645,0.005014736205339432,0.028334850445389748,0.6439706683158875
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,2,60.0,240,240,True,0.17094892799018824,-0.02280702063479234,-0.1709489279901882,-0.0878140926361084,0.15366530418395996,0.014939606189727783,0.0029986444860696793,0.04330218955874443,0.6107707023620605
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,3,90.0,120,240,True,0.14953751722669006,-0.08519081002259754,-0.14953751722668998,-0.05122286081314087,0.310860276222229,0.05803883075714111,0.00548339681699872,0.06394283473491669,1.2352489233016968
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,4,120.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,5,150.0,240,80,True,0.18717028049782336,-0.0023552242901753173,-0.1871702804978234,-0.08671355247497559,0.16436505317687988,0.021972298622131348,0.0029247337952256203,0.03378332406282425,0.5784685611724854
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,0,0.0,240,240,True,0.10146447545007986,-0.00917702009567789,-0.1014644754500798,-0.07037508487701416,0.5384154319763184,0.11843830347061157,0.016512218862771988,0.509878396987915,1.579613208770752
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,1,30.0,120,40,True,0.05274435497736363,-0.0009787666983132048,-0.0527443549773636,-0.0438498854637146,0.21597182750701904,0.037177979946136475,0.0011747488752007484,0.04705892503261566,0.5710837244987488
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,2,60.0,200,140,True,0.1418568626093153,-2.7229608253409587e-05,-0.14185686260931535,-0.0805063247680664,0.23265552520751953,0.033952295780181885,0.0023172309156507254,0.06241794675588608,0.6639736294746399
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,3,90.0,120,240,True,0.20757222638117612,-0.09878439766416447,-0.20757222638117614,-0.07945340871810913,0.4157106876373291,0.09728574752807617,0.019439948722720146,0.12014986574649811,1.560539722442627
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,4,120.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
