family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,omitted_view_index,omitted_view_degrees,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,worst_renderer_relative_change,mean_renderer_relative_change,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,correction_l2
smooth_plume,3301,0.02,nominal_six_view,base211_residual419,211,419,1,30.0,220,240,True,0.24438001968501066,-0.031696491080902,-0.24438001968501058,0.0009618997573852539,0.12516140937805176,0.042603522539138794,0.00010070951975649223,0.009041466750204563,0.10333605855703354
smooth_plume,3301,0.02,nominal_six_view,base211_residual419,211,419,2,60.0,240,220,True,0.28882744275996597,-0.009571887837272475,-0.28882744275996597,-0.029974520206451416,0.09166371822357178,0.029561758041381836,0.00034277726081199944,0.005257830489426851,0.09969735145568848
smooth_plume,3301,0.02,nominal_six_view,base211_residual419,211,419,3,90.0,60,140,True,0.03990838707578692,-0.026335995011275815,-0.03990838707578698,0.03284335136413574,0.32468438148498535,0.09908261895179749,0.0011485732393339276,0.04971492663025856,0.27247875928878784
smooth_plume,3301,0.02,nominal_six_view,base211_residual419,211,419,4,120.0,120,240,True,0.22225034995622628,-0.011452537803004148,-0.2222503499562263,-0.01243215799331665,0.0682607889175415,0.02555704116821289,0.00014197199197951704,0.007483150344341993,0.11306489259004593
smooth_plume,3301,0.02,nominal_six_view,base211_residual419,211,419,5,150.0,200,20,True,0.15986320090605743,-0.0024506449570561584,-0.15986320090605735,-0.016651690006256104,-0.03383946418762207,-0.01293298602104187,9.854480595095083e-05,0.0016519682249054313,0.07161004841327667
smooth_plume,3301,0.02,sparse_four_view,base101_residual307,101,307,0,0.0,40,20,True,0.12029777601250502,-0.056101190311147464,-0.12029777601250496,-0.05665898323059082,0.07570970058441162,0.017834067344665527,0.001347140409052372,0.012435159645974636,0.36753979325294495
smooth_plume,3301,0.02,sparse_four_view,base101_residual307,101,307,1,45.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,sparse_four_view,base101_residual307,101,307,2,90.0,40,60,True,0.12623541269836003,-0.0773257881824192,-0.12623541269836,-0.12371432781219482,-0.06405889987945557,-0.02546900510787964,0.005556261632591486,0.009961175732314587,0.4019290506839752
smooth_plume,3301,0.02,sparse_four_view,base101_residual307,101,307,3,135.0,220,220,True,0.21306374912779347,-0.024406877880058797,-0.21306374912779338,-0.048341453075408936,-0.00752490758895874,-0.0019041001796722412,0.0007359149167314172,0.0025869200471788645,0.17107607424259186
smooth_plume,3301,0.02,sparse_four_view,base211_residual419,211,419,0,0.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,sparse_four_view,base211_residual419,211,419,1,45.0,240,240,True,0.2433129287270921,-0.023875182817193252,-0.2433129287270921,-0.02591383457183838,-0.014584064483642578,0.0002911984920501709,0.00024034190573729575,0.003697129664942622,0.13098561763763428
smooth_plume,3301,0.02,sparse_four_view,base211_residual419,211,419,2,90.0,40,60,True,0.07382833608430228,-0.010751359196900512,-0.07382833608430234,-0.04838764667510986,-0.11023610830307007,-0.04046928882598877,0.0016197788063436747,0.016023995354771614,0.3186895251274109
smooth_plume,3301,0.02,sparse_four_view,base211_residual419,211,419,3,135.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base101_residual307,101,307,0,0.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base101_residual307,101,307,1,30.0,120,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base101_residual307,101,307,2,60.0,120,40,True,0.0058610262918650236,-0.0010726761034037802,-0.0058610262918650236,-0.0194208025932312,-0.08517563343048096,-0.029230743646621704,0.00021649002155754715,0.00734951626509428,0.10822071135044098
smooth_plume,3301,0.08,coarse_ray_six_view,base101_residual307,101,307,3,90.0,60,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base101_residual307,101,307,4,120.0,120,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base101_residual307,101,307,5,150.0,160,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,0,0.0,240,40,True,0.11573601538388467,-0.001311414902035346,-0.11573601538388464,0.005973696708679199,-0.01658874750137329,-0.004284560680389404,0.00015882596198935062,0.0018870442872866988,0.12408864498138428
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,1,30.0,120,60,True,0.12079948896845139,-0.0034735118047035662,-0.12079948896845136,-0.011074841022491455,-0.010958194732666016,-0.002762019634246826,0.00017093709902837873,0.0027129959780722857,0.10209069401025772
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,2,60.0,100,100,True,0.0968984517245558,-0.00039734966605209365,-0.09689845172455577,-0.025829553604125977,-0.0083543062210083,-0.003124147653579712,0.0003371693310327828,0.005888059735298157,0.10995431244373322
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,3,90.0,60,60,True,0.034474557470279055,-0.011647689671808403,-0.03447455747027914,-0.00031960010528564453,0.030528664588928223,0.006376773118972778,8.228646038332954e-05,0.00415699603036046,0.10821858793497086
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,4,120.0,120,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,5,150.0,180,60,True,0.16071529434304765,-0.027024124375787828,-0.16071529434304757,0.012898802757263184,-0.02030104398727417,-0.0041577816009521484,0.0001449762494303286,0.0041522984392941,0.1325923651456833
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,0,0.0,60,60,True,0.032957364488887975,-0.010476763843407566,-0.032957364488887975,-0.030662715435028076,-0.04762160778045654,-0.020294606685638428,0.00045168327051214874,0.010046625509858131,0.17714236676692963
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,1,30.0,120,20,True,0.03608718834127933,-0.003745960538816484,-0.03608718834127933,-0.03986835479736328,-0.10834681987762451,-0.03742828965187073,0.0005264527280814946,0.007744842674583197,0.07230111956596375
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,2,60.0,160,20,True,0.013747855764514427,-0.003700497551464954,-0.013747855764514538,-0.03434944152832031,-0.15833812952041626,-0.053312599658966064,0.00045339364442043006,0.013064778409898281,0.11707103252410889
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,3,90.0,60,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,4,120.0,100,240,True,0.09673067888063702,-0.0010347391334371014,-0.09673067888063705,0.00906980037689209,0.012314677238464355,0.008561968803405762,0.00030362210236489773,0.011087633669376373,0.16539743542671204
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,5,150.0,100,240,True,0.1483533741168369,-0.01497371278205939,-0.14835337411683694,-0.0011620521545410156,0.03885376453399658,0.01804715394973755,0.00021183292847126722,0.014264841563999653,0.21024106442928314
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,0,0.0,160,60,True,0.09546522413858438,-0.02214189808893574,-0.09546522413858444,0.023563742637634277,0.054323434829711914,0.018671661615371704,0.00039395122439600527,0.0071734217926859856,0.31961020827293396
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,1,30.0,100,80,True,0.08816779746454773,-0.003901794409392645,-0.08816779746454773,-0.029101788997650146,-0.0050165653228759766,-0.00031116604804992676,0.0003003083693329245,0.003873102366924286,0.13596530258655548
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,2,60.0,160,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,3,90.0,60,140,True,0.08713928914525759,-0.07086015974167159,-0.08713928914525765,0.06745123863220215,0.4348858594894409,0.13928347826004028,0.010330265387892723,0.10602375119924545,0.6229297518730164
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,4,120.0,80,240,True,0.15755722059474808,-0.022499811489792965,-0.15755722059474814,-0.020769059658050537,-0.021865785121917725,0.0037779510021209717,0.000371483649360016,0.015739087015390396,0.1784239113330841
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,5,150.0,120,220,True,0.17248856419207892,-0.0002898282967046528,-0.17248856419207895,0.01993870735168457,0.1314793825149536,0.05701851844787598,0.00060909433523193,0.021435430273413658,0.16866232454776764
