family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,fit_role,base_training_seconds,residual_training_seconds
smooth_plume,3301,0.08,sparse_four_view,base101_residual307,101,307,leave_out_0,0.8080912079894915,6.1711323340423405
smooth_plume,3301,0.08,sparse_four_view,base101_residual307,101,307,leave_out_1,0.815906333969906,6.181153333047405
smooth_plume,3301,0.08,sparse_four_view,base101_residual307,101,307,leave_out_2,0.8057193330023438,6.179892041953281
smooth_plume,3301,0.08,sparse_four_view,base101_residual307,101,307,leave_out_3,0.8148795830784366,6.165484665893018
smooth_plume,3301,0.08,sparse_four_view,base211_residual419,211,419,full,0.9636119160568342,6.939646041952074
smooth_plume,3301,0.08,sparse_four_view,base211_residual419,211,419,leave_out_0,0.8145066249417141,6.189521208987571
smooth_plume,3301,0.08,sparse_four_view,base211_residual419,211,419,leave_out_1,0.8162199590587988,6.189486291026697
smooth_plume,3301,0.08,sparse_four_view,base211_residual419,211,419,leave_out_2,0.80920637503732,6.158283042022958
smooth_plume,3301,0.08,sparse_four_view,base211_residual419,211,419,leave_out_3,0.8238275001058355,6.159356500022113
smooth_plume,3302,0.02,coarse_ray_six_view,base101_residual307,101,307,full,0.9053748329170048,6.716691125067882
smooth_plume,3302,0.02,coarse_ray_six_view,base101_residual307,101,307,leave_out_0,0.8758252500556409,6.255988541990519
smooth_plume,3302,0.02,coarse_ray_six_view,base101_residual307,101,307,leave_out_1,0.8125128330430016,6.215073124971241
smooth_plume,3302,0.02,coarse_ray_six_view,base101_residual307,101,307,leave_out_2,0.8228543750010431,6.205481000011787
smooth_plume,3302,0.02,coarse_ray_six_view,base101_residual307,101,307,leave_out_3,0.8086349579971284,6.245405417052098
smooth_plume,3302,0.02,coarse_ray_six_view,base101_residual307,101,307,leave_out_4,0.8183461669832468,6.214343125000596
smooth_plume,3302,0.02,coarse_ray_six_view,base101_residual307,101,307,leave_out_5,0.82339362509083,6.205515708075836
smooth_plume,3302,0.02,coarse_ray_six_view,base211_residual419,211,419,full,0.8947314999531955,6.726775165996514
smooth_plume,3302,0.02,coarse_ray_six_view,base211_residual419,211,419,leave_out_0,0.8272667499259114,6.213945582974702
smooth_plume,3302,0.02,coarse_ray_six_view,base211_residual419,211,419,leave_out_1,0.8093148750485852,6.235233083018102
smooth_plume,3302,0.02,coarse_ray_six_view,base211_residual419,211,419,leave_out_2,0.8170614159898832,6.222950333030894
smooth_plume,3302,0.02,coarse_ray_six_view,base211_residual419,211,419,leave_out_3,0.8079552500275895,6.206714958068915
smooth_plume,3302,0.02,coarse_ray_six_view,base211_residual419,211,419,leave_out_4,0.8146714159520343,6.2228998329956084
smooth_plume,3302,0.02,coarse_ray_six_view,base211_residual419,211,419,leave_out_5,0.8233234999934211,6.204740000073798
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,full,1.3446522080339491,7.822765916003846
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,leave_out_0,1.1164727919967845,7.221538500045426
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,leave_out_1,1.1580138340359554,7.258719791891053
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,leave_out_2,1.122468625078909,7.214569167001173
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,leave_out_3,1.1835966669023037,7.266649666009471
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,leave_out_4,1.1678935840027407,7.278013917035423
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,leave_out_5,1.1095210830681026,7.219664542004466
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,full,1.380107666947879,7.753790750051849
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,leave_out_0,1.1064630839973688,7.3157689169747755
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,leave_out_1,1.1438744170591235,7.28354658302851
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,leave_out_2,1.1256213750457391,7.232460082974285
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,leave_out_3,1.1514306670287624,7.214722750009969
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,leave_out_4,1.109806083026342,7.287521500024013
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,leave_out_5,1.114190167048946,7.240655791014433
