method,base_seed,direction_index,amplitude_multiplier,evaluation_replicates,valid_count,failure_count,nominal_threshold,calibration_envelope_threshold,calibration_envelope_valid,nominal_coverage,calibrated_coverage,calibrated_coverage_cp95_lower,calibrated_coverage_cp95_upper,native_radius_qref_median,calibrated_radius_qref_median,calibrated_radius_qref_p90
iterative_exact_godambe,709,0,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.944,0.984,0.9595426193679008,0.9956237734910259,0.1874932079428515,0.2120058017078022,0.2123218734379784
iterative_penalized_contrast,709,0,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.948,0.984,0.9595426193679008,0.9956237734910259,,,
corrected_crossfit_wald,709,0,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.4,1.0,0.9853528113643196,1.0,0.45196295115306007,2.986970395711371,2.993900493679859
plugin_native,709,1,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.924,1.0,0.9853528113643196,1.0,0.19202037088033114,0.5864268577491256,0.5868464491500309
iterative_gn_sandwich,709,1,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.944,0.98,0.9539464228461827,0.9934749299979705,0.18668963929723925,0.21094587667414494,0.21108996798160493
iterative_exact_godambe,709,1,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.944,0.98,0.9539464228461827,0.9934749299979705,0.18669540307276558,0.21110369297039927,0.21140053524868438
iterative_penalized_contrast,709,1,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.956,0.98,0.9539464228461827,0.9934749299979705,,,
corrected_crossfit_wald,709,1,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.96,1.0,0.9853528113643196,1.0,0.4396016930345047,2.9052762834845316,2.9102809657768587
plugin_native,709,1,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.536,1.0,0.9853528113643196,1.0,0.19213624944582264,0.586780748863543,0.5871250579419591
iterative_gn_sandwich,709,1,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.936,0.976,0.9484967388946921,0.9911426387228863,0.1860984663085637,0.21027789367931102,0.21040636340022603
iterative_exact_godambe,709,1,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.936,0.976,0.9484967388946921,0.9911426387228863,0.18612708730201902,0.21046107640885942,0.21074089027975887
iterative_penalized_contrast,709,1,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.936,0.972,0.9431627547269463,0.9886699862043414,,,
corrected_crossfit_wald,709,1,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.88,1.0,0.9853528113643196,1.0,0.4357785453159005,2.8800095464106894,2.8853743192882653
plugin_native,709,2,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.936,1.0,0.9853528113643196,1.0,0.19196252213370707,0.5862501886876508,0.5865410175146727
iterative_gn_sandwich,709,2,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.936,0.972,0.9431627547269463,0.9886699862043414,0.18731780309259807,0.21165565662232916,0.21177102543649515
iterative_exact_godambe,709,2,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.936,0.972,0.9431627547269463,0.9886699862043414,0.18732257049113837,0.2118128553597785,0.21208867498216924
iterative_penalized_contrast,709,2,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.94,0.968,0.9379233026251296,0.9860853884512562,,,
corrected_crossfit_wald,709,2,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.94,1.0,0.9853528113643196,1.0,0.45153102129610545,2.984115821697161,2.991145043532823
plugin_native,709,2,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.544,1.0,0.9853528113643196,1.0,0.19177709511045704,0.5856838977983678,0.5860167010048332
iterative_gn_sandwich,709,2,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.948,0.988,0.965333385425256,0.9975184417452969,0.18731859380324262,0.21165655006853612,0.21177936824751262
iterative_exact_godambe,709,2,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.948,0.988,0.965333385425256,0.9975184417452969,0.1873591808585281,0.21185425211422332,0.21213939723149275
iterative_penalized_contrast,709,2,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.948,0.988,0.965333385425256,0.9975184417452969,,,
corrected_crossfit_wald,709,2,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.524,1.0,0.9853528113643196,1.0,0.45656124337570114,3.017359972345513,3.025235632264303
plugin_native,811,-1,0.0,250,250,0,11.070497693516351,103.2524206581322,True,0.964,1.0,0.9853528113643196,1.0,0.2310575947842535,0.7056458575056309,0.7060759556840948
iterative_gn_sandwich,811,-1,0.0,250,250,0,11.070497693516351,14.134120644626549,True,0.96,0.996,0.9779161349993668,0.999898733895821,0.22657866642162494,0.2560176108534328,0.25617521005920685
iterative_exact_godambe,811,-1,0.0,250,250,0,11.070497693516351,14.154403049504122,True,0.96,0.996,0.9779161349993668,0.999898733895821,0.2265421286909245,0.256159922488236,0.25657250529466913
iterative_penalized_contrast,811,-1,0.0,250,250,0,11.070497693516351,13.832455580051194,True,0.968,0.996,0.9779161349993668,0.999898733895821,,,
corrected_crossfit_wald,811,-1,0.0,250,250,0,11.070497693516351,483.5298734055149,True,0.972,1.0,0.9853528113643196,1.0,0.5317479944537622,3.5142604351974613,3.5271942122094253
plugin_native,811,0,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.888,1.0,0.9853528113643196,1.0,0.23040385111733,0.7036493357688499,0.7040505943898412
iterative_gn_sandwich,811,0,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.92,0.976,0.9484967388946921,0.9911426387228863,0.22607267470241443,0.25544587657187046,0.2556034053613192
iterative_exact_godambe,811,0,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.92,0.976,0.9484967388946921,0.9911426387228863,0.22602265048829398,0.25557252844859707,0.2559585090794449
iterative_penalized_contrast,811,0,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.928,0.972,0.9431627547269463,0.9886699862043414,,,
corrected_crossfit_wald,811,0,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.916,1.0,0.9853528113643196,1.0,0.5416657749880822,3.579805889247619,3.59540755074483
plugin_native,811,0,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.004,1.0,0.9853528113643196,1.0,0.22880792727166782,0.698775412227676,0.6991464971231667
iterative_gn_sandwich,811,0,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.92,0.984,0.9595426193679008,0.9956237734910259,0.22555511453239713,0.25486107077221876,0.255007954305352
