family,phantom_seed,noise_fraction,rig_name,network_repeat_count,network_repeat_ids,admitted_network_repeat_count,all_network_repeats_admitted,maximum_normalized_total_l2_change,maximum_normalized_total_h1_change,maximum_normalized_total_huber_change,minimum_normalized_development_improvement,minimum_gate_holdout_improvement,maximum_residual_roughness_log1p,maximum_worst_renderer_relative_change,maximum_field_delta_candidate_minus_base,maximum_h1_delta_candidate_minus_base,median_field_delta_candidate_minus_base,median_h1_delta_candidate_minus_base,median_dense_automatic_delta_candidate_minus_base,median_test_automatic_delta_candidate_minus_base,train_view_count,neural_sample_count,beneficial_truth_label,truth_outcome_class
wrinkled_density_interface,3402,0.08,nominal_six_view,2,base101_residual307|base211_residual419,2,True,-0.03729218244552612,0.056206703186035156,0.00812309980392456,0.051985950684020565,0.018260195526084044,2.1090197907244748,-0.015273804103529076,-0.0027850245555180453,0.004568827514085078,-0.003073995584973295,0.004122607832330483,-0.026760536007022273,-0.0041370947120070375,6,32,False,harmful
wrinkled_density_interface,3402,0.08,sparse_four_view,2,base101_residual307|base211_residual419,1,False,0.0,0.2341752052307129,0.04364156723022461,0.0,0.0,3.54179476134935,0.0,0.0,0.0,-0.006361735451798467,-0.0007434597048724956,-0.01761326247475825,-0.00302765755711365,4,32,False,neutral
wrinkled_density_interface,3403,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
wrinkled_density_interface,3403,0.02,nominal_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,False,neutral
wrinkled_density_interface,3403,0.02,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.018246829509735107,0.1652371883392334,0.038614869117736816,0.04969668973263319,0.004200314822600526,2.6804366175661003,-0.00273256515750675,0.005527080048660649,0.007541126548844812,0.004133991460128786,0.00453834449383847,-0.0139744736471753,-0.006890361841147025,4,32,False,harmful
wrinkled_density_interface,3403,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
wrinkled_density_interface,3403,0.08,nominal_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,False,neutral
wrinkled_density_interface,3403,0.08,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.042957961559295654,0.2233731746673584,0.045540034770965576,0.06013570087267606,0.025621585289650084,2.8779719949409595,-0.005382429562616808,0.005653926264529402,0.003600095900814837,-0.00043158526905853756,0.002416404938223704,-0.021346867748839607,-0.01004640182629582,4,32,False,harmful
wrinkled_density_interface,3404,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
wrinkled_density_interface,3404,0.02,nominal_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,False,neutral
wrinkled_density_interface,3404,0.02,sparse_four_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,32,False,neutral
wrinkled_density_interface,3404,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
wrinkled_density_interface,3404,0.08,nominal_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,False,neutral
wrinkled_density_interface,3404,0.08,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.01742178201675415,0.3243119716644287,0.06555598974227905,0.0932648180042398,-0.03376216188784076,4.5763132348149185,-0.016186102511132505,-0.011513761822126628,0.0025547806407975326,-0.013600577079678017,0.0021673608238861747,-0.05036323992330105,0.0007481833562650864,4,32,False,harmful
wrinkled_density_interface,3405,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
wrinkled_density_interface,3405,0.02,nominal_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,False,neutral
wrinkled_density_interface,3405,0.02,sparse_four_view,2,base101_residual307|base211_residual419,1,False,0.0005173683166503906,0.25564253330230713,0.052560269832611084,0.0,0.0,3.8333409314643574,0.0,0.0,0.0,-0.001944307109415129,-0.0013156956176058332,-0.01697541191591044,-0.0003016979241741019,4,32,False,neutral
wrinkled_density_interface,3405,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
wrinkled_density_interface,3405,0.08,nominal_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,False,neutral
wrinkled_density_interface,3405,0.08,sparse_four_view,2,base101_residual307|base211_residual419,1,False,0.0,0.1465522050857544,0.029473185539245605,0.0,0.0,3.2482098206713443,0.0,0.0,0.0,-0.00021440992633631195,-0.0002896175299960668,-0.015932301712070468,-0.007919502194653386,4,32,False,neutral
wrinkled_density_interface,3406,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
wrinkled_density_interface,3406,0.02,nominal_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,False,neutral
wrinkled_density_interface,3406,0.02,sparse_four_view,2,base101_residual307|base211_residual419,1,False,0.0,0.10792791843414307,0.009921133518218994,0.0,0.0,1.8876362122929762,0.0,0.012165124658584991,0.02163805568911087,0.006082562329292496,0.010819027844555434,-0.032983556087291935,0.0021659087368216673,4,32,False,harmful
wrinkled_density_interface,3406,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
wrinkled_density_interface,3406,0.08,nominal_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,False,neutral
wrinkled_density_interface,3406,0.08,sparse_four_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,32,False,neutral
