family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_training_seconds,residual_training_seconds
wrinkled_density_interface,3401,0.08,coarse_ray_six_view,base101_residual307,0.7910187079105526,6.145929915946908
wrinkled_density_interface,3401,0.08,coarse_ray_six_view,base211_residual419,0.774968083947897,6.04495804104954
wrinkled_density_interface,3402,0.02,nominal_six_view,base101_residual307,1.1062510419869795,6.440433542011306
wrinkled_density_interface,3402,0.02,nominal_six_view,base211_residual419,1.0943957079434767,6.4138718750327826
wrinkled_density_interface,3402,0.08,nominal_six_view,base101_residual307,1.1015928749693558,6.365545165957883
wrinkled_density_interface,3402,0.08,nominal_six_view,base211_residual419,1.0933052080217749,6.432291917037219
wrinkled_density_interface,3402,0.02,sparse_four_view,base101_residual307,0.7909037909703329,6.080037166946568
wrinkled_density_interface,3402,0.02,sparse_four_view,base211_residual419,0.7949473339831457,6.079232333926484
wrinkled_density_interface,3402,0.08,sparse_four_view,base101_residual307,0.7851508749881759,6.1311131661059335
wrinkled_density_interface,3402,0.08,sparse_four_view,base211_residual419,0.7792417920427397,6.089333500014618
wrinkled_density_interface,3402,0.02,coarse_ray_six_view,base101_residual307,0.7793221659958363,5.97019416699186
wrinkled_density_interface,3402,0.02,coarse_ray_six_view,base211_residual419,0.7841967920539901,6.048886750009842
wrinkled_density_interface,3402,0.08,coarse_ray_six_view,base101_residual307,0.7900965840090066,6.012700708000921
wrinkled_density_interface,3402,0.08,coarse_ray_six_view,base211_residual419,0.7765647920314223,5.99069704208523
wrinkled_density_interface,3403,0.02,nominal_six_view,base101_residual307,1.1023668330162764,6.399996250052936
wrinkled_density_interface,3403,0.02,nominal_six_view,base211_residual419,1.0939006250118837,6.4080594999250025
wrinkled_density_interface,3403,0.08,nominal_six_view,base101_residual307,1.0889883750351146,6.387588749988936
wrinkled_density_interface,3403,0.08,nominal_six_view,base211_residual419,1.0895421660970896,6.426189917023294
wrinkled_density_interface,3403,0.02,sparse_four_view,base101_residual307,0.7742823329754174,6.090417374973185
wrinkled_density_interface,3403,0.02,sparse_four_view,base211_residual419,0.7795449169352651,6.113997208070941
wrinkled_density_interface,3403,0.08,sparse_four_view,base101_residual307,0.7769983750768006,6.082733083050698
wrinkled_density_interface,3403,0.08,sparse_four_view,base211_residual419,0.7738737500039861,6.051266415975988
wrinkled_density_interface,3403,0.02,coarse_ray_six_view,base101_residual307,0.7724322499707341,5.980617250083014
wrinkled_density_interface,3403,0.02,coarse_ray_six_view,base211_residual419,0.7857053340412676,5.990280000027269
wrinkled_density_interface,3403,0.08,coarse_ray_six_view,base101_residual307,0.7715512500144541,5.977783833979629
wrinkled_density_interface,3403,0.08,coarse_ray_six_view,base211_residual419,0.7764746660832316,6.032682750024833
wrinkled_density_interface,3404,0.02,nominal_six_view,base101_residual307,1.0950970000121742,6.4053919579600915
wrinkled_density_interface,3404,0.02,nominal_six_view,base211_residual419,1.0948416660539806,6.4039804169442505
wrinkled_density_interface,3404,0.08,nominal_six_view,base101_residual307,1.09061983297579,6.406195707968436
wrinkled_density_interface,3404,0.08,nominal_six_view,base211_residual419,1.09006399998907,6.470582042005844
wrinkled_density_interface,3404,0.02,sparse_four_view,base101_residual307,0.7866701249731705,6.083170959027484
wrinkled_density_interface,3404,0.02,sparse_four_view,base211_residual419,0.7763222500216216,6.087329083005898
wrinkled_density_interface,3404,0.08,sparse_four_view,base101_residual307,0.8019254580140114,6.0806764588924125
wrinkled_density_interface,3404,0.08,sparse_four_view,base211_residual419,0.7785605840617791,6.055665583931841
wrinkled_density_interface,3404,0.02,coarse_ray_six_view,base101_residual307,0.7750973330112174,6.004227165947668
wrinkled_density_interface,3404,0.02,coarse_ray_six_view,base211_residual419,0.7788638749625534,5.98431329196319
wrinkled_density_interface,3404,0.08,coarse_ray_six_view,base101_residual307,0.771758749964647,5.999822917045094
wrinkled_density_interface,3404,0.08,coarse_ray_six_view,base211_residual419,0.7755917500471696,6.009533541975543
wrinkled_density_interface,3405,0.02,nominal_six_view,base101_residual307,1.099195457994938,6.416086709010415
