method,rig_id,family,field_uid,relative_l2,gain_vs_base
pure_pbb_budget_matched,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:6,0.15626120567321777,0.2639898100623529
sfio_papbb_selected,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:6,0.1551530957221985,0.2692091491299593
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.17299781739711761,0.0
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.17217324674129486,0.0047663645023332535
pure_pbb_32,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.16030889749526978,0.07334728317826311
pure_pbb_budget_matched,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.16013668477535248,0.07434274498528681
sfio_papbb_selected,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:7,0.15443599224090576,0.10729514068725543
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.2849707007408142,0.0
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.2642204761505127,0.0728152913136646
pure_pbb_32,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.2108393907546997,0.2601366027925033
pure_pbb_budget_matched,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.20935218036174774,0.26535542139064616
sfio_papbb_selected,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:8,0.21853674948215485,0.2331255497002206
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.1272645890712738,0.0
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.13045381009578705,-0.02505976758960915
pure_pbb_32,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.09737773984670639,0.23484026030076166
pure_pbb_budget_matched,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.09643557667732239,0.24224344429922928
sfio_papbb_selected,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:9,0.09241895377635956,0.2738046423534134
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.15581658482551575,0.0
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.1359703689813614,0.12736908504558908
pure_pbb_32,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.11803160607814789,0.24249651466613575
pure_pbb_budget_matched,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.11727998405694962,0.24732027602658357
sfio_papbb_selected,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:10,0.11885759234428406,0.23719549830089381
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.16699177026748657,0.0
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.13858219981193542,0.17012557211678658
pure_pbb_32,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.1681872308254242,-0.007158799239164626
pure_pbb_budget_matched,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.16830329596996307,-0.007853834355882938
sfio_papbb_selected,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:11,0.13160844147205353,0.21188666207176676
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:12,0.27705201506614685,0.0
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:12,0.2724594175815582,0.016576661546721216
